review,rating
"Barang sudah mendarat dengan aman paking rapi banget,barang bagus bener2 masih baru masih segel soalnya,tapi pengiriman nya agak lama lewat dari estimasi tapi g ppa barang datang dengan selamat pun dh alhamdulillah.abang kurir yg nganternya baru jadi blm tau rumah saya tapi alhamdulillah ketemu jg meskipun dh malam paket tetap dianterin ramah pula makasih yg bang kurir.makasih jg buat seler semoga tetap amanah ",5
"oke barang mendarat,, masih segel, isi pun baik, packing aman, kurir cakep. smoga awet ya barang nya ..",5
"pesanan udh nympe
mantaaappp
",5
"mantap, tks ya BB Shop dan free case dan temper glass nya..
tks lazada...
",5
"biasanya ma 2 hari sampe ini ma seminggu br sampe ..ada apa ini padahal sesama dki 

",5
Terimakasih Kurir Lazada yang amanah,5
mantap nih barang nya ok bngt terimakasih lazada and seller nya kurir nya ramah bngt 👍,5
pengemasan baik pake bubble wrap. pengiriman sesuai waktu estimasi. hp nya belum dibuka,5
"tidak akan ragu belanja di lazada.terima kasih lazada hpnya bagus bangat
",5
terima kasih lazada...paket udh sy terima dngan keadaan baik tidak ada yg cacat sm ssekali...henphon samsung'y semua keadaan mulus dan baru..dan kurir'y jg baik dan ramah.,5
pengirimannya lama,3
terimakasih barang real,5
tepat waktu hp nya juga ori.  terimakasih,5
dusnya penyok,5
Goodjob,5
brg ok,5
kameranya jelek.,3
bagus Bngtz. makasih lazada,5
