review,rating
"kiarin ukurannya besar,, eh ngk taunya ukurannya kcil, warna nya bukan merah tapi orange. , tpii gpp, masih bisa di pake sma anak aku umur 1 thn buat kurirnya makasih,, maaf bgt ya jdii 3x balik bru bisa ktm, thankz lazada , thankz JNE. ",5
Bgs sesuai yg aq inginkan sedang tdk terlalu besar hanya agak tipis dkit si....ya pantaslah dg hrg segt..real pict,5
mantulllll pokonya lembut bahannya 😃 cukup lah untuk traveling bisa di bawa kemana mana 😆,5
"bahan cukup bagus...
sayang warna yg d minta warna warni yg datang putih semua.
mau pesan banyak tp d batasi(utk parsel lebaran).jd mahal d ongkir gan.
thx",4
kualitas produk baik harga produk baik ..mkasi ,5
ok..............,5
bagus handuknya.... mantullll 😘😘😘,5
datangnya cepet barangnya,5
Barang sudah sampai,5
"keren, bahan alusss , ",4
bagus....,5
