review,rating
"Produk sampai dengan selamat, kondisi baik gaada cacat sama sekali. Packingnya aman pokoknya",5
Pesanan dah sampai semoga awet. terima kasih,5
"Barang diterima sesuai jadwal pengiriman yang dijanjikan. Packing rapi, masih tersegel, bonus sesuai gambar. Kualitas baik,warna sesuai pesanan. Barang bagus sesuai harapan. 
Terima kasih Lazada dan WD Official Store.",5
"Barang diterima sesuai jadwal pengiriman yang dijanjikan. Pembelian sebelumnya produk dikemas dalam kardus dengan bubble wrap, kali ini hanya bubble wrap dan plastik hitam. Standarisasi pengemasan perlu diperhatikan, apalagi untuk barang yang rentan terhadap benturan. Produk masih tersegel, bonus sesuai gambar. Kualitas produk baik, warna sesuai pesanan. Barang bagus sesuai harapan.
Terima kasih Lazada, WD Official Store dan Pak Kurir.",3
mantul bagus..,5
"nice, pengiriman sangat cepat 2 hari sebelum estimasi sudah sampai. cuma kartu garansinya ga ada ya ?",5
"sudah sampai, terima kasih WD, biarkan bintang yang berbicara",5
produk dan waktu pengiriman sesuai ekspektasi,5
"Barang ok, dtg lbh cepat dari estimasi waktunya, warna sesuai order-an, semoga awet :) ",4
"Pengiriman cepat,bbarang sesuai....",5
wd udah sampe .. kemasan rapi.. dan lngsng di gunakan,5
Pegirman cepat. pengemasan rapih. hardisk berjalan dengan baik.,5
Pengiriman cepat dan packing rapih!,5
siippp 👍👍,5
"packing oke, pengiriman 7hari baru sampai tujuan,, semoga barang awet👍thanks",5
🤟👌👍pas dapat murahnya. Mantaplah,5
"Pengiriman cepat, walau kepotong long weekend tetep cepat pengiriman nya. Soal barang gak usah ditanya ya, Original karena flagship store 👍🏻👍🏻👍🏻",5
Barang bagus banget. diterima dengan baik. berfungsi dengan baik. dapet murah berkat promo lazada+flash sale. ditunggu double promonya lagi  terima kasih WD terima kasih lazada,5
Barang sesuai dengan iklannya. Respons penjual cepat. Pengiriman penjual cepat. Pengiriman Lazada cepat. Recommended seller.,5
"Barang sampai tepat waktu (sesuai deskripsi pengiriman). Lengkap. Dipacking rapi (ada bubble wrap). Waktu dicoba, no problem. 
Masalah ada di software pendukungnya, bikin komputer saya stuck waktu shutdown. Akhirnya saya uninstall. 
Overall, saya puas. 
Terima kasih.",4
"Recommended sekali pengiriman sangat cepat melebihi estimasi pengiriman lazada, barang bagus no minus masih segel, makasih WD Indonesia",5
"kualitas ok Karna yg pasti ori, kecepatan pengiriman sangat tepat waktu, harga sesuai kualitas plus dapet pouch lg",5
"Packagingnya rapi banget, cepet sampainya cuma sehari semenjak pemesanan, bisa digunakan sebagaimana mestinya👍🏻",5
"pengiriman cepat, kurir ramah.
produk sesuai yg diinginkan, warna sesuai, sudah cek warranty 100% ori dan sudah daftar garansi 3 thnnya. Thank you.",5
"trimakasih Lazada. Hardisknya sudah saya terima. sangat bagus, pengiriman cepat, sangat memuaskan. ",5
"barang sesuai, original, packing rapi, respon cpt. Trims",5
"Hard disk Sesuai deskripsi, sesuai ekspektasi... semoga awet  👍👍»»» (o '⌣' )",5
"packing aman dan rapi, pengiriman cepat, barang original. trims",5
Barang sudah sampai. Cepat dan responsif. Puas dengan pelayanannya. Terima kasih.,5
sesuai dengan pesansn,5
"Barangnya mulus, Tanpa cacat sesuai deskripsi",5
"kualitas produk di terima baik,pengiriman cpt dan produk berfungsi dgn baik",5
joss bledosss,4
"barang ori, pengiriman cepat, semoga awet",5
Barang sesuai pesanan,5
"barang sesuai dgn yg dikirim..Good👍👍👍
thanks for Lazada..",5
"Produk bagus,,pengirimannya yg lama banget,,",4
"Baranh sesuai pesanan, dan di bungkus bubble wrap",5
"barang sudah di terima, tapi belum di coba. makasih lazada ",5
Barang diterima dan berfungsi baik,5
Produk bekerja dengan baik,5
"Barangnya bagus, berfungsi dengan baik. Recommended. ",5
"Dah cek keasliannya,  terjamin. ",5
"barang ori pengiriman dan pengemasan baik, terima kasih",5
"puas, pengiriman lmyn cepat",5
"terbaiklah, mantap",5
barangnya bisa dipake dengan baik.. makasih lazada,5
"sesuai pesanan, hard disk berfungsi baik. ",5
"respon cepat, barang sampai sesuai jadwal dan packingnya rapi",5
"barang sesuai, packing rapih, mantap pokoknya",5
Barang sesuai dengan deskripsi,5
Barang Bagus Original.. Cuman warnanya pure putih semua kirain ada silver nya. Overall Recomended,5
Datang sesuai pesanan. Berfungsi baik. mantab,5
barang baik diterima...tp pengiriman lama sekali...,3
mantab ori dapet murah lagi,5
"barangnya sesuai dengan dengan pesanan, kirimnya juga cepat. dan HDD nya berfungsi baik",5
"Barang bagus, pengiriman cepat, packing bagus.",5
harga twrmasuk murah dan brang terjamin nda kw-kwan,5
sampainy cepat.. barangnya ok 👍👍👍,5
barang baguss.. pengiriman next day... thanks,5
"Barang sampai, di colok dan buat new folder langsung loading........dan tidak dapat di akses",1
"pengiriman standard h+1
warna merahnya ga setua yg digambar, klo menurut saya terlalu terang",5
barang cepat sampai di tujuan dengan kondisi baik,4
brng dh sampai. sesuai pesanan. tks,5
"barang kwaliatas original 
dikemas dg baik
rekomended pkoknya
thax",5
"packing rapi, barang aman",5
markotoplah,5
Pesanan datang lebih awal dari estimasi waktu. Kualitas barang baik dan original.,5
"Kecepatan pengiriman baik, produk baik, dapet bonus case + bolpen ",5
"Packaging rapih dan aman, barang sesuai pesanan dan ori",5
"pengiriman cepat, packing rapat dan aman. barang kinclong !",5
Mantap,5
mantulllll,5
good,5
ggh,5
Sipp oke,5
joss,5
Puas,5
mantap,5
sippp,5
