review,rating
"barang datang dgn selamat tidak ada lecet sedikit pun,bagus cumn saya kira bulatan nya kaya buat nge gantung tapi nyata nya nyatu dan tipis,tapi tetap suka,oke lah
mksh lazada,seller dan juga kurir nya.
",5
Thanks gan barang sudah sampai & langsung di ambil sm yg punya.tq cust sy sukaa...,5
"paket sdh sy terima sesuai gmbar hnya imut2 bnged ya. kurier sopan dan baik
trims seller trims kurier",5
"Barang nya udah Sampek, bagus bangeet, kemasannya juga rapi bg kurirnya jg ramah, makasih LAZADA",5
barang bagus ,5
barang di bks rapi kurirnya ok ramah datang nya cepet ..mksih lazada,5
"paket sdh sampe sesuai gmbar bagus tp kecil ya barang nya
trims seller trims kurier",5
"alhmdulillh...realpict,baguuuss...",5
sesuai saya suka terimakasih lazada,5
"bagus,,, kirain berat eh ringan,,, tapi mantul",5
bagus tp tulisan nya kurang gede ka 😊,5
"Bagus ga yesel beli di toko ini ,",5
bagus aku suka brgnya tdk ada yg rusak atau patah  trmksh bt toko dan trmksh jg bt lazada dan kurirnya,5
