review,rating
"bagus, bahan beda dr yg diamond, pas beli takutnya bahannya sama alhamdulillah engga. pengiriman cepet, warna lebih ke  pink tp agak tua, totally okey.",5
lucuyyyyyuyyyyyyyyyyyyyyyyyyyyyyy,5
thnx sudah langganan,5
TOP banget barangnya berkualitas harga murah,5
"pashmina nya bagus bangettt!!!!!!,gak nyesel deh beli disini, bahan nya bagus dan jahitannya pun rapih, kurir nya ramah,baik bgt sudah langganan, terimakasih seller dan kurir yg sudah mengantarkan paket saya dengan selamat sampai tujuan😍💘",5
realpict 😍aku mulai checkout kemaren pagi dan sampe sekarang siang waw super duper express. makasi lazada dan toko:),5
"bagus kalii. gillaaa sih harga murah pasminanya juga panjng, aku beli 6 semuanya sesuai pesenan makasih seller
",5
Ko warnanya beda sama warna ygpertama saya beli? Padahal pesannya warnanya sama dari yang sebelumnya?? ,5
"pengiriman super cepat, kurir ramah, barangnya real pict.
nerawang sih, tapi bisalah pake ciput ninja.
thanks Lazada",5
"kerudung nya bagus panjang bahan nya juga lembut tapi di kira warna lemon itu kuning..pas Dateng malah ke ijo,ijoan gitu ..nextaem langganan saya suka ko..makasih lazada makasih buat toko nya..makasih juga buat Aa kurir nya udah langganan",5
"suka banget, pengiriman cpett bngt lagi",5
yg ke 2x beli bagus banget lembut bahannya😍,5
"Bagus dan sesuai gambar, cuma agak tipis..
Kurir ramah",5
oke sih  tapi masih ada benang benang gitu dipinggirannya. pengirimannya cepat,4
"barang sesuai
",5
"Bagusss sihh, cmn agak tipisss..  Terimakasihhhhhh. 🤗",5
"out ekspetasi si, kirain kreamnya bakal gelap taunya terang. but ok sii",5
"real pic bngt🤩 udh dua kali. beli ga ngecewain pokonya jangan ragu buat beli di sini
",5
bagus thx u,5
"suka bgt bahannya jatuh ga terlalu tipis pengirimannya cepet, recommended pokonya😍",5
Bagus aq suka😍bahanx juga bagus,5
"pesanan yg ke dua kali nya,,,masi sama seperti pertama pesan ",5
mkasih ya kk sesuai harapan ga nyesal blanja disini ,5
Bagus banget,5
ini bukan maroon.....,1
"baguus bgtt alhamdulillah, cuma jaitannya agak brodolan aja tp fix bagus ko panjangnya sesuai",5
"Sumpah cepet banget siihh, barangnya juga bagus❤

topppppp",5
Bahannya enak banget pokoknya gak nyesel. Semoga nanti order selanjutanya kualitas masih sama,5
"bagussss bgt,next bakal order lagi karna baru kali ini beli cerutybabydol realpict👌😍😍😍😘",5
Bahannya adem enak bngt di pakenya udh kedua kalinya beli di toko yg sama mantull dahh mksih seller & kurir lazada 🙏🙏,5
"datang lebih awal!!!! terimaksih ya aku sudah 2x beli kerudungam disini gak nyesel beneran deh 
gosah ragu2 beli disini gais soalnya toko nya amanah. ",5
"Bagus jilbab nya sesuai pesanan
Cuma warna ungu nya agak ke abuan
jahitan nya kurang rapi bagian tepi",5
"aku pesennya warna coklat mudah ehh yang datang warna telur asin:( tapi sih Alhamdulillah yang 2 warna ga gagall, nnti lagi mah tolong lebih teliti yaa😌",5
"Alhamdulillah ka udh smpai cpt bgd smpainya,warnanya sesuai pesanan trmksh byk y ka,next order lg warna lain",5
"pengiriman cepat banget poko nya jangan ragu belanja di toko ini sesuai pesanan lagi barang respon penjual nya baik juga,makasih banyak poko nya",5
"bahan nya bagus sesuai pesanan. cuman dari proses pembayaran ke pengemasan produk sekita 3 hari baru di poses jadi pemgiriman produknya jadi lama juga deh. 

tapi untuk produk nya memuaskan lah. ",5
makasih sist hijab nya oke 😉,5
"Alhamdulillah ka udh smpai kmren,, udh 2x order disini & Alhamdulillah sllu puas,,tetap pertahankan y ka.trmksh",5
barangnya bagus pengiriman nya juga cepet.  cuma aku pesen warna armi yang datang malah ijo alpukat gapapa aku suka kok,5
"Katanya pashmina ceruti yang ada talinya kok pas diliat kaya pashmina biasa, ini gimana ya rugi banget. Saya pengen pengembalian barang ya abis itu dituker sesuai caption!",1
"kmrin sempat kesal Krn bli 4 di antar 2 tapi seller ny tanggung jawab di antar lagi 2 ny, dan ne pesan lagi mudah2an amanah terus ya.....",5
"aq pesan 4 tp yg kelen kirim cuma 2 bayar ny 4..
gmn jualan kyk gini gak amanah bgt...
mnta tolong kirimkan lagi pesanan aq yg  2 wrn hitam dan navy.....
jgn gtu dong Kelen......",1
"Tolong utk kualitasnya, ini ada noda² permanen yg gabisa ilang. Mohon utk dicek kembali kalau mau mengirim barang 🙏",4
"Dengan harga Terjangkau bagus barangnya tingkatkan lg kwalitas ny ya,kurir sangat ramah.Semangt y walau pandemic Corona
",5
maaf baru kasih ulasan brang tdk mengecewakan udh 2x bli Alhamdulillah amanah abg kurir ramah n hafal rumah jg mkasih lazada makasih semuanya smg sukses sllu,5
"Ka pasmina ko cuman ada satu ,kan saya order 2 tolong kirim ulang satu lagi ,makasih",5
"Baguss bangett hhehee 😍, bahanyaaa jugaa lumayan baguss, ademm jugaaa klau dipake gak terlaluu tebel, thank youu. 😍",5
"Terimakasih ,brg  sesuai pesanan..amanah.semoga makin dilancarkan rezekinya y kakak dan makin sukses buat tokonya ,aamiin 😇",5
kecewa minta warna marun datangyah putih,5
"Pesenannya susai , baguss 🥰 
cuman kurirnya ngeselin nyantumin nomer yang mana nelovon nya kemana , ",5
ini,5
Sukaa banget kerudungnya recomended😍,5
"paketnya baru bgt dateng, bahannya bagus, panjang juga, ini yg aku mau omg! next order lagi ah mantap",5
"pasmina bagus, cuma satu salah warna,minta milo yg datang ungu... sekali lagi kalau gk ada mending pulangi uang.. ",3
bahan ny bagus sesuai yg aku mau..cm wrn ny agak lebih coklat bgt ya 😅...ga apa.deh semoga bagus pas dipakai ,5
"Bagus banget dah rekomended bgt,, next beli disini lagi, mantapsss!!!! Kurir baik!!! ",5
"bagus sesuai gambar
",5
"baguss bgt, nyaman dipakai",5
bagus bagus bagus,5
𝓪𝓵𝓱𝓪𝓶𝓭𝓾𝓵𝓲𝓵𝓵𝓪𝓱 𝓹𝓪𝓼𝓶𝓲𝓷𝓪 𝔂 𝓫𝓪𝓰𝓾𝓼 𝓫𝓷𝓰𝓽 𝓺 𝓼𝓾𝓴𝓪 𝓹𝓪𝓷𝓳𝓪𝓷𝓰 𝓵𝓰.... 😘😍,5
saya pesen warna apa.di kirim warna apa.aku pesen warna pink dusty malah datang warna Oren hmm gimana sih ...,1
"Bagus, kurir nya ramah, dikira bahannya yg kaya lemes gt, ternyata yg tipis... gpp to OK lah barangnya, MEMUASKAN..👍👌😀😀😀",5
"Paket tiba dgn aman, bahan nya tebel dan mudah di atur syukaaa sangaddd, terimakasih lazada,seller, dan mas kurir😇",5
"alhamdulilah paket sudah sampai😊 bahannya bagus adem dipake, tapi yang warna cream agak tipis dari yang laennya, panjang nya oke lah aku suka😊 terimakasih lazadaaa",5
"Kecewa..
Pesan 4 Pasmina, satunya bolong seperti kecantol paku,satu lagi pasmina tali,dan tidak sesuai warna,hanya satu aja yg bagus,untung aja pelanggan ku masih mau,klw gak bisa rugi aq
Padahal pesan pasmina polos,
Kurir nya baik sudah langanan
",5
"Jilbab ny yg navy sobek, yg wrn abu2 jlek bnget wrn ny kusem. ud gt sy psn peach yg dtg mlah pink, jd meach sm bj sragam yg sy pke nti. gk sesuai gmbar😒",3
"pertama kali beli di toko ini suka bgt, seller nya ramah bgt, datang nya lebih cepat, abang kurirnya langganan walaupun sudah malam tetap di anter. bahannya super bagussss nyesel cuma beli 2 next time order lagi. ",5
paket sudah Sampai...aq kira lama ternyata cepet banget pengirimannya..terima kasih lazada...suka banget sma pasmina nya realpict..pokoknya mantap lah,5
realpict bgt bgt bgt. walaupun iya aga sedikit nerawang tapi aku kasih nilai 90% deh karna emng beneran bagus udh gtu bahannya juga bagus pokonya nyaman deh sesuai. 3hari doang lgi,5
"alhamdulillah penjualnya amanah, semoga lancar usahannya, selalu sehat dlm lindunganmu ya allah, sukses selalu, semangat, salam anak rantau, ",5
👍👍👍👍👍,5
"bagusss bangettttt seriusan, cepet lagi datengnya👍👍",5
Kdua kalinya pesan sesuai bahanx berat bagus..... ,5
BAGUS BANGET🥺❤️,5
"Sesuai pesanan , produk ori , harga segitu lumayanlah , terima kasihh lazadaaa",5
kerudung nya kaitan rapi tar mau bli lg ,5
Alhamdulillah barang sudah sampai sesuai pesanan warnanya makasih ,5
"bahannya bagussss 
pengiriman juga cepaaattt 😍😍😍",5
"baguus bgtt alhamdulillah, cuma jaitannya agak brodolan aja tp fix bagus ko panjangnya sesuai",5
bahan nya tipis banget dikira tebal,2
"Bagus pashmina nya, worthit la dengan harga 19rban. Tapi yang warna itemnya agak tipis yaa.",5
sumpah bagus banget enakdipake😍❤,5
"kurang panjang klo menurutq klo untuk pashmina,,,",5
"bagus kerudungnya sesuai sama harga, jahitannya rapih",5
alhamdulillah kirimanx sudah dtg blom sempat buka nanti lah d kamar lgi krja soal.x,5
uwuuu terimakasih kak bagus banget bahannya gampang dibentuk 😍 aku suka aku suka,5
