review,rating
pengiriman nya cepat banget bahan nya lumayan lh sama harga nya kurir nya juga baik pokok nya puas deh belanja di sini😊,5
"paket nya udah nyampe,sesuai dgn pilihan dan pas juga di badan 👍 buat klian yg mau mesan hoodie saya rekomendasikan belanja ajha di toko ini👍👍mantap kurir nya juga ramah",5
"mf baru ksh ulasan.. barangnya bagus sesuai pesanan bahannya mantul, cmn pengirimannya aja lama tapi gpp sih ...mksh lazada",5
"mantul packingnya rapi barangnya juga mantull banget guys jangan ragu beli disini dijamin 10000& mantul mantul mantulll!!! bahanya tebel,lembut pokok e saya rekomend beli hodie disini 
sukses trus buat toko public fashion + lazada 🙏
",5
"bahan bagus , pengiriman nya cepat , GK ngecewakan deh 😘😘, sumpah saya suka banget sama sweet nya🙂🙂🙂",5
Sudah sekian x ny saya blanja di toko ini. Slalu realpick. Tpi uk ny trkadang slalu gk sesuai yg di inginkan.. 😌 pengiriman juga lama.. 😪,5
"saya sangat senang dengan hoodie yang saya pesan ,memuaskan,cuma ad kecawa nya bahan nya sangat tipis",3
"Thanks Y Kk😍
Barangx Sudah Sampai Sesuai Pesanan😉
Packagingx Juga Rapi😍
Pokokx Gk Sia2 Baru Pertama Blanja Barangx Gk Mengecewakan😍😉😉😉
",5
"Alhamdulilah paket ny udah datang pengiriman ny lama,kurirny sopan ramah,barang & bahanny bagus, tpi sayang baju ny kkecilan tidak sesuai yg gambar,,saya mhon lebih teliti lagi y..☹️☹️☹️",3
Makasieh paketan utdah dtng.. Real pick saya suka bngt... Puas dweh belanja di toko ini.. Besok2 insyaallah beli lg... Buat mas kurir... Ok bngt baiknya,5
"Baru pertama kali belanja di lazada GK nyesel deh, packing rapi, harga sesuai dengan kualitas,bahanya halus lumyan tebal cocok deh buat dipake tiap hari, untuk pengiriman agak lambat , pokoknya GK nyesel deh ",5
"pesanannya sesuai 
halus dan tebal nyaman di pakailah
kurirnya juga ramah
trimakasih Lazada😍
semoga semakin lancarnya❣️Tokonya amanah👍😍
sya pesan lagi
untuk yang mau mesen saya rekomendasikan di toko Public Fashion 💕",5
"terima kasih lazada:) barang yg dikirim realpictt:)
terima kasih juga buat toko nya, udah respon cht saya sehingga tidak mengecewain, pokoknya nyesel yang gak beli",5
"Alhamdulillah  paketnya Udah Dateng dan saya Terima... 
Kurir Baik, dan Pengiriman cepat.. 
tapi Sayang Ada Jahitan Yang Robek dan Ukurannya Ternyata Kecil Banget Ukuran L Masa Kaya Ukuran M.

beda sama Jaket switerku yang ukuran sama, tapi besaran  Punyaku.
tapi Ya Alhamdulillah  Deh dengan Harga  Segitu. 
untuk  bahan Lumayan tebel dan Lembut..  😊",2
"Bahan Nyh sangat tipis gak tebel,klw packing Nyh bagua rapih,terus jahitanya ada yang putus,tpi lumayan aja lah dan kurirnya juga ramah dan sopan",5
Barang Dh sampai Tpi kekecilan Gpp OK tank's lazada,5
" Makasihh lazada Barang  sdah sampai, packing nya rapi, kurirr nya ramah,barang sesuai dengan hrga, pengiriman cepat, sayaa tdkk kecewa belanja di toko ini.😊🙏",5
