review,rating
"alhamdulillah paketnya sudah sampai dan sudah aku coba gak ada kerusakan dari segi manapun..
thank you ... ",4
Alhamdulillah mantul dah maa syaa Allah bakalan order lagi ni kak in syaa Allah kalau pada naksir temen.temen yang disini hihi... Bismillah.. Makasih akak seller,5
"Recommend banget, puas banget terimakasih kk 💚",5
barangnya oke banget..!!,5
puas Bagus barang nya dah ada lampunya klo tidur bisa pakai lampu itu keren,5
barang bagus banget dan sangat bermanfaat 👍,5
Barangnya datangnya aman hnya blum dicoba smoga berfungsi .. tapi sya pesen coklat tua dtengnya coklat muda v gpp ko ttp bagus. Terimakasih,5
"barang bagus bangat gaes ayo cepat beli 
",5
"Bagus, barang berfungsi dengan semestinya, cocok sebagai pengharum ruangan dengan aroma yang nyaman",5
"barangnya sesuai pesanan... pengiriman kg cepet... terimakasih lazada
",5
"barang nya sampai tempat tujuan masih terbungkus rapi, Dan isi nya dalam keadaan utuh Dan baik. 
",5
Dipakai nyala tp rembes / bocor bawahnya,3
mantap,5
