review,rating
ini pengiriman paket yg ke-2 kalinya dgn barang yg sama...yg pertama gagal...parah...pantesan murah...barang seadanya...gk d ksh lobang gespernya...mentang2 yg jualannya berlobang...kerja 2x ini mh...kapok lah,2
"Alhamdulillah paketnya udh sampai td siang, langsung sy buka sy jajal ternyata ikat pinggangnya terlalu pendek dan LG blm di lubangi 😭😭😭",5
sesuai maap baru ksih ulasan,5
barang.a siip ok dehh.. ,5
"joss lah sesuai
",5
sy gk dpt barangnya...d lazadanya paket sdh d terima...untung cod jd gk rugi sy,1
"sip mantap mksih.... murah tp bgus bgtttt,,,",5
trima kasih lazada,5
lumayan,5
"bagus ko,,",1
