review,rating
Good seller. Fast respon. 👍,5
". Recomended bgt.... barangny gak ada kurang, pengiriman cepett,,, kurir nya ramahh,,,, TOP pokokny,,,, thanks LAZADA",5
"alat ga mau nyala...parah..parah..
Rusak.....padahal lg butuh banget...
pdhl sblm dikirim dah minta di coba alat nya dulu",2
"barang tidak bisa dipakai !!!barang rongsokan dijual!! sangat kecewa !!!
",1
"Packingx Rapih,,,",5
alhamdulillah akhirnya bisa berfungsi dng baik.. tank's seller atas responnya siip dah👍,5
"Alhamdulillah barang nyampe dengan selamat,packing rapi,good job,semoga aman dan bermanfaat",5
mesin oke..mantap,5
bagus,5
Puas ,5
"produk dapat berfungsi dengan baik, terimakasih",5
"puas dengan pelayanan cepet wlau bayar d tempat,
trim lazada
",5
top banget,5
