review,rating
"ukuran kecil jahitan gk rapi, kayak di tambal..",2
"ud 2 kali pesen d toko ini bahannya bagus smua, tp  sayang aq psen warna abu"" malah biru laut yg dtang, y gpplah tpi lain kali perhatiin lagi y kk pesanan orang🙏 biar tambah puas orang yg blnja d toko ini, satu lagi kurirny baik😊 THANKS LAZADA",5
"warna jaketnya lebih tua dri di gambar kaya warna jaket cwok, tapi suka modelnya
",3
"Realpict,, pengirimannya cepat,, kurinya ramah pokoknya ngak nyesal belanja di Lazada ",5
"maaf kameranya yg kurang bagus..reallpict,,mantap size jg pas body..jooosss..",5
"Jaketnya sudah smpe barang nya real pick sesuai difto puas bgt😘😘,terima kasih lazada😁",5
"alhamdullilah jaket nya bagus,pelanggan aku suka real pict,maksih juga buat kurir udh lngganan",5
tingkyu... barang real pict suka sekali 😊,5
bagus pokonya bintang 5,5
bagus jaket nya aku suka..,5
paketnya sudah sampai... saya suka... 😁😁,5
"mantul, yg xl ngepas tpi gak papa lh
mksih laz dan bg kurir",5
"bagus banget.. sudah 2X beli hasilnya memuaskan.. kurirnya juga ramah
terimakasih LAZADA 😘",5
Mantullll abisss barang nya Realpic puaasss bgttt belanja di lazada makasih lazada bakal langganan terussss dwehhhh,5
"cantik bgtt😍😍
tp sayang kekecilan😭pdhl udh biasa pke size L
nyesek bgtt liat brang yg d pngn bgt hrs d pke orng lain skrng😐😑
nnti psn lg yg xl dehh",5
"toko ini memang luar biasa barang nya realpic banget dan amanah gak ada kata kecewe, teruskan dan pertahankan seperti ini, thanks lazada, thanks toko, thanks jasa pengiriman dan kurirnya mantap punya",5
pertahankan kualitas produk kk thank you sukaaaaaaaaaaaa😍😍😍💕💕💕💕💕😘😘😘😘klo ada bntang 1000 bkl ku kasih dah,5
"baranq sesuay pict bner"" memuaskan .. meskipun warna nx kek yq luntur qitu ☹
abanq kurir nx juqa ramah, penqiriman nx cepat 

thanks lazada 😍",5
ok bgt kk jketny mantul walau agk kekeciln sukak sesua gmbar prthnkan kulitas kk semoga jd langgann ya kk lain wktu pngen bli lg yg ukuran xl sukses sllu buat lazada.ini lg otw belnja lg. ,5
