review,rating
keren jam nya👏,5
"paket nya sudah datang...mksh sesuai pesanan,gak nyesel beli di toko ini sukses lazada",5
jam nya bagus bngt suka suka tokonya amanah bngt,5
"Produk bagus sesuai gambar , semoga doi suka itu buat kado anv kita yang pertama , semoga awet juga, gak nyesel belanja di toko ini ",5
"Barangnya sudah sampai, aku suka bgt..
Dan sesuai degan pesananny😍😍
Maksih ya.. Kurirny juga ramah bgt
Bisa buat laganan",5
qo jam jarum nya kga idup. lagi mna ini apa bisa di tuker,5
ok mkasiih udh keteriima kurirnya baik bngett sopan,5
"keren bngett,,,real pic,,sukaa 😍😍
pengemasan rapi bnget,,,pengiriman cpt banget,,psen kmren hri ini udh dteng,,
sukses Lazada,,
kurir'y ramah,",5
jamnya mati ,5
sangat sangat puaaaas banget bagus gk ragu pesen di lazada makasih lazada😘😘😘,5
"baru kasih ulasan kemarin sampe jamnya,, bagus suami sy suka makasih lazada",5
Alhamdulillah paketannya udah datangLAZADA semoga sukses terus,5
Joss,5
mantul,5
bagus sesuai ,4
bagus tapi kotak tidak sesuai gambar,3
terima kasih... cukup puas... cuman kotak Tdk sesuai gambar... ,3
luar biasa pesanan sesuai gambar...jam nya sngt bagus bngt...gk nyesel pokok nya...thank'a nya,5
sudh dtrma n kereeennn,5
jam ,5
mantap,5
