review,rating
parah amat mana lama pengiriman nya saya minta yg GK ada nmor nya kenapa yg d kasih yg ada nmor nya  ,2
sesuai brng ny,5
Real pict saya suka☺,5
"jamnya tdk sesuai gmbr, tapi gpp lah, geratis batrai jam🙂",5
"Ko gak sesuai ya barang pesanan sayaa?? 
Katanya jam tangan rantai terbaru-jam tangan couple tapi ko dikirim nya satu doangg sihh udah mana gak sesuai sama yang digambar🙄 lain dicek yang deteail kalo lagi mau pecking barang nya gak kaya gini jadi nya mahh_-",2
"wissssss mantappp pokok nyaa kaa jam tangannya,
bagusssss🤗🤗
aku bakal ktagihan nih beli jam tangan dtoko inih😁
Makasih yaaa buat seller & kurir nya udh langganan😊",5
barang ok..keamanan barang juga terjaga gaada cacat sama sekali♥️abang kurir baik banget nugguin aku bangun tidur 😂,5
Cantikkkk😍 realpict makasih Lazada,5
Jm perempuan yh mati,5
bagus banget,5
jamnya bagus ya kak. tapi kemasanya ngak pakai kotak kak. ,5
syukaaaaaaaa bgt mksh ,5
real pict 😍😍😍,5
wow..jamnya bagus banget saya suka memuaskan sesuai dngan harapan.makasih lazada,5
"barang nya sangat memuas kan..makasih lajada :)
mantaaaaap beh poko na mkh.nuhun"" ",5
gk nyesel intinya 😍,5
"Jam tangan yg cewek nya nyala bagus,, tp jam tangan yg cowok nya mati,, tolong kirim ganti nya ya,, terima kasih ",2
Jam ny bguss  bgett koou suka bgtt ga ke.cewaaa mksiiiih kk udh sesuai psan.n kouuuuh😘😘😘 ,5
"terbaik bangeeet, gak nyesel pokonya",5
"Nyampe nya cepat, barang nya cukup memuaskan,dan kurir nya ramah , big thanks lazada🙏🤗🤗",5
kecewa jamnya dr baru dtng SMP skrng g nyala,5
Good❤semoga tetap amanah😊,5
memuaskan trimakasih,5
Kerennn😍😍,5
Ok lah bagus,4
suka 😍 pokonyah beli d sini gak pernah nyesel ,5
"kecewa jam nya mati, gimana sih🙄",2
keren barang nya,5
mksih brang nya sesuai gmbar,5
"sy kecewa barang nya pecah ,apa knp g berhati-hati tlong di perhatikan lagi ",5
pengiriman ok..barang sesuai ..seller mantap ini,5
"Mantul barangnya okke 👍, pengiriman cepat. makasiii ",5
"barangnya bagus, goodjob lah lazada",5
jam nya bagusss cma knph ga bisa nyala saya kecewa ga mau lg,5
terimakasih Lazada saya sangat puas dengan barang nya😇🙏,5
Terimaksh lazada sangat puas jam nyh mendarat dengan baik ,5
makasih lazada ngga kecewa dah beli online di lazada peking rapih kurir ramah pokonya puas banget ,5
"peking rph poko y puas

",5
Alhamdulillah sesuai pesanan,5
"bgus jam nya saya suka
",5
"jam sgaaaat bgussss,",5
Barang udah sampai real pict bnget deh cepet lagi recomended dehh pokoknta ..makasuh lazada😍😍😍,5
makasih,5
"barang yg saya terima,, tidak berfungsi",1
"bungkusnya rapih banget, jamnya sesuai yang di pesen makasih pokonya gak ngecewain bangetttt ",5
bagus 👍👍,5
oke mksh,5
"OK 😎 
",5
ok mayan😇,5
bagus,5
