review,rating
sesuai gambar rekomen lah,5
"barang oke
kurir ya ramah",4
sangat puas jam nya keren bangett sy sangat suka sekali.,5
jam'ny mantapp... puas tidak mengecewakan.. kurir langgNan.... ok sippp...,5
"bagus jam tangan y, sesuai.. suami sy suka",5
"realpic, suka dan gak kecewa",5
"baguss Bangettt Jam TanganNya wlw Datangnya lambat.
tapi barangnya bagus bangett tanks lazada dan toko ini sipp bangett lah🙌",5
barang mantap packing rapi.. sukses terus!,5
good,5
bagus,5
mantap mksh ya ,5
"kualitas barang lumayan, sederhana sesuai dengan harga yang di tawarkan....",5
barangnya mantap & cocok di pakai,5
"real pick...mantap,,,",5
Terima kasih pengiriman sesuai pesanan kami... 👍👍👍👍,5
Mantab....,5
"terimakasih kak,barang tidak mengecewakan 👍",5
real pick kurir ramah,5
Barang dah mendarat bungkus rapi dan bisa berfungsi bgus thx lazada ,5
terima Kasih barang sudah di terima ,5
Keren,5
real pict,5
good,5
