review,rating
"sungguh sangat kecewa.
barang masih tiga jam ditangan.
tapi sudah masuk air

klo barang KW jangan dijual dong bos.",1
"barang sudah sampai dengan selamat kak, terimakasih banyak ya kak semoga sukses selalu dan lancar jaya usaha nya",5
barang jelek gak cocok buat daerah dingin apalagi musim hujan  gak tahan sama air baru di pake sebentar kaca nya langsung buram...sepeknya tahan air 50m tapi kenyataan nya jauh beda... jangan tergiur sama harga murah,1
lumayan..murah meriah,5
Barang nya mantap sesuai gambar di atas dan pengirimanya sangat cepat terimakasih lazada semogah suksek terus,5
"alhamdulilah barang sudah sampai , kualitas sangat bagus dan memuaskan, packing sangat rapih , yg belum order silahkan order dijamin memuaskan, jam nya sama dengan yg ada di poto",5
"alhamdulillah barang udh sampai, tp sayang tidak sesuai permintaan warna, dan lampu jamnya ada yg mati satu,, tolong buat seler di cek dahulu sebelum barang mau di kirim,, trima kasih ",5
kecewa jam digital nya mati,5
maf baru ngabar.n kmren  blm ngomong terima kasih. tuk lazada. cakep  jam nya memuas kan. qu seneng bngett barang nya baguss bnget qu gk ke cewa. mksih ya lazada..,5
barangnya mendarat dengan selamat. cuma 3 hari langsung sampai di tempat. packingannya juga rapi👌 lain kali order disini lagi👍,5
"Ahamdulillah barang dah sampe semoga awet, tp sayangnya ko ngga ada dusnya,,, tp okelah sesuai harga.... 
Padahal nyampe radi sore langsung saya coba pake pas wudhu sholat maghrib tl digitalnya langsung hilqng ngga keliatan ngga tau mati / tidak, Dan ngembun..

Beneran garansi 1bulan ngga gan, kalo kya bisa diganti ngga cs masa baru dibawa berwudhu langsung digitalnya mati n ngembun...",3
"Jamnya uda nyampe,, makasi lazada, kurirx baik dan ramah.. 
Cuma masukan klw bisa lain kali pake dos,, spaya lebih rapi dan unk menghindari barang rusak atau pecah. ",5
"Bagus jam realpict,cm agak kecewa dikit sm pngiriman nya agak lambat dr estimasi nya.! Tp gppa yg pnting brang nya puas & kurir ramah",4
"barang sampai dengan selamat,cepet dari perkiraan datangnya.semua berfungsi normal,gk nyesel belanja di sini...mksh lazada n penjual...",5
"Alhamdulillah...real pick...jamnya hidup...smg awet... pengiriman cepat... respon seller baik.... kurirnya ramah ...sdh biasa kirim k rmh.
terimakasih seller dan Lazada...smg berkah.",5
"untuk barang ok..tp tak ada segel hologram dibalik jam dan tak ada bandol lebel skmei nya...krn saya sering membeli jam skmei 1155 untk dijual kmbali ...yg terkesan jam nya enggak ba

ru",3
berembun didalamnya,1
"gak salah sy belanja di toko ini..,mantap deh pokoknya, barang sesuai pesanan sy,anak sy suka banget thanks ya ",5
"It's cooL Skmei1155, recomanded.
TgL 11okt order, tgL 14okt deLivered.
Thx to Jne Bdj
Thx to Santorini
Thx to Lazada
",5
Jam ny kw kali ya..masa ada air masuk....udah di masukin k dlm beras biar embun ny hilang....baru x ini aku kecewa sama lazada..pengiriman ny aj yg bagus,5
baru kali ini aq order di toko ini jam nya oke sesuai gambar memuaskan... smoga bisa jdi langganan trus.... mkasi ,5
"utk jam,a realpick....terima kasih lazada&seller....utk kurir,a tlng d tngktkn krmhan,a kpd plnggan....",5
"Bagus,pengiriman juga baik,barangnya minus dikit,kacanya ada goresannya dikit. Thx lazada moga makin jaya",4
"alhamdulilah ,barang sudah datang.sangat memuaskan ,kurirnya jga ramah.",5
"Barang sampai dengan selamat gk ada lecet pokonya mah the best, gk nyesel blanja di lazada, makasih buat penjual dan kurir nya ",5
"jam tngan.nya bgus sesuai avh yg aku ingin kn tpi besar bngt jm.nya..

cba klo aga kcil dikit lebih bgus lgi ",5
"Barang susuai dengan pesanan,,

",5
"barang sesuai pesanan,, cuma bungkus nya aja lngsung buble wrap,, krin dapet box nya, tpi gpp lah pengiriman cepatt",5
"maaf baru kasih ulasan, barang bagus sesuai gambar harga murah tpi bukan murahan trimaksih seller dan lazada... ",5
"sangat2 mngecewakan, udh jlas2 orderan jam tngn yg d kirim dompet butut ky gtu.",1
"sesuai pesanan..TAPI,lebih baik barangnya di kasih kardus rawan cuma di plastik..takut barangnya rusak ,.mantap 🙏",5
"Barang bagus, pesanan cepat sampai, harga murah.. terimakasih banyak :)",5
"mantul bgt kamnua,, makasih lazada semoga awet jamnya",5
ok barang sesuai .....mantab boskuhhh mo pesen lagi 1,5
"terima kasih LAZ
",5
"trimksih paket udah smpe barang bagus sesui gambar ,,kurir ramah,mantap
",5
"makasih lazada barank udah nxapek sesuai pesanan 
",4
lengkap sesuai pesanan dan bagus 😚 tingkyu kak bubble wrepnya tebel banget jadi anti pecah 😁,5
mantap jam nya sesuai dgn postingan nya...  👍👍👍,5
"sesuai pesanan
",5
Bagus sesuai iklan,5
"jam kalo rusak jangan di kirim masak jarum panjang nya muter muter.. 
parah dan buruk sekali.
sangat kecewa",1
kecewa...bungkus cuma pake plastik..gk ada label SKMEI..Gk ada holo di blkang jam..jarum gk kenceng suka muter2 sendiri...,2
"barang udah dtng makasih
",5
"paketnya sudah saya terima, packing rapih dan jamnya keren,sesuai dgn harapan saya,trims...",5
"barang sudah sampai, real pict",5
"terimakasih lazada, barangnya udah sampai...kurirnya baik ramah. semoga barangnya awet",5
paket dah yampe sesuai gambar Makasih Lazaro👍👍👍👍👍,5
top markotop... jamnya sangat mantul,5
alhamdulillah lazada barang sudah smpai thanks you so much😉😉😉,5
