review,rating
Siip sesuai yg d harapkan trima kasih jd ketagihan belanja d lazada,5
Brg sesuai gbr. Kualitas produk oke. Packing rapi. Kurir ramah. Puas blnja disn. Tx Edwin jeans official & lazada.,5
Barang sdh diterima sesuai pesanan..,5
"celananya bagus, tapi biasanya saya beli celana di mall2 itu, ukuran pinggang 30 itu pas sama saya tapi ini malah kekecilan, dan ukuran 33 itu
ukuran bapak saya malah yang 33 hampir pas sama saya, untuk dasar dan warna sesuai dengan gambar dan deskrifsi",4
"pas banget, trims bnyak",5
"barang bagus.pengiriman cepat.kurir ramah.terimakasih lazada.ini pengalaman pertama.besuk"" belanja lagi.",4
"Barang bagus ,harga terjangkau ,pertahankan kwalitasnya ok...,Makasih buat tokonya Ama lazada.Smoga tambah sukses..👍👍👍",5
"tak pernah mengecewakan sdh 2X belanja disini, trims
",5
"Celana nya sudah sampai, bagus Dan ORI,,,untung saya sudah faham sama EDWIN harus naikin ukuran 2 nomor dari yang biasa saya pakai. thanks!",5
pokona mah mantul semuanya..seller jujur tidak akan pernah kapok belanja di Edwin next mau beli lagi yang warna blue black...pertahankan dan terimakasih edwin dan lazada,5
"ok barang cukup bagus sesuai dengan pesanan, hanya saja jasa pengiriman yg buat kecewa, barang lama sampai, lain kali jangan pakai ninja dong.",5
"Okelah, walaupun katanya harus naik 2 size ternyata enggak, biasa pakek size 31, beli size 33 ternyata terlalu besar",4
"bayar tgl 10 paket diterima tgl 14 ... lumayan cepet, bahan jeans bagus jahitan rapi, cuman ini reguler fit apa slim fit yaa ... di paha sempit pinggangnya longgar, kesimpulannya bagus dan keren dah ... matur suwun
",5
"good lah pesanan sudah datang realpick 
bahan bagus sudah 2kali order 5 barang 
semoga tetap dijaga kualitas nya👍🙏🙏",5
"gegara liat ulasan yg laen akhirnya beli d lebihin nomernya dari yg biasa suami pake,, dan hasilnya bedany jauh bgt sizenya bner² gede rombak semuanya jadiny",5
"klo bisa harga nya dimurahin lagi,, soalnya klo di bandingkan dengan levis yg harga nya 80 rb... kainnya sama",3
high recommended,5
"Terimakasih, barang nya bagus gak nyesal beli edwins",5
"Mantul Real Pic Terimakasih Edwin&Lazada 
Kalo Bisa Gratis Ongkir terus😅",5
barang n bahan bagus.. ukuran 34 kok perut agak sempit ya.. saya sarankan klo mau beli ukuran dinaikkan.. thx..,5
kualitas good,5
