review,rating
"saya sukaaa jemuran baju bayi nya ,,bagus danntidak ada yg kurang apah pun,,,makasih untuk toko nya yg sudah amanah..
makasih juga bwat abang kurir sukses ya",5
"algamfulillah dah sampe barangnya terimakasih buat yg penjual barang aman..dipertahan kan yah..
terima kasih juga buat lazada kurinya juga mksh dah ramah tama..",5
barang sesuai pesanan..pengiriman cepat..kurir ramah...mantul banget...tank lazada moga makin sukses,5
bagus banget ka. maaf🙏 paket nya baru di ambil sekarang soal nya kemaren ga ada sinyal. udah tiga hari.. mantul banget ka..👍👍👍 makasih ka... ,5
"jozzzzzzzz
puassssss

packing rapi
syg kurirnya gk mau nganter sampe rumah,,, pdhl tiap hr blnja lwt lazada ya krna pingin gk ribet bisa byr dirumah gtu ",5
Top markotop poko na mah😃👍🙏🙏,5
"bgus jemuran.tpi aga letoy 😅 mud""Han awet lh kak 😆",5
"pengiriman cepat,barang nya tidak mengecewakan terimakasih lazada 🙏",5
"bagus bgt,,, packing nya rapi, pengiriman cepat, kwalitas barang bagus bgt,, harga nya murah tp memuaskn bgt",5
"Alhamdulillah barang sudah sampai....no cacat sama sekali....
Terimakasih ya kk....
Semoga jualan nya berkah dan selalu amanah....
Terimakasih juga buat lazada....
😍😍😍😍",5
barusan sampai bos.moga besi n bautnya gk ada yg kurang.amin.mksi lzda n kurir.smua baut n besi lngkp smua.mksi byk ya bosku.🙏😁😘,5
"belum di liat dlemnya ,semoga baik2 saja ,packingnya agak ngasal sih.
tp ok lah cepet pengirimannya dn responnya OK bnget thnks",5
"sy pesan jemuran baji bayi tp besi tengahnya 3 batang tak ada, bagaimana sy mo pakai, lazada btl2 tk memuaskn kastemer( mengcewakan skali )",1
"good, sesuai pict, mudah2an kuat dan tahan lama, kurangnya hanya jika dilipat mesti pakai tali sendiri g ada pengikatnya langsung",5
"Alhamdulillah jemuran sampai nya cepat sekali, bagus saya puas gk ada kekurangan satupun, terimakasih💕",5
"maaf baru kasi ulasan krna baru buka,, keren puas bnget sesuai gambar,, mksi lazada keren sumpah👍👏🏼",5
"barang sesuai dgn gambar mksh lazada 
",5
