review,rating
Makasih lazada paket nya uda sampe tpi kenapa warna merah lama bgt ka beda ama yg biru makasih bang kuri nya ramah uda langganan juga,5
mksih barang ny sudh sampek dengan slmat,4
bgus sesuai gambar.pokotnya memuaskn dech semga sllu tidk mngecwakn,5
"bagus,bisa jd langganan bos",5
"Makasih gaun malammya...saya suka banget sesuai pesanan
",5
baju mantap,5
bajunya top. wlpn lama pengirimanya. ,5
Barang bagus pengiriman lama kurir ramah makasih lazada ,5
Baju nya bagus. Tp klw di saya si kaka agak kebesaran ,5
"saya pesan 2 yg datang cman 1, satu toko koq beda pengirimana, sedikit kecewa",5
trimaksh lazada barang bagus sesuai gambar walaupun datengnya aga lama ,5
Makasih lazada  baju nya bagus bahan nya adem saya suka dan makasih juga untuk abang kurir nya. ,5
Bgs bngett bju y sy suka bngettt😗😗😗,5
"gaun malamnya bagus sy suka
ini yg k 4 x nya sy beli
",5
"memuaskan deh belanja d Lazada
",5
"bagus. Terima. siiih. LAZADA
",4
"akuvsukaaaaaaaaaaaa.....bagusss sesuaii gambar MANTULLLL
",5
"bajunya cantik,tp sayang pengiriman lama",5
Sippp is the best,5
Realpict,5
tipis tpi lumayan.ternyata muat. ,2
baguss,5
good,5
top ,5
