review,rating
pedagang gak amanah penipu liat aja gak sesuai gt baju nya minta warna navy malah dksh nya yg warna telor asin mw dpt duit ko caranya bgtu si nipu org pembeli nyesel bgt mana gak muat,1
"gk ush blanja disini lagi,,,gk sesuai bnget sma yg di gmbar😠😠😠",5
"Brng mendarat kemaren siang, tp agak kecewa soal nya yg d psn wrna apa tp yg d kirim juga wrna apa.. 
Tp over old nya lumayan lah dgan hrga sgtu",3
pesanx ngk sesuai yg digambar diminta jumpsuit overall yg model kyk gini ew malah kirimannya laen kecewa banget.,5
"b̮a̮r̮a̮n̮g̮n̮y̮a̮ o̮k̮e̮ b̮a̮n̮g̮e̮t̮, d̮a̮n̮ m̮u̮a̮t̮ d̮i̮p̮k̮e̮ n̮y̮a̮.. k̮u̮r̮i̮r̮n̮y̮a̮ j̮g̮a̮ b̮̮a̮̮i̮k̮ b̮a̮n̮g̮e̮t̮, m̮a̮ k̮a̮s̮i̮ḫ b̮n̮y̮a̮k̮ l̮a̮z̮a̮d̮a̮.. ",5
Mksih yh kak brngnya udah dtng gk nyesal sy mah psan di tokoh ini  😍😍😍,5
terimakasih pesanannya sudah sampai dan hasilnya memuaskan 😊😊,5
"Udah gak mau lagi dehh beli di toko sini tukang tipu,,pesen saya apa,,yg dikirim model nya bukan warna nya salah ukuranya kecil,,nih bulan puasa kok gak jujur nih toko yaaa",2
"gak amanah pesen apa yang dateng apa 
kalo sekiranya barang kosong di cancel aja jd rugi kan krn ga kpake 
mau d retur juga ribet 
ga rekomended banget 
seller nya nipu ",1
"barang ga sesuai pesenan beda model gini bahan tipis bgt nyesel bgt beli haha , ga amanah jualan nya hati hati aja yg mau bli haha ngecewain bgt.. mau retur jg ribet",1
suka banget barangx bagus anak saya suka n pas ukuranx...sukses selalu lazada n terima kasih pak kurir,4
"Alhamdulillah barang bagus,sesuai banget dg gambarnya, panjangnya juga pas kurirnya ramah, bahannya juga ringan dan nyaman. makasih Lazada semoga makin hari kualitas nya makin bagus juga amin
",5
"paketnya sdh sampai,barangnya bagus tebel cuman ko nyampe sepinggang ja ya tingginya .kalo saya pake agak kurang gede sedikit mungkin klo ukurannya da 31 ga trlalu sempit.tp semuanya ok lah.abang kurirnya ramah...makasih lazada",5
"ini gimana sales nya,  yg diminta apa yg dikirim apa  😩 ukurannya juga gede kan diminta nya ukuran 27, kecewa saya tuh bahan nya juga ada yg rusak, buat pengirimannya cepet hanya selang 1 hari",3
"hati"" guys toko gak amanah, liat! pesen apa dikirim apa. beda semua. di komplain malah respon sesuai orderan terus. gabisa baca kli!",1
"celananya gk sesuai, hanya sampai pinggang aja, ukuran 29nya kecil,bagi yg mau beli naikin ukuran biar gk nyesal",5
D gambar kan d atas perut kenyataan clna biasa ada d pinggang jdi d pake engga pantes akh...,5
bagus. barang nya pas di pakai sma istri,5
"sangat memuaskan... 🤗 trimakasih pokonya udh bikin pelanqqan puas... kurir nya juqa ramah, udh jadi kurir langganan malah😀",5
"bahan tebal dan adem di pakai y
puuuaaassssss 😘😘😘😘😘",5
kecewa saya masa tdk sma dgn gmbar wrna nya jg salah sama gk ada talinya kecewa syg kash bntng 2,2
terimakasih bahan nya sesuai dan bagus banget,5
i like it  💙,5
kok barangnya bedaa yaa sama yg di gambar kak?,5
iyaa terimakasih lazada barangnya gk ngecewain kulirnya juga ramahh,5
jelek tdk sesuai dengan gambar 😠,1
"Bagus bangett, Pengiriman cepet satu hari sebelum estimasi, Uk 30 ngepas bgt diakuu kirain bakal kegedean hehe, packing rapih ",5
bagus banget real pict tapi kata ayah tali nya jangan pareasi harus nya nyambung sama karet tapi gk papa lah yang penting muat 😁,5
"kecillll 😖😣😫😫😫😫padahal bagussss

muat sampe pinggang doang yaudah tali nya diputusin di jadiin celana ajh udh lah😁😂

",5
"sesuey sih cmn size nya aja,,kecil,biasa pake size 30 pas,,klou yg ni aga kecil jdi sempit ngetat bngt di pake nya,,v gk pplh msih bisa di pake,,mksih yh buat lazada sama kulir nya",5
bagus sih cuma model nya kurang sama seperti di gambar di gambar sampai perut celana nya yang datang model celana biasa sampe pinggang doang tapi bahan ok,5
baru kli nh sy di kecewakan ...barang tidk sesuai sm gambar ..mohon lebih telih lg .trma ksh 🙏🏽🙏🏽,5
Paket udah datang bahan bagus kain ca tebel tapi belum di coba cukup apa ga ya soal ya anak ya ga ada,5
ka pdhl saya pesan drak blue tp yg dtng beda wrna pdhl bagus cln nya kecewa aja di wrn nya tkut konsumen saya gk suka minta di retur gk bisa klau ada jngn asal kirim aja gk amanah nama nya 😣,2
Muntap brang nya baguss realpick bngettt...  Cmn sayang pesen warna ny apa yg dteng beda...  V g ppa selalu puas sma lazada..  Abang kuurir nya udh langganan... ,5
"Bagus sesuai yg di gambar,anakku suka banget, bakalan langganan di toko ini lagi. trimakasih Lazada & kulir udah langanan baik",5
sayang banget kekecilan padahal Bagus😔😔,5
paket  udh sampai barang bagus tapi agak sedikit kecewa talinya putus satu..ang kutirnya udh langganan baik lagi teriama kasih laxada,5
Bagus keren pas bangt dibadn ponakan ku ttp brthn n amanah n maskulir nya juga dh  lagganan jujur lagi pokonnyh gk pernh nyesel dh blnja ditokoni👍,5
"jumpsuit nya bagus ade aku suka banget pokonya ga nyesel belanja di sini, makasih ya ka 😊",5
"mksih lazada 
ini sepatux aku suka ",5
"bahannya sangat bagus sih,tapi syg disayangkan gk kepake krn kekecilan..pesen size 28 dikirim 27 alhasil gk kepake gk masuk sma sekali dri paha pinggang",3
"bahan nya bagus melar, ade saya suka, pengiriman cepat, kurir ramah karna dah langganan tq lazada puas belanja disini 😘😘",5
bagus barang nyh,5
gk amanah d gambar enak sampai bawah dada celananya eh datengnya d bawah pinggang jelek gk kepake... ,5
"kak,  ini knp barang yg datang sm sekali gak sama dengan gambar nya... mana ukuran anak2...dipakai anak ku yg kelas 5 sd aja ngepres... yang jujur dong  kak kalo jualan.... ",5
Mintanya yg pake pita di tengah kok yg datang malah yg gini.. Kecewaa... ,3
"produk bagus tp koq panjang nya GK sepanjang yg d,gambar aku coba GK smpe seperut cuma sepingul sperti celana biasa",5
"kecewakan
lain sama yg dipoto. jualan itu yg jujur la
dipoto nutupi perut.  yg datang cuma sepinggang",1
"celana kodok nya cakepp baNgett 😍😍😍 gakk pernah kecewa deh blanja di lazada 🙏🙏🙏
  buat kuriir nya ramah ",5
"celananya bagus sih bahannya juga ga terlalu tipis, cuma agak kurang sesuai ekspektasi, di gambar keliatannya celana sampe bawah dada ternyata aslinya cuma sampe pinggang, mentok di bawah pusar. di gambarnya juga ga ada kantong di depan celana, aslinya ada kantongnya di depan, tapi ga masalah kok masih tetep bagus. selebihnya ga ada yg kurang. makasih seller.",5
"
Dikira saya ini teh clna sampe peruttt ternyata cuma sepinggang nyeslll bangettt masa ukuran 28 kecilll bangettt siiii mending gua buang aja kecewa",1
bagus branya cmn gk muat biasanya sya pkek size 30  longar ini mlh gk msuk di bokonya bgus tpi syang gk bsa ke pkek nie 😥😥😥,5
baru,5
bagus si tp cma smpe pinggang aja ga kya gmbar,3
saya kira Jenas nya tinggi ternyata cmn smpe pinggang aja😅tapi gk PP lah sya suka,5
real pick bagus bngt ,5
Pengirimannya cepet banget dan kualitas produk lumayan bagus👌 Terimakasih 🤗,3
barangnya bagus pengirimannya cepat banget thank lazada🥰,5
"g sesuai, yg dijual apa yang dikirim apa ",5
ko dtngnya kea bgini :(,5
Tidak realpict,2
"kecewa parah,saya pesan apa dtg nya apa?tolong kalo jualan yang amanah,bisa jd penipuan ini",1
Alhamdulillah sesuai dgn gambar CS ku suka makash kak😊 dan buat kurirnya maksh juga yah . 😘😁😂,5
d Poto gak ada saku depan nya ko ini ada sii,3
"sesuai dengan rekomendasi barang sudah sampai...

",5
makasih sangat puas,5
terima kasih 🙏🏻 saya suka celana nya,5
"sangat puas celana nya bgus kemasan rapih, kurir nya ramah banget mkasih lazada",5
puas dach🥰🥰😘😘,5
"barang nya kurang memuaskan ada yang cacat gini☹️☹️
",2
"bagus tebal bahanx realpic, awalx ragu tp stlh dtng tdk mengecewakan.. good",5
alhamdulilah barang ya bagus yg persen suka 😃😆,5
datang nya beda warna... males beli lagi ke toko ini...,3
Bahan nya bagus sesuai sama gambarnya ga nyesel deh pokonya belanja disini😊,5
bagus banget❤️,5
Memuaskan,5
barang yg kirim tidak sesuai pesanan...,1
Warna a tidak sama dengan di gambar,5
ko bisa salah warna cie emba padahal kan saya buat jual lg 🙂🙂,5
Warna tidak sesuai gambar kecewa😔,3
kecil ga muat ..sedikit kecewa ga sesuai gambar ,5
bagus sih tapi kekecilan ,5
lumayan. thanks,5
toko nya amanah,5
sesuai jdi langganan in mh,5
"baju nyabagus aku suka

",5
kekecilan biasanya no 29 masuk ,3
mantap bangat bajunya,5
"beda sama yg d gambar

tp lmyan lah .mksh lazada
mksh bng kurir",3
"real pict..
dan pas bgt dibadan
pokoe mantulll",5
Bagus real pich ❤️😍,5
celananya bagus,5
Realfic Bahannya Bagus Aku Suka ,5
"alhmdulillah bgus bget,,pelanggan suka👍👍",5
Terima kasihh brang sudah sampai dengan selamatt reap fick😇🤗🤗😇🤗,5
"ga sesuai gambar,malah dikirim celana kodok",5
barangnya bagus nyampai nya juga cepat makasih,5
"barang bagus.....pas dan muat di adek sya
",5
"barang bagus,pas di anakku",5
barangnya bagus sesuai digambar,5
makasih ka bagus baget suka ,5
"Thnx lazada, barangnya bagus sesuai harga, n kurirnya juga ramah.. ",5
"barangnya lumayan bagus, cepat sampai, kurirnya ramah, terimakasih lazada",5
Tapi sayang rijek di bagian paha,5
"makasih barangnya sudah sampai, sesuai pesanan.",5
aku suka jamsuitnya bahanya halus ,5
puas bangat,5
"yg bnr atuh bda bget sama yg d gmbar  ,,huhu dasar mlez blnja d lazada dai  kecewa",5
bagus sesuai dengan gambarnya saya suka sekali,5
The best❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,5
Baju baru sampai dan mantab Lazada ok buanget deh,5
"bagus,,muat juga buat anak  ku umur 11 tahun😁",5
bajunya kirain panjangnya nympe perut ternyata nyampe pinggang😝,5
"Celananya bagus suka banget, makasih LAZADA ",5
oke barang nya,5
realpict mksh ya kurir udh jadi langganan,5
mksih lazada celana nya bagus realpict ,5
bagus bgtt cm syg banget kekecilannn😭😩,5
"bajunya bagus ,",5
bgus real pict,5
"makasih Lazada dan juga kulir ya mf bru ngasih ulasann, , 🙏🙏🙏",5
"bagus , cuma rada ngatung , apa emg modelnya ya",4
puas bngtt cantik d pake nya pun nyaaman Alhmdulilah 😍,5
barangnya bagus banget aku  syuka bangett kak,5
ukaran aga kecil.  to bahan bagus.  jd d pake sm adiku,5
top bgt pokok nya,5
Barang realpic banget makasih lazada ,5
sangatt bagusss🙏,5
Yey barangnya barusan sampe. bagus bgt makasi lazada,5
"Trimakasihh brang ya, baguss sesuayy,,  ",5
saya cukup puas dengan barangnya sesuai dengan harganya,5
baranq nya mntul,5
"barang nya udh sampe...mksih lazada
barang nya bagus",5
bajunya ude sampai pas dibadan ga nyesel deh blik di tokoh ini ,5
"bagus,kurir ramah tkanks lazada
",5
"bajunya bagus ,realpict 👍",5
sukaa sama bahannya. maaf baru bisa kasih ulasan sekrng barang nya udah dari kemaren² datng. ,5
"Mkasih,, lazada cmn celanaya no 28 ko kecil yaa
Mkash jg buat mz kurir yg dh langganan,, ",5
barang nya ok..pengiriman cepat..thanks seller..,5
real pict sesuai trimksih sukses selalu 🙏🙏,5
thank lazada barangnya realpict,5
"paket dah nyampek ,sesuai gmbar sayangnya kurang besar gk ada zise nya",3
"barang udah nyampe,pengiriman cepat+sesuai 
thanks lazada",4
bagus bnget 🤩🤩🤩,5
"bagusss banget sumpahhhhh, kerennnnn lagi, puasssss terimakasih banyak yaa🙏",5
brang mantull sesuai pesanan,5
Engga nyesel deh beli disini bahanya bagus banget😁kurirnya juga langganan,5
"real pict, bhn ny juga tebal 😍😍😍😍",5
Bagus barag nya makasih lazada,5
brgnya gga sesuai,5
Bagus babget,5
"nomor tidak sesuai
",1
"GK sesuai gambar, yg di gambar talinya lebar, yg di kirim talinya kecil gimana sihh",5
yang di pesen apa yang di kirim apa..,2
celana nya banyak rejeck nya..model nya juga bukan higwest,3
Celana bagus sesuai yg di gambar....tpi ini gmana gk muat di pke kekecilan....bisa di tukar gk ya,3
respon nya cepat... barang ok bangettt.... pkonya puass dehhh recomended bangeeddd🤭,5
alhamdulillah barang bagus banget saya suka belanja di lazada.tros kurir jgk bngt bngt🤗,5
