review,rating
"alhamdulilah brang nya dah sampe
 sya udah blanja 3 kali d lazada dan ini yng 4 kali nya barang nya bagus2 dan tdk mengecewa , 
kurir nya baik2 . trima kasih lazada smoga sukses terus.",5
"Alhamdulillah.. Barang y Bagus Sesuai Sma pesanan.. MKS Lazada,Kurir y jga ramah.. mga jadi Lang Ganan...🙏🙏",5
baru sempat ngasih ulasan.barang nympek dg selamat.paking rapi.pokoknya memuaskan.,5
Paketnya bagus kumplitt jg dan berfungsi dng baik terima kasih seller mojon maaf baru bisa ngasih ulasan mksh amang kurir nya..jng ragu beli di toko ini amanah pokonya mh semoga smkin maju buat seller nya,5
real pict,5
Kabelnya bagus...sesuai pesanan...bungkusnya rapi....jadi terjaga keamanannya.....pengiriman cepat....respon sangat baik,5
Kabel tidak sesuai relpick...,2
sy gunakan utk paralel tv kabel. tp gbr tdk bagus sama sekali,2
"mantap jaya, packing rapi, sesuai pesanan 👍👍👍
",5
"barangnya sudah sy terima. mksh buat semua pihak terkait,. sukses sll bersama lazada",5
"pengiriman cepat sehari nyampai,penanganan dan kemasan memuaskan,barang kabel rg6 nya bagus",5
"udah nyampe cuman kabel tembaga nya aja kurang tebal,ga apa makasih buat kurir lazajada pastinya",4
barang udah sampek ,5
paket udah sampai tpt waktu dah di pakai mantap trm ksh dah lama langganan di lazada blm pernah kecewa ,5
Ok gan paketnya sudah sy terima. Top terimakasih moga lancat gan.,5
pesanan mndarat dengan aman kurir ramah dan baik thx lazada n jasa pingirimnya 👍👍👍,5
"mantap, berfungsi dgn baik",5
Barang dah sampai makasih lajada dan yang jualan. nya moga semakin sukses,5
"Barang sudah mendarat dg baik dan kemasannya tdk ada yg cacat, semoga berfungsi dg baik.",5
mantull,5
barang sesuai harga...,4
"barangny oke bagus..trmksh reseler
lazada",5
ok.. siiiip brg sesuai pesanan.. mksh untk lazada dan kurirnya... mataaap,5
kabel nya kurang baik konektor retak,2
"barang diterima dgn baik,  dan cepat prngirimannya,  mantap... ",5
pesanan sudah sampai,5
oke..banget..,4
telat 3 minggu baru nyampe,5
bagus banget,5
barang bagus ....tp lama karna covid,5
Uda sampai pesanannya. tp blm di coba. thx Lazada ,5
👍👍👍👍👍🙏🙏🙏🙏🙏,5
tv LED sy berubah total gambarnya walhasil semut yang di tv lenyap,5
bagus sesuai gambar,5
Bintang yg menjawab ok👍,5
barang oke ,3
barang sampai tepat waktu,5
"mantul,tebal gambar bersih, recommended, pertahankan terus, thanks lazada

",5
barang top sesuai dengan harganya. makasi lazada,5
mantap barangya,5
"pasti bagus
pengiriman ok",5
pesanan yg kedua lebih cepat... mantaap terimakasih lazada,5
siiiiiip.lngsg dpt digunakan.de best lazada,5
"mantap gan kabelnya.
",5
Kabelnya bagus.tpi colokannya gk pas ditv ku . ,3
m,5
mantul / sangat puas,5
mantul rekomendet,5
Lumayan cepat,5
bagus dan cepat pengiriman nya,5
barang lumayan.. udah saya pasang.. sinyal mantap,5
produk sesuai gambar. semoga berfungsi dg baik. pengiriman cepat. pertahankan...,5
sesusi harga & pesanan,5
mantap barangnya ...maju terua lazada..,5
kabel y . cpAt patah tembaga dalam y,1
saya ingin uang kembali karena barang nya tidak sesuai ,5
ini bukan kabel RG tapi kabel koex buat antena tv... payah. gak profesional jualnya. ,5
"Lumayan bagus
Cuman barang gak sesuai yg dipoto itu... ",3
"Ternyata barang bukan RG6, dikasih soket longgar si mudah lepas",5
"maaf telat, good lah",5
alhamdulillah bagus,5
kabelnya krg bagus dikasih tdk sesuai dgn gbr pakai plastik konektor terpisah,5
Thanks Lazada. Barang sdh sy terima. ,5
Thaks Lazada,5
Barang bagus dan harga super mantaps.,5
Thanks Lazada,4
ok brgnya,5
lama,3
good,5
Makasih,5
Mantap gan,5
"ok.
sip",5
sip,4
bagus,5
mntap,5
ok sipp,5
Baguss... ,5
good,5
mantap,5
