review,rating
"maksh lazada barang nya bagus ,udh 2 bln di pakek istri barang nya masih awet kayak ini",5
Kalung ny bagus bngt mntep makasih lazada,5
pengiriman sih cepat kwalitas produk mengecewakan bukan titanium asli.jadi rugi coust ngak mau ambil☹️☹️ walaupun cod juga bayar.  setidaknya pesanan di lihat sebelum di kirim..,1
sesuai pic. thanks,5
oke mantap ,5
Gmna che uda pelanggan juga... Cantulan kalung ny yg 1 g ada... Bikn castamer sya kecwa aj hars d'teliti lg y nexz tiem,2
good job mksh 🥰👌,5
"Barang dah nyampe dan sesuwai pesanan kurirnya pun ramah,,mantul makasih lazada,,",5
"Real fict mksih seller ,,pkonya GK pernah kecewa blanja di Lazada",5
kalung nya udh sampe....mkasih lazada kurir nya udh langang bgs,5
Its very good,5
Good poko namah..  Sukses terus ya kak,5
Setiap kali pesen dilazada Barangnya sllu real pick maju terus Lazada😍,5
Kalungnya bagus cantik mksh Lazada😘,5
sodara ku suka . & huruf nya sesuai yg aku pesan ,5
Bgus ssuai psanan..👍👍,5
"Bagus barang nya , saya mau order lagi semoga tidak mengecewakan pelanggan",4
Barang nya gk seauai😔😔,2
malah barangnya dah sampai,5
Bagus sih cuma pengiriman nya lama,5
👍👍👍👍👍,5
kecewa,5
bagus ,5
