review,rating
"paket sudah diterima baru sya buka har ini. tetapi yang saya terima drone LF 606, bukannya saya order LF 609. harus bagaimana penyelesainya",2.0
saya sangat kecewa dengan pelayanan pengiriman barang nya karna tidak sesuai dengan yang saya pesan.saya order drone LF 609 tapi yang saya terima type LF 606..tolong pihak lazada menindak lanjuti kepada pihak si penjual.,1.0
KECEWA...BARANG TIDAK SESUAI DENGAN PESANAN...TOLONG DI PERHATIKAN DALAM PENGIRIMAN BARANG...DAN HARUS DI SESUAIKAN DENGAN PESANAN.,5.0
barang tidak sesuai katalog,5.0
"barang dtng tepat waktu tapiii....pas dtng kemasan /kardus bekas di buka (lihat gambar) dan ironisnya ga ada handle untuk perekat hp ke remote,buat yang mau beli d lapak ini tolong cek comment krna bisa untuk menilai dan agar tdk menyesal",1.0
"trimakasih kiriman sudah sampai kurir baik barang juga baik dan normal tapi yg aku tanyakan kenapa tidak sesuai pesanan yg di pesan drone pakai kamera yg datang drone biasa tanpa kamera....jadi aku agak kecewa

",5.0
brng ude ane terimh tp ane blm cobaiin ,5.0
kecewa brng jauh beda ama iklan. ambyarr,1.0
brg dah sampe dengan selamet tp blm di buka dan kurirnya seperti yg biasa. sukses terus buat lazada,5.0
"
",5.0
pesan lf609 yang datang.  mini...aduh..kecewa...bos,2.0
barang sudah sampai anakku seneng bgt semoga awet  kurirnya mantappp,5.0
"Di ko akalain na ganun ung drone sabi kasi sa video ay ganun ndin makukuha di makaka koneksi sa wifi via telepon un pala bahasa India gagana di parang laruan lang sya... Diharapkan ko un ung order ko, sana po mapalitan nyo ke at maayos nyo ibibibazin bahasa India ganito diharapkan ko ..",
