review,rating
"pengiriman lelet,barang rusak di kirem  heng,,,sangat sangat kecewa mau bawa kemana ni barang banting ke Aspal baru ok sebelum di kirim eloknya di cek dulu bos",1
sebenernya gua suka tapi mounting yang panjangnya gak ada jadi gua belom bisa pasang ke helem.tolong dong seller kirim barangnya ,5
"gimana to bos....sya pesan kamera lahhhh yang datang palang salon/spiker?item namenya udah bner tpi isinya mlenceng jauh banget....gmana nih tanggung jawabnya?saya maunya kamera bukan spiker,gimana solusinya bos?",1
"pengirimannya bagus sekali tepat waktu, gak ada yg rusak jos gandos lah  lazada #)",5
"kiriman udah nyampai,tp blm tau bgs apa ngak nya 😁👍",5
Mantap lah.. biar bintang yg berbicara,4
"barang sih oke bagus,tapi anternya lama",5
"kualitas sesuai barang..
",5
sipp barangnya,4
"INI 4K ATO 32 BIT??

JUALAN YG SESUAI STANDAR BOS",1
terlalu lama barangnya sampai,2
gimana sih g bisa disambungin ke hp,1
Bagus dan Mantab,5
