review,rating
"barang bagus tp tidak bisa di gunakan karena yg buat nginstal fail/kasset ya gaj ada,.gak sesuai dekrifsi....Lazadaya mantap penjualya GAK YES",5
Barang sudah mendarat sempurna...tapi sayang pengiriman agak lama...tp gak masalah...barang ok..mkasih,3
Barang oke sesuai psnn mantaap kurir nya juga ramah dan sopan...  Lazada kreen moga sukses... 👍👍👍👍👍,5
"diterima dgn baik ,,cctvnya dites baik,,respon penjual baik,, kurir jg baik,, semuanya baik,,,😉🤗... jaga trus kualitas dan sukses selalu ",5
"packing rapih
sesuai gambar pesanan lengkap isinya
pengiriman 4hr sampai praorder
dites mnyala tp blom liat hasilny
mantap...
tkyu onlineshop n lazada",4
"ok barang di Terima dengan selamat,  dah di test dan hasilnya ok,  standar lah untuk CCTV harga segitu,,  matur suwon bosqu",5
barang sesuai gambar dan berpungsi dgn baik.,4
kecewa.. CD Drivernya nggak ada.. MicroSD USB tidak hidup..jadi barang tidak bisa digunakan. gimana ini?,1
Halo gan cctv nya sudah saya terima tapi tak di sertai kaset cd driver nya..kan yg lain mah di kasih tapi kalo yg ini mah engga jadi bagai mana nyeting nya..jadi susah jadi belum bisa saya pake..saya minta supaya di kirim kan cd driver nya!,5
"ms knph cctv nya lampu merah m ijo bareng ya nyalah nya.  kn klou ijo doang ngerekam. 
 ko ini bareng klou tak mou cek cctv ga ngrekam",5
Sementara pasang 1 dulu.mantap pemasangan mudah,5
barangx mantap.. berfungsi dgn baik . cuman kesulitan kalau mau pasang di dinding.. kurang praktis cara pasangnya,5
"Mantap barang cpat smpai gx kcewa,  barang sesuai dgn yg d gambar dan bisa d gunakan trimaksh smoga slalu trjaga kualitas nya ",5
"barang udah saya terima ,sayang g dapat memory nya ,tp saya puas,barang normal semua pakingnya rapi,makasih lazada",5
Berfungsi dengan normal hanya hasil rekam warnanya tidak real sepertinya terkena imbas cahaya lampu sehingga hasil rekam warna baju dll berubah.,5
"barang dah diterima tapi rusak, gmn pertanggung jawabannya nih , masa gak dikasih power aja LED nya dah nyala kedip2",1
baru sy coba barang ga bisa d gunakan...biasa'a sy klo stiap psan d lazada ga pernah kecewa...tp buat yg satu ini sy kecewa banget,1
"dimana tombol play kk..!
",5
maksi buat barngx suda di terima tapi blm di coba mudahn bagus dn berfungsi dgn baik klu suda di coba klu bagus hasilx sy pesan lgi.maksi buat tokox maksi juga buat lazada.ko kasetx dlm dos ga ada ya?? gi mna carax formt,5
tank you lazada brng pas & cocok,5
"Tq lazada...👍👍👍,mantap cctv-nya
 Tq juga buat toko nya,👍👍",5
barang sudah sampai. semoga awet. terima kasih,5
"Barang bagus...tanpa kurang satupun...
makasih lazada",5
driverny gak ada gmna kwan.. gmna mau dpakai periksa dlu donk jgn bru2,5
Barang Sudah Diterima Dengan Baik Sesuai! 😎👍,5
"lumanyan, tapi warna nya ngak cerah, buram dan merah kayak mingki mingki gambarnya, sampai anak gue ketawa ketawa liat gambar cctv ini lucu bangat buat lazada",5
oke makasih lazada pesanan ud nyampai pas dg yg di gambar bagus mantap.,5
tidak bisa di pakai. bahanya kurang tebal,1
mntul,5
"berfungsi
cm mikro sd tidak ada",3
mantaplah sudah 1 minggu normal jaya,5
Barang sesuai dgn pesanan...semoga awet..terimakasih.,4
pesanan lambat sampai nya.....ga banget deh...bsk2 ga mo pesan di sini lg...kapok sy...,1
"Alhamdulillah sangat puas..
maaf baru bisa kasi ulasan",5
ga bs konek ke hp ya..,5
Alhamdulillah barangy sesuai,5
lumayan dengan harga murah,5
mendarat dengan sempurna 😊😊😊😊😊👍👍👍👍👍,5
CD drivernya g ada ya,5
paketnya sudah samapai tapi belum tahu hasilnya makasih,5
brang utuh to blm d coba. ,5
Ok  mau peswn lg,5
toko jdi aman..... thank lajada!,4
mantap lumayan makasih lazada,5
mantap barangnya.. cmn kurang praktis cara pasang di dinding... ribet... ,5
fungsi baik,5
"bagus sesuai gambar,tq lazada &seller",5
pengiriman barang sesuai tggl....tapi pas di cek memory card nya gak ada....terpaksa bli lagi....,3
barang tidak lengkap ngak ada cd. ,1
"ok berfungsi dgn baik,,,thx",4
Sesui dgn gambar,5
Mohon ma'af. Kasih tau dong cara memakai Gimana? ,3
brg dh nympe dh d coba bgus mksih smua ny,5
Maaf baru kasih ulasan...paketan sudah diterima..packing rapi..pkoe sippp..mksh,4
mohon untuk diganti yang baru karna ini akan saya retur gan,1
barang bagus sayang tanpa microsd,5
"baguuuus. klo dlm ruangan.

kurir juga baguuus",4
Kamera cctv nya nggak berfungsi nggak bisa merekam gimana ini bos. Apa bisa ditukar?,5
Mantap..hasil sesuai speknya..Tks,5
"barang sudah sampe,cara melihat gambar pakai hp bisa
",5
barang sudah sampai sesuai d gambar,5
"mendarat don't slmt BLM dicoba such mudah2an lancar
",5
"bagus
",5
"mantul..
mudah-mudahan awet.",5
cuman tidak bisa cara gunakan lihat di hp,5
mantul,5
ok,5
bagus,5
👍👍👍,5
bagus,5
👍👍,5
"bagus

",5
bgus mksih,4
👍⭐⭐⭐⭐⭐⭐,5
"ok
",5
barang ok,4
