review,rating
"sangatttt..puassss...kameranya bagus..free baterai,tali kamera,pengiriman sangat cepat,seller ramah..pokoknya oke banget..saya kasih bintang lima..nanti isi film nya beli di kampung kamera ya",5
"br sempet review,paket cepet bgt sampe,packing aman pake buble wrap,hanya mmg hasil foto kurang ok sih..buat iseng2 aja kali ya karna emang harga kamera nya mumer,over all ok lah",5
Packing oke. Barang oke. Thankyouuuu,5
"barangnya belum sampai ke saya.tapi kok udh ada pemberitahuan telah diterima yah..
mohon kak ditindak lanjuti,karna ini barang pesanan orang lain",5
"Tanks ,,paketan udah nyampe sngat cepat pengirman.a,tp blm d.coba semoga good",5
paket mantap!!!,5
" salah warna harus warna putih, tapi gpp seneng bngt aku",5
mantul tul tullll,5
sesuai gmbr & deskripsi 👍👌🙏,5
Barang dh datang cepet  top pah,5
"Respon cepat, barang original bergaransi",5
"Good packing, fast shipping 👍",5
"Kamera nya bagus, terima kasih.. ",5
"barang bagus, packing rapih, sampainya cepat, makasihhhh",5
