review,rating
"Sangat memuaskan, barang original dan bonusnya sesuai dengan yg tertulis di foto promosi. Masukan aja untuk mengganti partner ekspedisi karena Ninja Express pengirimannya cukup lama (5 hari) padahal lokasi saya tidak terlalu jauh dan lihat review orang2 untuk Ninja Express kurang baik",5
untuk pengiriman memang agak terlambat 2 hari mungkin karna psbb. untuk packing aman dengan bubble wrap tebal sekali. segel nya aman. untuk free accessoriesnya juga lengkap. disertai juga kartu garansi 1 tahun untuk produknya.,5
"kwalitas okey, pengiriman cepat, dan sesuai deskripsi di gambar... puas belanja di Central Camera...👍👍👍",5
"kameranya bagus n lancar jaya, mas kurirnya jg baik barang datang lebih cepat dari estimasi. makasih Lazada 🙏🙏",5
Kamera nya mantap mendarat dengan sekamat makasih lazada mantap,5
"Mantabbsss, Sesuai dengan Gambar, Puas dan Pengiriman Juga Cepet diluar Estimasi atau Perkiraan.
Isi Paketnya Lengkap, Kartu Memorynya Juga yang Kelas 10. Bagus dah Puasss Belanja Kamera disini, Terpercaya.
Sukses Selalu ♥️",5
"baranya okee, pelayanan penjualnya bagus. namun ada beberapa hal yang tifak sesuai, mulai dari anti goresnya yang kekecilan, memory cardnya bukan merk spt di gambar & clening kitnya juga yifak sesuai sama gambar. sedikit kecewabtapi yang lenting cameranya sampe.dgn selamat",4
"Terima kasih. Sudah sampai dan pengantaran dalam kota Jakarta cepat sekali.
Baterai belum dicharge , akan saya coba setelah charging.",5
"Bagus,realpict pengiriman cpt bgt tambah kurir'a super ramah👍👍👍",5
sangat puas kreen banget,5
"produk ori, trusted, puas bgt❤️",5
"Barang + accessories lengkap dan ok, tp pengiriman barang lama..., saran aja klo bisa jasa pengiriman barangx diganti dehh....jgn pakai ninja ekspresss, tks",5
barang datang dengan selamat. sdh bisa digunakan dg baik. makasih seler. maaf ga ada fotonya soalnya diksh ke sdra ,5
"anti goresnya gk pas, sama tripodnya kurang bagus kalo bisa yang gorila,sama pengirimannya agak lama.. selebihnya aman...",4
good lengkap dan cepat pengiriman nya😍,5
"mantab sesuai pesanan,dan bonus nya juga nyata tanpa manipulasi, tp cuma tas nya begitu tipis, tp over all oke lah",5
barangnya bagus  respon cepet pengiriman  cepet,5
mantul mantap betul!!! pengiriman cepat packing rapih 👍👍👍👍,5
"Bagus, cepat sampai, respon chat cepat.. Makasih ya central camera 😍😚",5
Barang di terima dengan baik dan lengkap 👌🏻💞🤩,5
mantappppp bgtttttt asli,5
barang sampai dengan baik dan real pic.,5
"barang sudah sampai,dan sudah unboxing,tingal coba buat ngevlog semoga awet dan berkah,terimakasih",5
"mantap barangnya berfungsi baik, tks ya",5
Mantap recomend lah pokoknya mksih seller maksih lazada👍👍👍👍,5
Order grey sudah confirm via chat dikirim Putih ?!?!?!?!  SD card tidak berfungsi!!! Errorr,3
"sip smua...kamera dan bonus2 nya..rekomen dah thanks Lazada, Central Camera dan JNE",5
"Barang original, syukaaaak thanks Seller thanks Lazada",5
Good product and quality ,5
mantul ,5
good,4
