review,rating
"hasil foto dr kamera ini rumayan boss. 
tergantung pencahayaan nya juga. 
hasil fotonya klo pindahkan ke HP okeee passsss

semoga awet.. 👍👍👍👍",5
"bagus..pengiriman dari luar negri tapi gak terlalu lama..alhamdulilah anak senang,gambar baguas..thanks",5
produk diterima dengan baik dan packing rapi.. untuk hasil foto setelah dicoba hasilnya tidak mengecewakan.. cocok untuk pemakaian dokumentasi.,5
trma kasih lazada paket udah saya trima dngan rapih kurirnya jg baik ramah barang jg sesuai pesanan tanks to lazada,5
ukuran nya pas banget buat dibawa kemana2 dan cukup gak ribed juga. klo hasi jepretan si tergantung mp nya😂,5
barang sudah diterima dg baik dan sesuai pesanan. Packing rapi dan aman walaupun tidak diberi buble warb spt biasanya klo saya beli barang dari luar. Sudah dicoba dan berfungsi dg baik. Ponakan suka banget. Terima kasih.,5
"Sebenernya krg puas soalnya hsil gambar nya ga begitu jernih mlah lebih jernih hsil dri hp sya 😞 tp sy ksih bintang 4 aja menghargai jerih payah pengiriman nya aja yg bs di bilang ckup cepat klo pengiriman dr luar negri
",4
"barangnya oke walau bungkusanya biasa aja.
 awalnya kukira hasil kameranya jelek.
 eh Pas di pindahin ke pc hasilnya bagus...
batre juga awet..
 dari segi softweare juga lumayan setara lah ama harga... ga ada foto tapi hahaha",5
Not as I expected.. it looks like a toy and the package was awful....  ,4
mohon maaf sebelumnya..alat pres gelas yg saya beli kemaren..kok ndak bs dipk y..kl buat ngepres plastiknya ngikut keatas bukan nempel ke gelas..padahal udah diukur temperaturnya..mohon dibantu untuk cara penggunananya..,4
barang sangat berkualitas dan mutu terjamin camera lumayan jernih terima kasih seller and lazada sulses selalu.,5
"TERIMAKASIH KOKO,BAGUS SESUAI ORI BANGET BARANGNYA, CUMA GAK ADA MEMORI CARD NYA AJA YH GUYS, SEBELUM BELI BACA DULU ULSAN2 KAMI. PENGIRIMAN NYA PAS SEMINGGU MALAH SESUAI PREDIKSI",5
"tidak kecewa sama sekali, sangat bagus",5
niceeee!!!😘😘,5
cocok buat anak kecil.,4
Bintang ja yg bicara,5
agak  kecewa kametanya mati2 dan beberapa tombol susah di pencet ,5
kecil..simpel dibawa2,5
tidak sesuai.apakah boleh saya kembalikan. ,2
Bagus sama kaya digambarnya,5
"barng oke bagus, tapi syng gk ada memory nya:(",5
Alhamdulillah 😁👍Bagus banget ,5
"barang ok, sesuai pesanan,, gambar + vidio lumayan bagus bagi pemula seperti saya",5
Barang mengecewakan ! Photo mainan ini namnya sangat sangat Buruk !,1
Tq kak kameranya bagus tp kok yg datang warna silver ya.... ,5
"lumayan bgu untuk harga segituu
pengiriman lebih cepat Dri hari yang diperkirakan..",5
Barang bagus tapi datangnya sangat lama,4
sangat bagus .. the best .. v gk masuk kartu memori .. jd belum bisa digunakan ... kualitas ok,5
aga kecewa barang nya sampay skarang kamera ga bisa di pakai karena tepat memori nya ga ada ,5
kurang memuas kan,1
"Kualitas gambar jelek, sistem pengoperasiannya kurang praktis",1
tolong barang yang di jual berkualitas ce,3
"Ok, sesuai harga barangnya",5
"barang bagus, sesuailah sama harga. cuma kurang charger batterai ga ada. keseluruhan sih oke...",5
👍,5
lumayan untuk harga segitu ,3
"barangnya rusak,,LCDnya Retak..pokknya kecewa bget..",1
mantull....puas..tks lazada,5
Barang bagus👍terima kasih,5
mantul di liat dr harga....,5
"blm dicoba,,soalnya blm ada memori sama cas2san,,tak kira sudah ingklut ",5
"bagus, kirain udah sma memorinya  tapi its ok",5
kerenlah,5
Bagus,5
