review,rating
"trimks paketnya sdh sampai,seneng banget barang nya bagus,tebal,semoga makin sukses ya,oh ya kurirnya jg ramah
",5
"pengiriman sesuai estimasi, barang bagus, bagus pokoknya ga nyesel deh, hanya saja saya pesannya terlalu besar😢 Tp syukkaaa ko, trmksh JULIA HASNA",5
brngny bagus.,5
"barangnya bagus, aq suka.... mkch lazada.",5
"bagus sih,  cuman pengiriman nya lama,  tapi gpp lah,  thanks",5
oke ... sesuai di gambar       tetap pertahankan kualitas produk nya ,5
Pesanan sesuai deskripsi dan orderan.terimakasih,5
Pesanan sesuai deskripsi dan orderan.terimakasih,5
Pesanan sesuai deskripsi dan orderan.terimakasih,5
Pesanan sesuai deskripsi dan orderan.terimakasih,5
"Terimakasih ya lazada, terimakasih seller julia hasna, trimakasih kurir yang baik, barangnya bagus, pas di aku, warna dan ukuran sesuai pesanan.👍👍👍👍👍",5
tolong dong kalo memang barang kosong bilang saja... jangan pilih warna putih di kirim Hitam.. dan di plastiknya di tulis Putih lagi kan kurang ajar banget di pikir cari duit gampang,5
Emang sih bahannya bagus tp cmn aq kecewa aq pesan warna putih terang yg datang warna hitam tp gpp sh.,2
barang nya lumayan bagus trims lazada,4
Bahannya bagus tapi sayang resletingnya baru mau di pakai langsung lepas alias rusak. Beli 2 lagi. Sebaiknya resleting jadi perhatian utk produk selanjutnya. Trm ksh. ,1
sangat bagus terimakasih barang ya uda sampe ke tangan saya 😘😘,5
bagus banget.....  sesuai pesanan dan sesuai deskripsi,5
"Real picture, sukak sx",5
Mm bagus banget pertahankan kualitasnya,3
mntull,5
baguss,5
"bgus , tp wrn putih nya kek udh kotor ",5
"gk beli nyesel dech... dr pd jahit mahal
ini harganya udah pas dech",4
cantik bagus juhgaa,5
"Sesuai pesanan 
Bahannya bgus.... Trima ksih lazadaQu",5
brang sudah nyampe maaf baru kasih ulas,5
Keren ssuai pesanan mksih bnyakkk. Pngrimn ny jg cpet respons seler jg baik...  Alhmdulilah. ,5
bagus mksh yah sesuai gambarnya thank you lazada ,5
"produknya bagus , cocok sesuai warna",5
kecewa ga muat kAmisolnya..mau retur bisa ga sis,5
bahannya bagus... ,5
"peking jelek bnget,kecewa gk sesui dgn harga nya,d perbaiki peking nya",5
Pas make perut keliatan gendut,2
Bagus bgt ,5
Lumayan ,3
👍👍,5
oke,5
bagus,5
