review,rating
"Kecewaaaaa,,pesen warna apa dptnya warna apa dh gt sampenya lamaaaa bgt pula,,udh sampenya lama,,warna yg dipesen g ada,,trs bahannya jg tipis.klo soal bahan msh g bgtu mslh sih,,sesuai harga tp soal pengiriman & respon nya yg lamaaaaa bgt itu loh yg hrs lbh diperhatikan  ",2
"gimana si,minta warna item ko yg di kirim biru dongker.gabisa bedain warna ya?",1
Barang lumayan sesuai harga,5
"cakep banget baju nya,",5
Sangat kecewa!!  Yg bnr aje beli kaos ukuran s di kirim daster jumbo haduhh,1
pesanan tdk sesuai yg sy pesan .sy pesan warna ping .tp yg sy terima warna ungu .jd kecewa ,5
mksih lazada paketny udh nyampe... mksih jg buat Abang kurirnya ramah tamah...,5
alhamdullilah istri sy senang,4
"brangnya bagus kurirnya ramah. 
makasih lazada",5
cukup bagus untk harga sgitu,5
Paket dah datang. cukup bagus baju nya.. pas lgi di badan aku.. mksh lazada.. ,5
Nyesel banget belinya pesen wrna hitam yg dtng kyk kelabu kayak baju udh bekas ,1
SANGAT MENGECEWAKAN,1
panas,3
mantap,5
