review,rating
"kurirnya ramah, bahannya adem, warnanya juga bagus. pokoknya mantap deh....👍
aku mau pese ukuran XXL.....ada ga yah....🤭
",5
"kualitas baik , pengiriman agak lama.. bahan lembut..harga murah lumayan buat hari2",5
oke terimakasih..sesuai 👍👍,3
paket dah keterima'. mantaf .. makasi.. bahan adem..good good good,5
ini juga cantik,5
Gilaa keren abis nih recomended nih beli disini sesuai pesanan👍👍baju mulus bahan nya cotton👍adem lagi 👍sukses selalu lazada,5
"kaos nya Adem Dan Bahannya sangat Lembut enak Dipakai 
Suka bnget lah Walau dengan Harga segtu geh
makasih Buat Lazada Dan makasih buat Kurirnya Juga Yg udah jadi langganan😍 ",5
"puas bgt real pict no tipu-tipu
next order Gain gan/sist",5
brang nya mntap pas sma pesanan nya...👍,5
mantul bahan adem,5
mantaaaap.....,5
baguss bajunya keburu aku tie dye ala ala baru sempet review,5
"yeeeyy pesnn ny udh smpi.bahan ny ademmm kurir ny ramah udh langgann c. sukses teruss

",5
"mksi lazada, brang nympek dgan rapi",5
"paket udah nyampe
thanks",5
kerrreeeeenn,5
"bagus sekali bajunx ,kainnya bagus ,jahitannx rapi",5
Bagus banget kaos nya,4
"barang sesuai pesanan
",5
Kerennnnnn kaosnya👍,5
"bahan adem,sesuai dgn psanan,pngiriman cepat jga pkoknya recommended lah",5
"recomend seller,bagus,bahan tebal pokony puas jadi langganan disini ni.",5
bahannya bagus dan adem,5
beeechhh bagussssssss barang nyaaa gk nyesel belinya .. Lembuuttt bahan nya mantaaaaappp,5
"Kecewanya pengiriman lama,biasa juga gk lama tapi sekarang sekarang lama banget yahh ",5
"Ini sih mantulll, bahannya adem ",5
"barang sudh sampai tadi sore jm6
mantap kaos nya keren terimakasih sudh sesuai pesanan sya",5
"pesennya warna biru langit, barang nya warna merah.... aduhh sangat kecewa ",5
⭐️⭐️⭐️⭐️⭐️,5
"keren
",5
Mantul ,5
"mantabb.. sesuai pesanan 
ada rencana beli banyak 
semoga di kasih diskon gede 😊",5
"Mantab ..pengirimann cepet rekomendasi bgt ..jd pengen pesan lg
",5
Bagus bgt pokoknya bintang 5,5
bener2 sebagus itu,5
"Baju nya bagus, enak di pakai",5
bagus.. cucok lah pokokny,5
👍👍👍👍👍👍😍😍😍😍,5
lumayan bagus ,5
ok barang sesuai real pic saya pesen 4 hasil'a memuaskan,5
pertahankan kualitas..,5
recommended,5
untuk harga segitu lumayan tankz lazada,5
bagus realpict ,5
paket sampai dengan aman packingannya pun rapi respon chatnya pun baik dan cepat recommended banget,5
mantap barang sesuai dngan pesanan kk😍,5
kaos nya bagus real pic paten kali lah sesuai harga,5
Keren pokoknya ,5
bagus sya suka,5
Bajuu realpict sukaaa👍,5
baguss,5
mantul,5
good,5
top bgt,5
👍👍,5
good,5
Mantul,5
mantap,5
suka,5
ok,3
mantul,5
keren,5
mantaappp,5
Mantul ,5
