review,rating
"Kasurnya bagus, tapi kenapa ada bolongnya dipinggir. Bukan kerena pengiriman ini, karena pengirimankan orang2 toko sendiri, isi mobilnya sy lihat kasur semua. Jd bolong dari toko nih... ",2
Thanks barang bagus harga murah..  Yg kecil javaland yg gede central,5
"sesuai ekspektasi, semoga awet, pengiriman sepuluh hari kerja...btw gpp sih...sy pas lagi promo mid year 12 juli",5
kasurnya cukup tebal.. ,5
"produk sesuai pesanan,dikirim dgn kurirnya nya toko pemjual dan setelah barang di terima kurir minta uang jasa ,krn yg terima barang juga karyawan saya tdk di kasih krn sy tdk titip biaya kirim lagi krn sy transfer ke toko sdh include biaya kirim,mendapat laporan itu jd males pesan lagi. barang yg sdh sy pesan 2 kasur +2 tempat tidur padahal sy butuh 10 pcs krn untuk mengisi kamar kos.mohon kpd pemilil toko ini merupakan masukan agar barang yg di jual di info dgn jelas sdh plus ongkir.",5
"mantap kasur nya pengiriman jg cept 
terimakasih buat oscarliving yg sudah memberi pelayanan terbaik,buat kurir jg oke
smga usahanya lancar  terus..!",5
Sesuai pesanan. Pengiriman cepet juga 3 hari udah sampai. Kurirnya juga interaktif via wa.,5
Cepat nyampenya....👍,5
"barangny ok banget, sampai lbh cpt dr estimasi
tdny aku ragu krn tdk bs cod tp alhamdulillah bs di percaya.
recomed banget tokonya..tx lazada..",5
alhamdulillah.pesanan sampai dengan selamat.mlm2 yampe..terima kasih buat kurir toko dan lazada😊,5
"pengiriman cepat, saya minta warna biru dikasih nya warna merah, tapi gpp lah yg penting barang sudah sampai thx",4
"alhamdulillah barangnya sudah sampai , sesuai pesanan",5
keren bgt.. bagus,5
"Mantap, pokoknya nggak kecewa, bagus banget kasur nya",5
"Sesuai gambar, empuk, pengiriman tepat waktu",4
"Bagus, sesuai dengan ekspektasi. 😀",5
pengirimannya lama ,3
"Kasur bagus, trpacking rapih",5
baguuuus kasur besar,5
Fix Beli Disini lagi,5
Sesuai gambar n diskripsi ... ,5
"empuk kasur ny..
bangun ny jadi kesiangan teruss..🤭😂👍",5
bagus sesuai barangnya,5
"Sayang warna putih, padahal maunya biru.
Tapi gpp bagus juga sih",5
"Sagat bagus kasurnya sesuai yg Ada di gambar,  recommended utk di beli ya..  ",5
"Kwalitas ssuai harga, pngiriman cepat, poko ny puas lah belanja d sini, thanx lazada n seller",5
produknya bagus mudah2an awet..,4
"Puas bangat😊
Real pick",5
"produk sesuai gambar dan deskripsi, kasur murah tapi gak murahan...kasur empuk...mudah2an awet...",5
"Pegiriman cepat, barang bagus sesuai dengan list",5
Productnya bagus sesuai harga...puaslah.,5
bagus kasurnya dan ga nyesel beli disini thanks Oscar living,5
smoga awet,5
bagus,5
ok 👍,5
Super,5
top .. ,5
ok,5
