review,rating
gambar nya pria berdasi...dipake anak SD saja ngga muat... sempitnya... Maaf saya kecewa dengan produk ini,1
"Astaghfirullah , nauzubillah 😭😭😭
emang harga murah tapi bukan berarti barang rusak yg dikirim.
datang 4 pasang yg 2 bolong , yg 1 kainnya rusak, yg satu lagi panjang sebelah.
Trauma cukup tau aja gak bakalan beli disini lagii 🤪😣",1
"mantuuuull,  sesuai harga

",5
barang sudah sampai. bagus sesuai ,5
"brg d terima sangat bagus , sesuai pesanan 
makasih lazada",5
"pesan 2 paket yg isi 4 wrna hitam di keterangan nya eh datang nya 3 dongker 1 item belang 3 warna total jadi 7 pcs aturan 8,sudh konfir ke toko mudh2an bisa di kirim lagi kekurangan nya,maaf memang hanya kaos kaki 1 pcs,tp tanggung jawab agar pelanggan tdk kecewa..",3
"Kualitas bahannya biasa aja cenderung rada tipis
Harga murah sesuai dapat 4 pasang kaos kakinya
Respon admin toko'a cepat
",4
mksh kak..  bgus bgett kaos kaki ny tebel dn sesuai pesenan..  ,5
Sangat kecewa kecewa ada yang lubang,1
"di situ keterangan nya kaos kaki panjang tapi dtng nya pendek ,",2
"barang  oke,  sdh diterima,  dngn baik kurirnya rama 
pokonya Lazada debes. ",5
saya minta random yang datang item semua kecewa,3
barang nya bagus dan memuaskan mksh buat lazada😊,5
Mantab barangnya dan seller nya juga ramah dan asik di ajak chat FAST RESPON😘👍👍👍,5
bhan tebel bgus,5
"goooood,, goooood,,, kualitas ok punya pokoke mantips lah. ",5
ok semua,5
