review,rating
"barang sdh sampai dgn baik...
dan barangnya sangat bagus sesuai gambar..
mksih Lazada....
saya mw belanja yg lain lg....nih....",5
barang sesuai ekspektasi... semoga suamiku suka ma bajunya...barang juga d kas rapi.. terimakasih lazada...gk nyesel deh blanja d sini,5
trimakasih lazada paketnya sdh smpe.. saya sangat kecewa.. barang yg saya pesan ga sesuai warna nya.. apa mungkin pelayan tokonya yg buta warna??,1
"Barang sudah ditrima dlm kondisi baik, ukuran baju pas, bahannya dari karet jd pas di badan, warna juga sesuai pesanan
Trima kasih lazada dan seller",5
"gimana sihh saya pesan warna abu² kok yg dtg malah merah kakak saya gk suka,- kl misalnya barangnya itu habis kabari napa_- biar bisa pilih model atau warna yg lain,- kl bisa ini di ganti dehh... warna nya gk cocok ama selera... barang nyaa sihh cpt sampai kualitas jg sesuai ama harga....",5
Benar2 kecewa sama seller.. yang dipesan apa trus yg dikirim apa.. gak sesuai... klo emang mau duit jangan dengan cara nipu orang.. baru kali ini dapat seller yg ga amanah.. ,1
"barangnya sdh sampe dengan selamat dan sesuai keinginan saya, terima kasih lazada saya gak nyesal barang/kemeja nya bagus",5
baju jelek tipis baget. saya pesan 3 ko dtg sama semua sii tlong ya teliti baik ya pak klo mau pesan jgn kase sama bjunya pak... ,1
sayangnya barang yg dikirim salah g sesuai pesanan..baru kali ini pesen dilazada yg dikirim beda...digambar lengannya abu,1
warna dan kemeja yg saya pesan tidak sesuai dengan gambar. sudah seminggu dari hari saya pesan dan baru hari ini sampai rumah. saya minta ganti bagaimana mas? dan untuk para pembeli saya sarankan tidak membeli di toko ini karena barang dan warna tidak sesuai dengan kita pesan,1
"sy kecewa krn g sesuai yg digambar, minta lengan pendek tp yg dtg lengan panjang, g sesuai dgn pesanan minta warna hitam tp yg sampe warna navy, kecewa banget ",2
"pengiriman ok, kain ok,bajunya kekecilan. saya pesan size L tp ga nemu keterangan klo bajunya size L, adanya angka 3",3
"Coba tolong di perhatiin lagi, saya pesan warna abu yg datng malah hitam, tolong kalo mau toko anda rame tolong di sesuaikan sama pesanan jangan bikin orang kecewa",3
"alhamdulillah sdh mendarat walau hr minggu,makasih terutama buat pak kurirnya, bagus sesuai dgn ftnya, bahannya jg bagus ,makasih lazadakrn ngga ngecewain",5
terimakasih produk udah sy trima. cukup lumayan sesuai cuma jahitanya yg kurang rapih. tolong lebih teliti lagi. warna sedikit beda.,4
yg ini gak mau ksh bintang sebenarnya. kecewa berat. Yang saya order sama yang dikirim/diterima beda. salah kirim woi.. kecewa berat!! 😠,1
"Terima kasih lazada paket nya sudah mendarat dengan aman dan baik.  Walaupun malam nyampek nya.  Lumayan cepat lah. kurir ramah dan sopan.  Pkok nya mantap deeh.  Makasih toko nya, kurir yg baik dan lazada yg mantap👍👍👍👍👍👍😊😊😊😁",5
"barang bagus sesuai diskripsi, hanya ukurannya lbh kecil, lebih pendek dari merk kemeja2 yg biasa di beli. ini model kekinian banget.....
",5
"paketnya da mendarat dgn slmt,pesanan sesuai foto,trmakasih buat tokohnya n lazada ,kurirnya baik bgt krn uda langganan jg.",5
"Alhamdulillah kondisi baju bagus,bahan nya jga ngaret,saya kancing bajunya jaitan nya kurang kenceng dan bajunya GK ada kantong,oke deh",5
"alhmdulilah barang udah nyampe. peking bagus bahannya juga bagus v sayang d bagian kerahnya ada bintik putih"" ,, d cuci juga ngg ilang ttp bntk putihnya ngg ilang.,,, kecewa sih v ea sudahlah mau gmna lagi 😕",3
"puas banget barangnya bagus,pengiriman nya cpt kemarin pesan skrng udah nyampe lagi,kurirnya juga ramah2 ...thk lazada n seller",5
"Baru ksh ulasan...Parah bnget.,ga sesuai gambar..yg jualannya buta...klo dagang jgn curang,yg dikirim tangan panjang jelek lgi.",1
"Barang dikirim sih dikirim, tp.modelnya beda banget dengan yang ditawarkan. gan yang  jujur kalau jualan ",4
Barang sdh saya terima lengkap...hnya kok ternyata bahannya tipis ya,5
"kaosnya nyaman dan bagus sesuai dengan gambar. sayangnya, 1. bahan kemeja susah disetlika jadi harus bersabar, 2. kalo dicuci agak luntur. tapi barang sesuai dengan harganya, jadi enggak kecewa hhe. thanks lazada ",5
model lumayan.. tapi sayang.. pesen merah maroon yg dikirim putih.. kecewa...  Yg profesional dong.. Baru ini dikewakan LAZADA.. ,2
parah ....saya 2pcs putih kenapa yg dtang putih sma coklat ...terus cklat tngan panjng...mna gak sesuai sma skli sma foto ....,2
barang yg datang ga sesuai .... ukuran nya ngga ada alhasil ga muat .. warna 1 putih 1 merah yang dikirim putih 22 nya...... kapoooook !!!!!!!!,5
kok di kirim nya yg ini... kan mesen nya yg biru navy... kok malah beda tipe... ga mau ini sy mau retur... tolong dong di cek lagi gmna ini pak... ,5
"Kecewa benar benar kecewa,..yg dipesan merah maron kombinasi hitam lengan pendek, yg dikirim merah kombinasi putih lengan panjang. Tolong kalau jualan yg jujur, pihak Lazada tolong cabut saja ijin jualannya ini toko sudah byk konsumen yg ditipu. Tanggung jawab lah pihak toko.",1
"Kecewa benar benar kecewa,..yg dipesan merah maron kombinasi hitam lengan pendek, yg dikirim merah kombinasi putih lengan panjang. Tolong kalau jualan yg jujur, pihak Lazada tolong cabut saja ijin jualannya ini toko sudah byk konsumen yg ditipu. Tanggung jawab lah pihak toko.",1
saya pesan warna putih tapi yang saya terima warna putih polos. lebih teliti lagi tolong dan lebih profesonal lagi. saya minta tukar dengan apa yang saya pesan sejak awal. ,1
alhamdulillah barang bagus tdk mengecewakan ... tp sayang nya kemarin beda pesanan pesan merah marun 2.. yg datang putih dan abu abu..,5
"baju nya bagus dingin enak di pakai cuma agak kecil, padahal sudah ukuran  XL. di tulis no 2,sama warna di kerah dan di lengan tidak sesuai... ",1
"SANGAT KECEWA!!! BARANG TIDAK SESUAI DENGAN GAMBAR👎 , Sizenya aku minta yang L , tp kok malah angka 2 . dan aku pesannya bareng sama jaket tapi yang masih dateng cuma hem nya orang yang nyasar ke rumah saya.. SAYA SANGAT KECEWA!!!",1
