review,rating
"pket smpai sehari sbelum eatimasi, bajunya tebal, elastis n tdk trlalu menerawang, ukuran bajunya kecil jdi klo mau pesan hrus d atas ukuran yg biasa d pkai,  kurir👍👍",5
"kemeja nya bagus,cuma ukuran l nya agak kecil",5
lumayan bagus..tpi kecil kemejanya...,4
bajunya bgs pas dibadan realpict dn ,5
"bahannya bagus adem tp kurang besar sedikit dan kurang panjang 
... padahal sdh ukuran Jumbo ",5
"allhamdulillah aku gk salh pilih sizeny heu,longgar udh gtu bhan enak adem dan ngaret..niatny bwt lebaran,tpi jdulny bju kntor/bju kerja hehehe.tpi kyny bgus juga yh ke kemeja2 maen dn acra jehehe",4
"recommended banget, pengiriman cepat, bajunya pas sama badan, makasih seller 😊",5
kmja nya cuuuco 🤩🤩,5
bahanya cepat kusut,2
Barangnya bagus dan pas... biasanya saya pake size 4xl itupun kegedean tapi disini saya pesan 6xl karna khawatir 4xl disini kecil dan ternyata size 6xl pas kaya 4xl di badan saya... terimakasih admin 👍👍,5
T̠y̠t̠ b̠a̠j̠u̠n̠y̠ p̠r̠e̠s̠s̠ d̠i̠ b̠a̠d̠a̠n̠,5
Bagus cuma ukuran l kecil bnget ky s,3
"Bahannya bagus walau tampak mudah kusut. Bahan stretch dan adem. Sayangnya bajunya pendek, di photo kesan bajunya panjang. Tapi masih menutup pinggul.",4
"Sering belanja online, tp baru pertama kali salah dikirim barang, harusnya lengan panjang, yg dikirim lengan pendek. Padahal lagi butuh cepat, mau retur jg malah rugi di ongkos. Lain kali lebih teliti lagi, biar tdk merugikan pembeli. Mohon maaf saya kasih 1 bintang",1
seller nya top❤ barang juga bagus❤ tapi kegedean di aku😂 salah sendiri si malah minta 8xl😂 oke good lah❤,5
"Untuk baju harga segitu sudah sangat memuaskan. Bahannya bagus, model Dan ukuran sesuai di gambar, sangat suka ",5
"Seneng banget, ukuran beneran jumbo, bahan bagus, dapet voucher jadi harganya murah. Packing aman, pengiriman cepat. terimakasih banyak 🙏🙏",5
"bagus bangt ..bahnya tebel .melar lagii
",5
ok.keren.sip.,5
paket udah aku terima dalam keadaan baik..kurirnya ramah dan sopan.... tapi bahan bajunya mulur kaya karet...,5
"Bagus, suka bajunya tp Ada noda kotor sedikit 😥😥",5
"Gak nyesel dehh beli disini, bahannya bagus dan meral, pelangganku puas👌 hanya saja agak terawang. Aku pesan XXL pas banget di tubuh aku 74kg. mungkin XXXL agak longgar untuk BB 75kgan.
Kurirnya udah langganan, baik dan ramah",5
"Bahan lumayan karena lentur/elastis..jahitan lumayan rapi,cuma kalo di sterika susah,harus bnyk semprotan air..finsihing kancing ngga rapi,sisa bekas lobang kancing [benang] ngga di potongin,posisi kancing & lobang kancing kalo utk wanita..terlalu tipis jarak tepinya,mengingat wanita ukuran [maaf]BHnya kan beda2..jadi kalo kita regangkan kedua belah ketiak/tangan,sgt memungkinkan beha kelihatan dr sela2 kancing.tks.",3
bagussssssss,5
"Puas,pas bgt trs melar lg.mksh lazada",5
barang nya baguss .. sesuai permintaan .. real picture .. makasihh .. ,5
"untuk pelayana lazada good, pengiriman cepat sesuai perkiraan, hanya saja. kemarin kurirnya kurang sopan, melihati saya terus, padahal saya sudah mengucapkan terima kasih, tp tidak beranjak juga dr rumah saya. entah apa sebabnya dia melakukan itu. sebelumnya kurirnya sopan,.. dan masukan untuk lazada, tolong untuk memperhatikan kualitas produk yang dijual oleh partner seller lazada, kalau memang produk ori, sampaikan di deskripsi produk apa adanya sesuai kenyataan. jujurlah dlm berdagang . karna kualitas bisa mendongkrak kuantitas. thx lazada ",5
elek,5
cocok,5
"barang bagus, kain tebal tapi ukuran L kekecilan buat saya ternyata",5
"ukuran L tp kok kecil, ",4
puas gede banget sesuai detail yang tertulis,5
sangat puas bhn nya bagu mksih ,5
sangat puas,5
kecewa tidak sama yg di gambar,5
Tencuuuu aku syuka sama baju nya♥️♥️♥️♥️♥️,5
"barang bagus,adem n melar cuma salah pilih ukuran kebesaran",5
"bajunya pas, ukurannya enak di badan..pokoknya mantap....",5
kereeeeeeeennnn,5
pas sesuai harapan,5
"bahan bagus, tidak mengecewakan. super zuperrr dengan harga segituuu. kereeeeen",5
bagus,5
bajunya ok😊😊,5
ukuran xl di kira besar ternyata kemejanya kecil..kecewa,5
kemejanya bagus tp kayanya kekecilan deh.padahal ukuran nya yg XL.tp kaya L,5
"Murah, cepat, nyaman dipakai",5
"top deh bj nya ,kurirnya sopan dan ramah mksh ",5
"sesuai gambar barangnya
",5
baguus sesuai pesanan,5
"order pertama di lazada sedikit kecewa, karena sy pesan ukuran 4xl kok yg datang xxl...???",4
5 stars,5
"bajunya pas tebal sesuai harapan, tapi koyak masa sobek sobek lepas jahitannya",5
"👍👍👍👍👍  sesuai harapan ,,, pengiriman cepat,,,,Mksh  lazada jg mas kurir'a,,,",5
barangnya oke dan pas di bada saya,5
barang udh sampai bahannya melar. tp XXL kecil lumayanlah.  terimakasih lazada,4
Kemejanya bgus bhan agak ngaret jdi ngpas dibdan cma mf foto bjunya nggak ada,4
Bahan bagus sesuai gabar.maksh lzadah,5
"kancing tangannya gak ada😟
",2
kemeja terlalu kecil ga sesuai ukuran,5
terima kasihhbh lazada..,5
Bagus... sesuai ekspektasi ,5
"agak kecil, tp oke lah bahannya cukup bagus",4
terima kasih pesanan saya sudah sampai,5
"pas bgt,makasih lazada",5
...,1
bahannya tipis,5
Baju nya bagus.. Nyaman di pake kerja puas banget ,5
sip,5
Wokeh 👍👍,5
good,5
mantab,5
👍👍,5
Bagus,5
