review,rating
"mantap,pengiriman cepat",5
maaf mau tanya... itu modelnya dicekok atau di kasih minum biasa aja... kalau di kasih mnum biasa ga mau diminum,5
amanah mantul 👍👍👍,5
mendarat dengan selamat😊,5
paket jamu udh saya terima.mudah2n cocok buat kambing saya,5
keren pokok nya mantap deh sesuai ,5
barang cepet sampe thanks lazada,5
"paket ny dah nyampe, mkasih seller pengiriman cpet pak kurir ramah, trims lazada",5
"Produk nya bagus mudah""n cocok buat kambing saya",5
Bau nya jambu banget. Moga bagus mkasih,5
siiip peking rapih khasiat juga ok.. thnkz boss nek bakal order lagy,5
"mau pesan lagi mantap jamu nya
",5
 bagus,5
barang bagus.... cuma pembelian cuma max 5 box,5
Mksh ,5
👍,5
