review,rating
"Kualitas barang sangat bagus,harga murah,respon penjual cepat,packingnya rapi,pengirimannya cepat,kurirnya ramah sopan dan bela2ain nungguin pulang kerja saya nganterin ya,terimakasih ",5
"Maaf bru kasih ulasan, pesanan sesuai yg sya mnta? Cuma syg ngak posisi kipas ngak bisa di putar, tapi gpp lah? Terima ksih lazada",5
katanya ready warna pink.tapi yg dateng malah ga sesuai keinginan.untung pelanggan nya ga rewel.lain kali yg amanah ya.,4
"Pengiriman sangat cepat💥 Pesan kemaren hari ini sampai♥️ Tapi maap, warna tertera di gambar warna ungu ko yang Dateng malah biru🤯 Not problem",5
"wah ok banget..pengiriman cpt..
kecil kecil tp angin nya badai..makasih lazada..makasih juga buat mas yg nganter nya ramah bangettt...",5
"Pesennya yang besar masa datangnya yang kecil 
Pesennya warna hijau datangnya warna ungu 
Saya sangat kecewa banget",1
Kipasnya mantulll👍meskipun ada sedikit hambatan dalam pengirimannya tapi gk papa lah😊trmksh lazada🙏,5
"Alhamdulillah barang sudah sampai dengan selamat dalam keadaan baik, tp kok kipasnya hanya satu arah, saya kira bisa muter kesemua arah, tp gak apalah yg penting anginnya super kenceng, thx lazada, seller dan kurirnya mantap ...",5
", packingnya kurang rapih, dus nya penyok2 dan sobek tp barang oke, kirim cepat seharusnya tgl 3 feb ini tgl 31 jan dah datang.... kurirnya dari ninja, pake topeng ninja ramah, mantul",5
"Alhamdulillah barang nya mah mulus.tapi sayang warna nya tidak sesuai apah yg saya pesan,saya pesan nya warna biru tpi yang datang malah warna hijau",5
"mksih ya kk kurir yg baik & rmah,,pengirmn nya nyampe dengn cept 👌bgt,,,,dh d coba lgsug & hsil nya,,,👌",4
"Untung brg nya gapp... kurirnya agak khawatir soalnya dusnya pd penyok2 n sobek gde...smpi di suruh buka dlu ditungguin nyala apa nggak nya...tkut apa2 kyknya, .. bt seller tolong kemasannya diperhatiin klo kirim brg lg... tp mksh bt semua ya.. good.. ",5
"Terimakasih barang mendarat dgn selamat,berfungsi dgn baik,cuma paking nya aja yg kurang rapi,cm dibungkus kardus doang,,penyok"",,,tp untung dalam nya baik"" saja,,pengiriman lebih cepat dari estimasi,thanks lazada,seller n kurir",5
terima kasih  barang  bagus imut  sesuai  gambar makasih seler makasih lazada makasih kurir pokoe mantul !!!,5
"barang kaya gini,pas di tayain ke kulir nya gk mau tanggung jawab,kalau jualan yabg bener dong jgn sampe ngecewain plangggan😡",5
"mksh seller ,mksh kurir ninja ,udh langanan ama kurirnya 
kipasnya  mini bgt ky dia 😂,mksh respon bgt :)",5
"barang bagus,angin nya kencang bangt top deh pokoknya👍makasih Lazada,tidak peenah kecewa belanja di sini🙏mantapp surantapp...semoga awet😊",5
"Tks lazada barang udh nyampe langsung saya coba.
pengiriman cepat pesan kemaren sekarang nyampe poko nya jozz..dah
sukses selalu lazada....",5
"kipasnya udah sampee cuwbet warna ijo, angin nya kenceng lumayan buat adiku yg gabisa tidur klo gaada kipas. thx lazada
",5
"barang nya bagus,tapi kalau bisa packging nya jangan sampai penyet gini. takut nya nnti barang nya rusak di dalam 
tapi its oke selagi gk rusak barang nya ",3
"baru kali ini kecewa banget belanja di lazada. masa dus nya ancur banget sobek2 pula.kaya barang bekas dan gak di packing sama sekali..sangat mengecewakan
",5
"Alhmdllh pket dah ympe mna kujanan bang kurirnya,, kpasnya bgus bgt ak suka,, mksh lazada ma bng kurirnya jg,,, ",5
kmren sore pesen skrg udh smpe. bagus kipas anginnya kenceng . smga awet. cuma kardusnya aja kok bgtu ya . tp barang didalam gada yg rusak. thx uuu. 😍😍,5
Alhamdulillah pesanan sdh sampai dan sesuai dgn gambar... sudah di coba bagus tdk ada yg rusak... kurirnya pun ramah dan baik serta pengirimannya cpt.terima kasih lazada,5
kipas anginnya mantap.. klik nomor 1 aja anginnya udah kenceng bgt 😀 makasiihhh yaa lazada sama tokonya semogaa berjalan lncar aamiin 😊,5
"siang aply permintaan besok barang nya nyampe... 
kipas nya nyala.... 
walaupun kecil tapi mantep angin nya, kencang banged. 
kecil2 cabe rawit namanya. 
keren...  keren...  keren...  puas banged harga jua terjangkau.
kualitas nda murahan. 
top daa",5
"alhamdulilah paket nya sudah sampai, barang bagus angin nya juga kenceng, makasih buat mas kurir langganan ku, makasih lazada😘🤩",5
alhmadulillah paketnya nyampek dengan baik kenceng lagi anginnya🤗kurirnya juga ramah pengirimannya juga cepat😍thanks lazada😍😍😍,5
wooooww kereeen sangatt cepat ,5
si kecil cabe rawit,5
"Cara bungkus nya bikin ngilu,gk ada perlindungan nya lagi dus nya ampe rusak untung barang aman",4
"kipas anginnya bagus no lecet2 anginnya juga kenceng.tpi kardusnya pengok
itu murni kesalahan pihak pengiriman bukan dri toko.
terima toko udh amanah sama barangnya maju terussss",5
"harga murah, kualitas oke, angin kenceng,, tapi pengemasan sangat sangat tidak aman, untung barangnya aman.  ",4
Alhamdulillah paket nya sudah sampai.barang nya juga bagus Dateng tepat waktu pokonya memuaskan.maksih lazada..,5
Barang bagus anginnya kencang cm kecewa packing nya gk ada bungkus lg tp gpp yg penting barangnya berfungsi bagus,5
"waawwwmemuas kn bngt kipas angin nya,,orang yg pesen nya sngt suka bngt,, mksih lazada sma bng kurir nya,,kipas nya mungil angin nya keceng 👍👍😍",5
"Maksih kak, kipasnya udah nyampe tp Kipasnya ga bisa muter... cuma satu arah aja 😁😁. biasanya di belakang ada tombol nya.",5
"kemasan penyok, ga pake buble wrap, untung aja kipasnya msh aman, diperhatikan kembali yaa untuk pengemasannyaa..",4
"barangnya gak dibungkus jadi hanya dus kipas nya saja ...

pas sampe dusnya kelihatan penyok ....tapi allhamdulillah barangnya normal gak ada kendala dan angin nya juga kencang ...",5
"mkasih ka...kipas nya bagus...ssuai pesanan...biruu...😍 dus nya smpe rusak karena kehujanan...tp alhamdlh kipas nya msh utuh..bagus...lancar...ga ada minus nya...
mksih buat seller...lazada..Abang kurir nya..😀😀",5
