review,rating
"Bagus banget pengiriman 2 hari langsung sampai tujuan
Terimakasih untuk Lazada,BL ELECTRIK serta jasa pengiriman Lazada",5
"alhamdulillah barangnya sampai dengan baik dan tanpa rusak atau pecah sedikit pun,,seller ramah banget minta double warp dikasih,gak nyesal lah pokoknya order disini
terimakasih seller,abg kurir ny juga",5
"Paket kompor portable sudah sampai dengan selamat, packing aman, box kompor tidak ada retak atau pecah, kualitas dan fungsi mantap. Hanya ada lecet di pojok kompor dan tutup tempat gas tidak bisa tertutup rapat, hanya sekedar menutupi gas tidak bisa tertutu rapat atau ke lock, tp overall barang ini mantap, cocok untuk dirumah, bawa liburan/piknik, atau buat usaha kecil2an. Oya kompor ini jg bisa untuk gas elpiji 3kg dan 12 kg sudah dpt konektor untuk nyambungin selang gas nya. Mantap 👍🏼",5
alhamdulillah berfungsi dengan baik,5
kenapa ga bisa di tutup ya?,5
"recommended for you, real pict, pengemasan juga sangat baik, sukses terus pokonya👍",5
"barang nya dah datang bagus,  makasih buat mas kurinya dah ngater dengan slamat. 👍👍👍",5
mendarat dngan selamat meskipun koper pecah kompor tetap aman... 😁😍,5
"Maaf, baru kasih Ulasan, barang nya mantap, nggak pusing"" lagi mau makan apa, toh tinggal masak aja yg mau d masak.",5
bgus,5
"Kompor oke , setelah di coba berfungsi baik ,penjual ramah, kurir langganan oke , pengiriman tepat waktu ,packing aman , mantap pokonya , aq kasih bintang 5",5
"Produk Baguss cepat sampai.. respon penjual cepat.. minta  di
kirim kekantor jam kerja juga sesuai..",5
"barang nya sudah datang dr kemarin sore.. packing rapih aman, makasihhh utk kurir dan penjual nya.. 😊",5
"kalau cod pasti datengnya cepet
barangnya bagus sesuai desc, tapi sayangnya kopernya pecah sedikit, sampe kompornya ikut penyok jadi agak susah ditutup tempat gas nya, mungkin pas pengiriman ya.. belum beli gas nya jadi blm coba, mudahan aman dan awettt...",5
maaf baru kasih ulasan..karna mau di coba dulu..kompor bagus api nya bner2 top cepet banget buat masak..tpi box nya pecah.. recommended banget jngan ragu beli disini,5
"barangnya udah dtang,, cepett kali datangnya barangnya sesuai gambar blm di coba sii,,bru pertma kali pesan barang di lazada,,moga aj bisaa nyala kompornya,,, makasih lazada  👍🙏",5
"bagus kompornya , saya suka , pengiriman hanya 2 hari sampai   thx seller , lazada , kurir    sukses terus ya",5
"baru bisa ngetiik ulasan hehe, kompornya udh nyampe malah udah dipake ternyata pasang gas nya ga sesulit yg di bayangin 😄 thx lazadaaa",5
"mkasi byk... barangnya udah diterima... transfer jam 2 dini hari.. langsung nyampek di pukul 10 pagi.. wow.. cepat, barang sesuaingambar, murah... MANTAPPPPPPPPPP",5
