review,rating
mantap jiwa brooooo..... ,5
"Mantap gan...mousenya bagus dan berfungsu dgn baik, semoga awet",5
"cepet sampe barangnya, cuma 2 hari dari pesen sampe dateng ke rumah barangnya, mudah2an awet barangnya",5
barang nya sangat bagus thanks lazada 👍👍👍👍,5
Good,5
Mantappp!!! Sukses selalu lazada n sellernya...,5
Barang sesuai di gambar.. Ok,5
"alus lah,  meh teu ceurik nu ngajualna",5
ini ok3 lah sesuai tapi b3lum ku cobak moga moga awat  kurirnya maaf lagi fokus games tadi hhahhaha,5
real pict.lancar di pakainya .trims,5
mayan lah,5
