review,rating
Kenapa sudah terbuka Gan ??? ,5
"Alhmdulilah barangnya sampai dengan cepat serta sempurna ..... terima kasih untuk lazada dan kurirnya yg ramah .....
 Sukses sllu ya",5
"Mantap betul, barangnya sesuai iklannya..! 
Tiba dengan cepat. Wow..! Kurir juga ramah.tanks lazada.. Saya Rekomended deh..! ☺️",5
pengirimanya lama🙄,1
"
mohon maaf, ternyata barang sudah sampai, tapi barang di kirim ke rawat inap umum belakang, dan saya di rawat inap jiwa.
dan mohon maaf saya baru dapat konfirmasi hari ini jam 14.50 wib dari group wa UGD puskesmas",5
bagus ... lumayan manfaat nya,5
ko lepas terus ia kalau di pake,5
kecewa Bru Mau pake udh putus,2
"Licin gan.. 
Alias selip.. 
😄",5
"produk sesuai deskripsi, cuma lelet di pengiriman aja",5
barang sudah tiba dan kualitasnya cukup bagus,5
"Paket datang tepat waktu,  mudh2n ada manfaat nya, abang kurir yg ramah terima kasih ",5
"paket sudah diterima, packing rapi, makasih
",5
barang sesuai pesanan moga awet,4
sesuai pesanan,5
ringx kecil. ,3
nyesal kebuka,3
pesanan sudah diterima dengan baik dan cepat,4
pengiriman agak lama .sdh saya terima,4
Barang sesuai..di foto...bagus sekali,5
saya ud pesan klo di pakek trus gk usah di lepas tahan gk,5
sesuai permintaan sip boss,4
Makasih lazada. Pengiriman cepat ,5
sudah sampai. terim kasih ka. sukses selalu,5
ukurannya terlaku kecil..,5
pengiriman cepat sekali,5
"barang sudah nyampe, paking rapi aman, recomended",5
kecil bngt ukurannya,5
Tidak enak dn sakit,1
sip sesuai gambar ,5
"Pengiriman cepat ,packing rapi , produk dan harga OK ",5
Cukup bagus,5
makasih bos barang sudah nyampe bukusnya rapi  tapi di dalam ko kayak udah kebula ya bos..??,5
"bagus
",5
"..
",3
lumayan ,3
baik,5
mantap,4
Mantul..,5
