review,rating
"alhamdulillah barang sdh nympek ,sgt puas krn bagus sesuai dgn gambar trmksh Lazada lain waktu sy blnj lagi  murah tp istimewa skl🙏👍",4
"alhamdulillah brang nya mantul banget trimaksih, sller nya amanah kurirnya langganan sopan banget trimakasih pa kurir & lazada top lah 👍👍👍👍👍",5
barang ok peking lumayan tapi sayng kenap susuh bngt buka kunci nya😢,3
"Koper bagus harga cucok,thankyou 🥰",5
barang oce😘😘,5
"pengiriman lama, tapi sesuai.. cantik kopernya. ",5
"mksh y kk pketan koper nya ,suka bngt kk mulus gak ada yg cacat,kurir nya jga ramah,",5
alhamdullilah barang oke banget semoga awet,5
Alhamdulillah paket sdh diterima dgn mulus tnp lecet/retak. Mksh Abang kurirnya 👍👍👍,5
lumayan bagus ,5
makash kopernya sudah tiba sebelm tgl estimasinya sukses slalu buat toko nya 😇dan buat ĺazada😇,5
"mks lazada, good👍👍",5
"barang sampe dengan selamat,barang ok tidak ada cacat,cuman pengiriman nya agk lama😉,tank's seller,lazada & kurir nya🤗",5
alhamdulilah meski lama barang nyampe dngn slamt mksi lazada maksi seller kara bener2 amanah👍👍👍🙏🙏🙏,5
"Mantap, pengiriman cepat, sesuai harapan dg harga segitu, gak kecewa, semoga makin lancar usahanya, makasih lazada, recomended 😘",5
"kopernya bagus sesuai dengan gambar tapi ada nodanya gitu jadi rada sebel aja,soalnya g bisa di hilangin",3
koper bagus .tidak cacat/pecah .saran yg beli yg lainnya cek dulu sblum ditrima .krn bisa2 jtuh pas pengiriman pecah .jadi hrs cek semua .,5
top,5
"mf bru ksih ulasan nya skrang brang nya dah nympe kmaren, brang nya bgus sesuay gmbar kurirnya jg ramah makasih lazada",5
"walaupun estimasinya telat sehari tpi ga palah kopernya bagus, cuma syang jahitnya kurg rapih...kurirnya baik makasih ninja...thx lazada...",5
kiraiin ukuran jumbo..bintang satu aja lah,1
"sukaaaa....sesuai gambar, tq lazada...👍",5
Alhamdulillah sudah sampai... cepet banget nyampe nya... kopernya aman👍🏻😉 kurirnya ramah,5
kopernya realpict sama dg gambar bagus ...makasih lazada pengiriman nya jg cepat kurirnya ramah ..,5
"Koper smpe dg aman,  realpict... Bgus,  warna ssuai pesann,  smg awet,  mkasih seller sdh responsif",5
bagus barang nya dan pengiriman nya cepat... top marotop... ,5
"ada pecah di bagian samping 
",3
bagus bgt koper nya tks seller nya sukses selulu,5
Terima kasih Lazada. barang pesenan sudah sampai... estimasi lebih cepat.. barang bagus.. ,5
"Koper nya really, rekomandasi bgt deh hehee:v",5
sesuaai harga ..baguslah sgnimah,5
Kren banget,5
realpick bngtt k smga mkin skses k Aamiinnnn,5
Barangnya udah sampai.. Kurir nya sangat baik dan sopan. Makasih lazada,5
mantul banget barang nya... pesen baru dua hari barang udh datang... recomended bangets nich buat yg suka traveling,5
baguss barangnyaa realpict.,5
