review,rating
barang bagus kemasan bagus kurir oke tapi sempet kecewa minta no 2 eh pas datang no 4. kebesaran ,5
"👍👌real pic , cuma agk gede dikit , tapi gk papa lah ttp oke ",5
"peci ny sesuai sma yg di gambar, bagus bgt gk kecewa 😁😁",5
kereeeen kopya nya anak ku suka sekali..makasi lazada..,5
pokok ny jgn ragu dh blanj d sni prtahnkn ,5
Alhamdulillah paketan nya dah sampai ABG kurir nya ramah ,5
thank..pengiriman cepat..anak ku suka bgt..kurir nya udah langganan,5
terimakasih paket sdh sampai no 4 muat sama anak ku.. ,5
"mkasih pesenan dh sya dh nympe,dn trimksih udh d ssykn ssuay pesanan,buat kurir ny mksih jga smga ttp lncr,,,,,",5
terimakasih paket sdh smpe bagus sesuai gambar tapi no 2 gak pas sama anak ku.. mungkin Krn ukuran kepala anak ku  lumyan gede jadi mau pesen lagi aj..,5
Bagus bagt peci nya gak nyesel....mau order lagi lah 1 lagi..mksh buat kurir nya baik..mksh juga buat reseller nya smoga ttp amanah,5
Mantab.anak saya suka bgt.,5
"Barang nya bagu pengiriman cepat , adek saya suka terimakasih lazada terima kasih bang kurir",5
"bagus,,, rael pict pulakk,, ",5
bagus bgt....realpict deh pokoknya....keren cepet juga dtg nya.fast respon penjualnya,5
"Alhamdulillah...bagus bgt pecinya.anak saya jd tmbh semangat ngajinya
",5
"barang pas, sesuai pesanan terimakasih Lazada",5
peci nya bagus,5
Ade saya suka makasi lazada😊,5
"bagus,, cuma no 5 kegedean untuk anak umur 5 taun.. ",5
"Alhamdulilah bagus peci nya,,anak saya suka bangett😍😍",5
bagus bgt.pass buat anak q,5
bgus mksih mas kulir,5
mantap puas ,5
Sya suka sm barang ny. . bagus bnget. . trm ksih lazada. . 🙏,4
"bgus,ank ku suka",5
makasih barangnya sesuai anak saya suka sekali,5
"barangnya bagus sangat puass sesuay dengan gambarnya
",5
pecinya mantuulll....anak saya suka,5
suka bgt peci nya bagus rekomendasi bgt deh,5
"makasih
ank q suka bnget
umur 4 tahun lebih aq pesen no 4 dan alhamdulillah nya pas😍",5
barang nya bagus cuma pengriman nyaa lama hampir 2 minggu,3
"di paket nya peci upin ipin
eh pas bukA.mlah bukan peci upin ipin
ga sesui pesenan",5
mantul👍👍👍,5
Bagus bgt anak sya jg suka makasih lazada,5
bagus,5
oke banget,5
pas sesuai,5
😍,5
good👍pengiriman lama satu minggu lebih,5
"Alhamdulilah, sesuai pict dan ponakan ku sukaaaaaaa, terimakasih ",5
Baguss banget peci nya adik saya sukaa bangett jadi makin semangat ngajinya makasihh lazada,5
Makasih paket ya udah saya terima pengiriman cepat kurir nya juga ramah  makasih lazada,5
mantab dan cepet datengnya anak suka..... ,5
anak ku seneng bgt trmh ksh,5
👍👍👍 top banget deh sesuai gambar kak .,5
🐭ok,5
sesuai,5
lumayan,5
Mantul😍😍,5
