review,rating
manataaaaaaaaaapp,5
"okey, mantaap",5
barang nya sewai psananku mksh y lazadah😘🥰👍,5
Manteppp dah suka saya,5
"bagus real pic sya buat tempat foto cincin klok ada yg mesen,trimakasi seller trimakasi lazada",5
saya kira aga besar tenyta kecil tpi lmyn lah...mkch lazada kuriny yg biasa top top bngt,5
"barang bagus cumn kurir nya lama 
",5
good,5
terimakasih ya kak bagus produk nya,5
lumayan bagus ,5
"paket sy terima dgn baik, pesanan cepat tanggap ,kurir ramah",5
"Ok Lah Dengan Harga Segitu... Cukup Memuaskan
",5
bagis kotak nya,5
"realpict trimajasih lazda seller&kurirnya trimksuh bnyak.
top markotop",5
jelek kecewa bnget,1
reall,5
Bguuuusss,5
lucuu,5
Ok,5
bagus,5
