review,rating
datanggg.. sesuai bagus,5
sampai dengan selamat...,5
baguss bgt aslii😄 puass bgt belanja disini..lembut juga saya pikir dpt 1 eh ternyata lima heheh😄 pertahankan teruss yaa,5
rekomen!! murah dan pengiriman nya jga cepett,5
"barang yg dikirim tidak lengkap, dan ketika saya knfir ke admin tidak ada sama sekali tanggapan,, mengecewakan,, chat saya tidak di baca",1
"Barang oke👍👍
Oku merekomendasikan ini kpd kalian🦄",5
"super duper lembuuttt ,dapet 5pcs , ah gilaaa dabest sih ini😭💗",5
"trimakasih barang sudah diterima bagus..dan sesuai pesanan .kurir langganan,,sukses selalu dan trimakish lazada ",5
"di deskripsi dapet 5 dengan harga yg tertera 3.000
pada saat pemesanan cuma dapet 1

saya pesen 5 pak seharusnya 25 biji kan? bagaimana?
pelanggan saya kecewa sis...tolong kirim lagi kurangnya

kalau saya salah baca deskripsi... mahal ya harganya kecil lagi 😢

seller dichat gak di read...padahal aktif
",1
"the best pokonya ;) 
next order lagi karna ini 1 1 buat tmanku juga",5
Di kira bohong dapet 5 ternyata bener mksih lazada ,5
"thanks lazada barang nya lumayan bagus lah ..
thanks buat abang kurir nya semoga selalu yg abang ..",5
bagus lembut trimakasih,5
dapat 5 ternyata harga 3 ribuan,5
"Kirain cuma dpt satu, ternyata 5 semurah itu💕😭",5
cpt smpe nya thanz lazada...,5
siiiip bagus,5
bagus sekali dan murah,5
barang sudah sampai dan sesuai pesanan,5
pendek.kirain pnjng.tp oklah brng dtng lbh cept,5
brang ny bagus realpict pngirimn cepet mntaaaappppp👍👍👍,5
Baguusssss👍,5
i like thiss!!,5
"kirain isinya cuma satu, ehh ternyata isi nya 5.mantull pokok nya 
 sukses. terus👍👍",5
"pengiriman lambat.
tapi gpp kurir nya baik",5
"Suka Bgt, murah !! fungsi nya banyak buat makeup,
ngebantu gw bgt buat ngerapihin sipat alis,
ngerapihin bulmat juga,
gagang nya juga bisa buat ngangkat kelopak mata klo mau pake soflan, pokok nya serba bisa semua😂",5
paket sdh ditrima,5
"Sesuai gada yg rusak sedikitpun, harga segitu dapet 5pcs termasuk murah meriah. adminnya juga ramahbangetttt. makasi lazada🥰",5
barang nya baguss real pict,5
sesuai dengan pesanan makasih langganan pokok na mahh,5
bagus bgt❣️,5
"Pengirimannya cepet bangettt, realpict pula! Seneng bangett, makasih seller dan Lazadaa!!",5
alhamdulilah ..dengan harga segitu lumayan dapat 5 ..,5
Aku kira bakal full black eh taunya dpt yg blackpink😂 nuhun lah ,5
Pket udh diterima . Sesua pesanan :) ,5
"haik kak maaf aku baru kasih ulasaan,  barang nya oke setelah sampai gak nyangka sebagus itu packing nyq jga rapih thanks yah jbs dan lazada",5
barangnya bgus udah sampe,5
"Bagus, Realpict dan barangnya sesuai",5
"suka banget murah trus cepet sampainya puas banget belanja disini jumat pagi pesen,  sabtu siang sudah sampe...  makasih",5
realpict,5
oke puas,5
"Pengiriman cepat,tidak ada yang kurang satupun,kurir ramah, thx lazada. ",5
realpict dan imuts thanks lazada pengiriman lumayan cepat... ,4
warbiyasahhhhh❣,4
oke,4
Barang bagus sesuai pesanan..,5
Good,5
"barangnya bagus, sukak❤",5
baguss,5
real pict,5
good ,5
siiip,5
👍,5
sampai nya cepet sekali . ,5
Alhamdulillah bulu sikatnya lembut,5
barang diterima dengan baik terimakasih:),5
.kuas nya bagus dpacking rapi psanan saya ...maksih seller dan lazada ...kurir baik dan ramah...,5
"mmm sukak💋😂😍bagus bgt aslinya, cpt lagi dtg nya😁",5
"cepett bgtt, thank u💛",5
"real pict,pengiriman jugak cepat thnks lazada",5
