review,rating
"Top markoTop..!!
akhirnya ga kehausan lagi di saat siang hari, langsung buka kulkas cari minuman dingin & buah segar.",5
"Alhamdulillah kulkas mini GeA nya sudah kuterima..barang mulus,, sesuai pesanan warna hitam.. kulkas walopun kecil cepet dingin ya,,dan semoga sjh aweet..
terimakasih kepada Lazada juga seller dan kurir ya..👍",5
"Maaf baru sempat ngasih ulasan, Alhamdulillah beli di toko ini amanah respon penjual sangat baik dan cepat, barang sesuai yg di foto sampai rumah utuh tidak ada yg cacat kurir juga baik mau antar sampai ke atas. Semoga berkah awet dan sukses untuk penjual2 yg jujur",5
"Real pict, dinginnya cepat, tapi penyok sedikit dibagian atas,
Kurirnya sedikit ribet, please improvement ya",3
Sesuai pesanan. Tapi agak lama ya.,3
"barang bagus sesuai deskripsi dan berfungsi dengan baik ada kartu garansi nya juga.

semoga awet thx",5
"mantapz..brg berfungsi dgn baik. dinginnya pas
dalem nya agak kurang luas, tapi okelah namanya jg mini kulkas 😅",5
Barangnya OK banget.... Terima Kasih kepada Penjual dan Lazada .👍👍👍👍👍,5
"keadaan kulkasnya bagus, dinginnya bagus, gak nunggu lama, kurirnya baik, terimakasih👍",5
"Barang sampai dengan cepat, dan baru pakai aman. Semoga ngga cepat rusak :)",5
"sudah diterima dengan baik dan mulus sesuai, ",5
"Terkemas rapi tanpa cacat, kurir yg biasa tp pke Mobil, kulkas rekomendasi bgt, lgsg dingin, freezer nya pun dingin bgt",5
"barang sesuai, tq lazada",5
"respon penjual baik, barang lengkap, dan pengiriman standar",5
barang nya bagus bangt tokonya manteppppp,5
is the best pesan sore bsok ny datng pagi..cepat bngat..barng dlm kondisi ok..semoga awet...,5
Mantappp dinginnya pooll,5
Alhamdulillah kulkasnya baik dan dingin sekali pengirimannya cuman makan waktu 2hari. Terima kadih Lazada,5
memang gk ada lampunya ya,5
watt kecil air es dingin yang keras.,5
"Kualitas ok, mudah dingin 👍👍👍👍 ",5
Dah diterima dengan baik....tapi belum dicoba...,5
Alhamdulillah sih akhirnya sampai juga ,5
"pengiriman cepat cuma 3 hari cod lagi barang bagua berfungsi dgn baik
",5
sangat puas ... kiriman tiba tepat waktu,5
Pengiriman cepat barang sesuai pesanan,4
"good lah, tapi emang ga ada lampunya ya?",5
"kecil, cocok buat anak kosan.",5
mantap kulkas nya pas buat anak kost dan kurir nya ok lah,5
"mantap barang bagus tidak mengecewakan
",5
"Barang ok seger.
Sellernya ok cepat tanggap.
Cuma pengiriman kurirnya kurang cocok, lama.",5
"Barang sudah sampai sesuai ekpektasi,..terima kasih",5
Kulkas gea,5
Dengan Watt kecil tapi mak. Dinginnya,5
Mau beli tapi kok gabisa kirim ke alamatku sih kak,2
Pembayarannya d muka atao kalo barang sudah sampai...,3
,1
