review,rating
"I got this with nice. thankyou ! but, unfortunately I can not turn on the lamp yet, because its cable unfinish. overall it's good. ",4
"Parah N Gilaaaaaaaaaaa bangeeeet tuh barangnya...
Baru aja dipesan eeeehhh tuh barang langsung nyampe
Yg kagak beli.... Loe nyesel seumur hidup",5
"trmah kasih, barangnya sesuai...",5
"Memuaskan dgn barangx,top dach....",5
belum di coba kelihatanya se bagus,5
ok. tapi belum diuji coba,5
"brang NY ok 
tpi g tau pasang NY 😭😭",5
"Barang sudah sampai, kirain gede yng dtg malah kecil bngtt",3
bagus..keren...,5
respon penjual jelek,4
bagus sesuai pesanan,5
Kirain gede sperti di gambar. Trnyata kecil. Smoga tahan lama. Makasi lazada,5
barang nya sesuai sy inginkan bagus,5
"Barang tlah diterima dgn baik..... Barang sesuai gambar, memuaskan. ",5
"barang selamat sampai tujuan, pemilik ramah",5
baik,5
