review,rating
"packing rapi, pengiriman cepat dan varang sesuai estimasi... sangat recommended..",5
mksih barangnya nyampek dg selamat..packingnya bgus barang sesuai..puas bgt pngiriman sesuai estimasi,5
barangnya recomended,5
"ada 3 pipa, dan bisa disesuaikan kebutuhan ",5
"pengemasan rapi, barang pesanan juga ok 👍👍👍",5
. Packing aman . Produk bagus . 👍👍👍👍 ,5
Bagus sukak. Thanks mimin ,5
"Packing aman,, brg berfungsi dgn baik dan pengiriman cepat",5
bagus bangett .. tp warna yg dipesan putih yg dikirim hitam,5
Good,5
