review,rating
"Barang telah diterima dgn Baik. . . . 👍
Pengiriman . . .Sangat Cepat. . . .     👍
Terima kasih. . ..  Seller. . . . 🙏
Terima kasih . . . Lazada. . ..🙏
GBU . . . 🙏",5
"sip bwt seler paket tlah sya trima,dan udah sya kasih konsumen lgi,paket mantul smua",5
lampu nya belum di coba semoga ajha hidup makasih lazada,5
lampu nya belum di coba semoga ajha hidup makasih lazada,5
lampu nya belum di coba semoga ajha hidup makasih lazada,5
belum di coba sih lampu nya ..semoga ajha hidup makasih lah lazada,5
barang udah di terima...tq,5
mantap terang,5
"respon cepat, barang mantaf sukses trus",5
barang bagus....sampainta cpt lg.,4
mantab...,5
"kiriman cepat, barang ok",5
"ok
",5
"good
",5
