review,rating
sudah sampai dengan selamat buat debay ku..makasih lazada🥰🤭,5
mantab seneng dah dateng,5
mintany yg model jari dikasi nya yg kotak😕,3
Real pict tapi bhan tipis udah gitu dikirimnya satu seharusnya pake keterangan 1 pcs harga sgitu kya yg lain kirain dpet tiga,3
"washlap spt washlap washlap biasa nya...  good seller bgt,  beli macam2 barang tp amanah bisa terkirim dlam satu paket dn tidak kurang satu barang pun. ",5
bagus banget ,5
pengiimn'a cpt ,5
"lumayan lah 
",5
terima kasih,5
Lembut banget bahannya ,5
realpict,5
maksh lazada...,5
bagus q suka,5
bagus barangnya...lembut..,5
good,5
👌,5
👍,5
👍👍👍,5
Bagus bgt,5
