review,rating
"mantap...... sesuai estimasi pengiriman jga cepat
makasih seller n kurir  
pertahankan kwalitasnya ya seller
😆👍👍",5
"Alhamdulillaah beli pas promo, sehari kemudian beda harganya hampir 100rb",5
"mantaap....👍👍👍👍...
makasih...",5
Pengiriman cepat. Barang sesuai pesanan. kondisi 100% baru dan tidak ada cacat. Resleting semua tidak ada yg rusak. Overall puas dan recommended. Terima kasih :),5
"mantuulll.... cepet jga pengiriman. udah kesekian kali pesan,gak kecewa pokoknya. thank you buat tokonya and lazada. 😘",5
"Pertama kali order di lazada, lgsg pesan 2 tas krn ada promo free ongkir.... 😄😄. Alhamdulillah real pic, tas nya juga bagus.  Trima kasih lazada..... ",5
"barang sampai dengn cepat, kualitas baik, rekomendasi baget, cuman agak kecewa, pas udah dipesen eh harga malah turun. overall rekomendasi kuaits barangnya.",4
"Alhamdulillah tas idaman udah mendarat dengan selamat... Tas nya keres, bahan tebel, free bag cover dan kekinian... Klo waterproof nya belum dicoba sih, mudah2n ok juga. Untuk pengiriman cepet banget, hari Kamis pesan, Sabtu 14 maret udah sampe, padahal di estimasi nya 16-18 maret...top deh.deh.deh.",5
"Alhamdulillah,,
Terima kasih paket telah di terima dg baik
produk original,elegan,bahan tebal,penuh dg busa
suka banget pokoknya😊

respon chat cepat
Walaupun sistem Cod bayarnya, seller tetap memproses dg cepat ,pesan tgl 12  siang sampai ditangan tgl 13 siang

kurir juga ramah dan baik

Terima kasih lazada,Seller,dan kurir☺",5
"udah dua kali aku beli tas ini,,tasnya memang bagus dan cepat sampenya makasih lazada",5
"bahan nya sesuai deskripsi, untuk busa yg gi gendong kurang tebal, semoga awet ga cpet jebol, pengemasan nya lambat.pengiriman cepat.",4
"Barang bagus sesuai pic,gada ccat sedikit pun.
Tp menurut saya lebih aman kalo paket Velcro di bagian dalamnya ..biar laptop ga guncang.",5
packing rapi pengiriman cepat barang sesuai harapan.mantab dah,5
"Waktu itu barang berubah di etalase setelah di pesan, kirain yg sampe jenis nya yg pertama tapi beda dari yg awal, tapi puaslah barang nya oke juga cuma beda model aja, padahal kode barang sama, lain kali klw stok model nya abis jangan di ganti modelnya di etalase yg sama. Trims Lazada dan resellernya",5
Barang bagus packing rapih terbaik pokoknya Jgn lupa kunjungi Youtube : Moba Mobo karena ada giveaway ,5
"OMG 😍😍😍 I LOVE IT SO MUCH 😘😘😘 SESUAI BANGET SAMA DESKRIPSI BAHAN BAGUS, PENGIRIMAN SUPER CEPAT.. MAKASIHH YAA KA😍 PACAR GW SUKA BANGET 😍😍",5
"Mohon maaf saya kasi bintang 3. Rada kecewa dan jujur saja kurang puas dengan barangnya. Kecil ukurannya ternyata, pas buat anak smp ini. Harga 100 an lebih tepatnya ini. Jahitannya lumayan tapi masih ada yg kurang rapi. tapi masalah pengiriman okelah.",3
"Tolong kasih kabar atau email dong tentang kejelasan barang yg sy pesan sampai sekarang barang belum sy terima padahal sy pakai pengiriman 1hari yg sama dan pembayaran sebesar 199.000 sdh sy bayarkan di tempat pembayaran mini market yg di harus kan dari pihak lazada...tapi barang belom sy terima  LELETTTTTT kinerja Lazada,dan sy juga tdk bisa cet langsung ke pihak reseller nya PAYAH....",1
"Tricky banget Harga Asli sampai 5 ratus ribu. Padahal dgn bahan tipis sperti ini memang aslinya kisaran seratus - 2 ratus ribu. Sorry, 1 star until you change to the Real price or you give us an explain for that.",1
mantap barang aman tas . susuai dngan yg dicari 👍,5
bagus bgt mi ga awet,5
