review,rating
"gak ragu_ragu langsung order 2 dan hasil nya sangat bagus memuaskan,wlw pun awal nya sempat Binggung saat merakit nya. ",5
bagus bgt..realpict...😍 sempet salah pasang jadi harus bongkar .. cepet ngirim nya..  cuma gak tahan sama baunya sampe pusing ..,5
terima kasih banyak...toko ini rekomended bgt...penjualnya ramah...kalau ada kekurangan mau bertanggung jawab mengirim kekuranganya...,5
pengiriman secepat kilat ,5
"alhmdulilah barangnya udah nyampee..pengitiman lmyan lma,,kurirnyya ramah,,alhmdulilah gaada yng cacat bagus mkasih lazada",5
"Alhamdulillah sesuai harapan,komplit
Pengiriman sangat cepat...
respon penjual cepat dan ramah....
terimakasih seller🙏🙏🙏,semoga tokonya laris",5
😅😅Thank u lemari ya realpict meskipun sedikit sulit masangnya sampe habis kopi 2gelas rokok 1bungkus🤭   good job lah buat tokona pengirimaan nya juga cepat cmn 2hr ajh kirain masih lama lagi aku sampe pusing nyari uang nya karna masih d atm 🤦‍♀️😂kurirna raman thank and good job lah pokonya,5
"barangnya sudah nyampe,semua rakitannya lengkap,kurirnya ramah  ,baik ,terimaksih ninja express terimaksih lazada..🙂👍",5
"maaf lama kasih ulasan,,karna lemarinya baru dipasang custumer ku,,alhamdulillah,,semua lengkap tidak ada yang kurang, paketnya sampai juga tepat waktu,sesuai estimasi ,next bakal order lagi. pertahankan kk,",5
alhamdulillah tidak ada yang kurang,5
maksih barang cept banget kirimnya ,5
paket sampe dengan selamat.. cepat . . lengkap,5
"bagus,ga ada yang kekurangan. .makasih",5
bagus banget lemarinya ,5
gantungan bajunya kurang panjang,5
"utk palangan gantungan bajunya kurang panjang,ada bagian yg pecah juga,untungnya tidak terlalu keliatan,selebihnya bagus,,",4
"Keren, rakitnya Pusing sebetulnya, tp bagus kok, ketahan di ekspedisinya aja lamaaaaaa bgt, tp seller ngirimnya udah tepat waktu",5
Kecewa lemarinya pecah dan patah....bisa ditukar tidak ya????,1
mba sy sdh terima paketnya...tp ko ga ada petunjuk pemasangan ya... bs dkirim ga,5
gak ada. buku petinjuk,5
Barang bagus dan datang lengkap tanpa cacat,5
"sesuai pesanan, alhamdulillah tidak ada cacat. terimakasihlazada",5
"barang bru mendarat,tp blm di buka,kurir oke",5
mantaaap.... ,5
"Lemari pakaian nya bagus banget buat yang mau beli jangan ragu"" buat Seler thanks",5
alhamduliah dh nyape pkt nya lemari nya cakep sya suka,5
pengiriman cepat barang ok,5
bagus,5
Berasa kek main puzle ngerakitnya gk da petunjuknya 🥺 tp lemarinya bgs bgt,5
baru kali ini abangnya minta uang tambahan biasanya mah kagak pernah,5
Paket' y sdh smpe ni oiya sis ko ga ada petunjuk/ buku panduan' y gmna cara pasang' y ya,5
Lemari y bagus ,5
bagus bget lmariny cmn mles foto j ,4
"lemari nya Bagus...puas dgn harga sgtu,kurirnya jg ramah",5
"makasih lazada, ngrakite butuh perjuangan 😁😁tapi selotnya ga dipasang udh cpk ",5
👍👍👍👍👍,5
Bagus,5
