review,rating
puas banget 😘 ngga bikin kapok,5
Bh nya bagus makasih pelapak dan lazada,4
Kecewa bra nya krkecilan.. Bukan ukuran standar.. Katanya boleh tukar Size tapi tidak di kasih alamat nya...Tolong kalo jualan yg amanah donk... Jangan bikin kecewa customer,1
"Bagus bnget lah sesuai keinginan ,, istriku suka bngt ",5
Barang nya bagus....cuma barang yg dikirim dengan gambar beda jauh....digambar motif garis2...dateng nya renda...tapi bagus sih...,5
pemesanan kedua kali.. barang bagus.. halus dan enak dipakai.. kurir juga ramah.. terimakasih lazada,5
"Maantap barang nya,apalgai kalo utk seserahan mantul",5
Warna ga sesuai yang dipesan,1
bgus bget 👍🏻,5
"Ukuran yg biasa tp yg ini kok kecil,warna yg datang kuning pula...",3
"produknya bagus sesuai gmbar, lumayan lah seller nya ramah responsif jg",5
inisalah ukuran tolol semua. orang lazada ,5
"Barang sesuai ukuran, bahannya tipis pasti adem. Reseller respond cepat, barang cepat dikirin.
",5
"keren banget, real pic bahan nyaman",5
barang oke,5
