review,rating
Barang nda sesuai pesanan kalo memang barangnya tidak ada bisa konfirmasih atau nda usah kirim barang😡,1
"terimakasih, paket saya sudah nyampe.. warnanya cantik bgt.. packing bagi, tapi sayang kurirnya agak seenaknya saja.. masa saya yg disuruh jemput..",5
"barang nya  gak sesuai pesanan.

Kalau  gak  ada  jangan  di kirim  .",2
yg dipesan beda warna.. dikirim warnanya sama semua,5
"pesen warna apa dtng nya warna nya apa!!  ga jelas bngt begoo!!  kesell!!  mau sapa yg pake klo begini ngapain beli klo ga bs di pake!! sya udh biasa pesen di lazada bru x ini bnr"" kecewa!! sya pesen no 640 sama no 600!!",1
kecewaaa pesen warna apa dtang warna apa.klw ga ada tuh ga usah di kirim dong...pdhl pngn order lgi tdinya.klw Kya gini mah jdi mlees,2
"kurang suka, lengket dibibir. kirain ORI ternyata bukan. sayang deh ga kepake, kurirnya ramah dah langganan",3
pesenya warna apa yng di kirim apa 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,5
Sangat kecewa dengan barangx saya pesan pict dtgx marun sma Orens tlg donk klo mw jualan itu yg BNR klo bgni cra jualan mana ad org yg mw bli at langganan !!!!!!,1
ok banget.... ,4
Sesuai pesanan terimakasih kurirnyapun ramah😍,5
Kecewa barang warnanya tidak sesuai pesanan,1
realfik tpi tpi warna ea SMA sya minta ynk berbda kcewa ea itu aja,4
"wrna lipstiknya bagus,tapi baunya gak enak...beda sama yg asli",5
pesen warnanya beda2 yg dtg merah cabe smua.....coba itu🥴🥴🥴klo ga ada jgn dikirim sist....,2
pesanan y beda bgt .gk sesuai sama yg di pesan.kecewa ,5
"Warna di gambar terlihat agak2 pink tua, pas datang jdi merah. Tpi lumayan lah ckep",5
Warna tidak sesuai gambar,2
"wanginya aneh, ga kepake deeh",5
"yg dikirim warnanya beda
",4
"kecewa ga sesuai pic,,kurir baik",3
"maaf ya gan say kecewa Saya pesan apa dtg nya warna apaa ,maaf juga gan saya mau refund karena lipstik mate gag sesuai dengan saya pesan ..saya pesan 645 yang dtg 80 jauh beda banget ...",1
pesen warna apa datang warna apa ... klo yg d kirim sama dan nomer yg sama ... teroooooss maoo d pake apa.. mohon d perhatikan utk seller supaya tidak mengecewakan pelanggan kecewa polll ...  makasih,2
"warnanya nggak sesuai sm pesanan,saya agak sedikit kecewa

",1
"gimana sih saya pesen warna apa yg dateng warna apa..padahal saya udh chat seller dan saya sudah beli dua kali semuanya zoonk 
",1
tidak sesuang yg saya pesan ini warnanya kecewa pengirimanya juga lama diproses,5
"paket udah nyampe..tpi saya kecewa gk sesuai pesanan..pesen no 630 .ko d kasih 09,merah bgt..",1
kecewa ,5
"

",5
suka,5
bagus ,5
"barang nya bagus sesuai warna ,kurir nya udh langganan banget 🤗 mantul deh pokok nya ",5
Kecewa tidak sesuai pesanan no 600 dtg 610 warna ngk bgt deh😥,5
"mengecewakan 
psenya wrna nude yg d kirim warna merah ",1
warna lipstik nya tidak sesuai dengan pesanan,5
"Barngx bagus bgat,bnerr2 ak snang bgt kle in mksih lazdaa",5
Makasih lazada,5
Warnanya g cocok,4
mengecewakan g sesuai dengan yg di pesen warnanya,1
warna nya beda,5
warnany tidak sesuai pesanan,5
good ,5
👍👍,5
