review,rating
"Keciilll banget lebih kecil dari butiran kacang hijau, dan kni sangat berbahaya bila dimainkan anak2 ngeri masuk hidungnya..",2
"maghnetnya kecil kali
kemahalan klo tuk sekecil itu",3
Kecil bgt ternyata.. Buat harga segitu ya mahal,2
"Produk yg saya terima ukuran diameter kurang dr 3 mm, kecil sekali",3
ternyta kecil banget.. ,3
"barang nya udah samapi makasih lazada makasih hob stors dan tak lupa buat seler nya
 tapi..  agak sedikit kecewa dikirain mah besar pas di buka mah kecil ga ada 3mm",2
"bagus sih, membantu kecerdasan otak anakku.. kalau udah main magnetick jadi lupa gadjet, seneng sihh. ",3
kecewa banget ,5
mksh lazadaaa,3
"semuanya bagus n tidak mengecewakan kok.
",5
kecil bangeettt,5
barang sempet sampai dan ok tks ya,5
Alhamdulillah anak aku suka bgt 👍👍,4
