review,rating
Barang nya sesuai pesann. .pengirimannya jg cepat. .ank pun juga senang. .barng bagus tidak ada yg cacat sedikit pun. .kurirnya juga ramah. .,5
paking rapih bnget dan barasny bagus...ponakan ak suka bnget...pertahan kan ya ka..kurir ny jg ramah..makasih lazada..ga nyesel dech belanja d toko ini..,5
alhamdulillah bgus mainannya dan realpict,4
"suka banget, kereeenn 👍",5
kecewa order yg 7 tombol dikasih yg 6 tombol pdhal hrga yg 7 tombol ,1
lazada mmg is the best dah..gk rugi beli ditoko ini..mksh👍👍,5
"rekomen banget beli disini .. brang nya bagus semua ..,👍",5
barangnya gak sesuai pesanan minta 7 tombol di kasi 6 tombol kalau stok kosong konfirmasi dulu dengan pembeli jangan seenaknya tanpa mengurangi harga..udah chat seller katanya mau balikin selisihny aku tunggu kalau benar bertanggung jawab aku kasi bintang banyak,1
"Alhamdulillah, barangnya udah ada. dan sesuai dgn pesanan sya.(good)  kurir nya jg sangat ramah. makasih😊",5
"Alhamdulillah,paket sdh terima&amanah tombol berfungsi semua..u/ kurir bagus pelayanannya sesuai alamat..",5
"Barangnya real fick, fengemasan'y juga bagus, tapi syang ga ada batrenya jadi harus beli lagi,  kurirnya rmah, udh langganan juga. ",4
"Kecewa, barang kaya udh bekas,  buat rekam suara'a ga brfungsi,  terus tombol on/of nya kadang ga berfungsi juga😒",5
Alhamdulillah barang nya SDH sampai 7 tombol nya berfungsi semuanya..tapi sayang nya ngga sama baterai nya...,5
"barangnya udah nyampek dri kmren..mainanya bagus tombol bisa semua...pk kurir udah langganan suka blnja di lazada trimakasihh☺☺
",5
"Tolong pihak seller untuk mengirimkan barang sesuai yang saya pesan yaitu apple Quran, bukan botol minum.
Terima kasih.",1
Alhamdulillah barang sdh smpai 2 hari yg lalu maaf baru kasih ulasan. barangny bagus brfungsi dngn baik. mksh seller lazada dn ms kurir,5
Pengiriman cepat kurir ramah.Produk belom saya coba soalnya blom ada baterai smoga normal semua mski og ringan sekali trs kecil ya ternyata.Smoga bermanfaaf buat anak saya.,5
"makasih,anak saya suka
",5
barang Bagus langsung dicoba alhamdulillah bisa nyala dan langsung dipakai anak. ,5
"paketnya udah sampai.  maaf baru upload krn bru smpt ngambil. 
saya pesan hijau yg datang kuning. ",5
"alhamdulillah barang nya udah nyampe... anak suka...
 makasihhh selerr..",5
alhamdulila sdh sampai suka bgt. trimakasih lazada. ,5
alhmdulillah uda dtg bagus n berfungsi dg baik cuma barangY sperti second..tpi gpp...mksh lazada,5
"Relfik,anaku suka",5
"real pict.. jgn ragu belanja disini, pokoknya mantab. anak saya suka...
kurir ramah...",5
mksh brng nya bgus tp boros btrenya,5
realpict ..baguusss,5
"barang oke sesuai pesanan...
sellernya jg ramahhh pengiriman cepat..",5
udah smpe pket nya. cepet. mksih. ,5
mantuuuuuuul 👍👍👍👍👍 harga segitu ada yg buat ngerekam juga ,5
bagus 👍👍👍👍👍👍,5
"alhamdulillah sesuai pesanan, tombol berfungsi semua, anak saya sangat suka. cuman suaranya kenceng banget..",5
"maaf kak ini laporan nya kq sudah di terima tp saya blm trima barangnya kak, tolong di cek kan lagi ke logistiknya
",5
"Saya kira ukuran nya besar, ternyata kecil..Blum di coba bunyi atau tidak nya karena batrai blum ada",3
"alhamdulillah...paketnya sudah sampay
barang nya bagus,lampu nya mnyala,,sesuai pesann.
cuman ga ada batu batrenya...😁😁",5
"barang sdh sampe sesuai pesanan kemasan rapih kurirnya jga langganan.. anak saya suka sekali.
terima kasih lazada",5
"paket udh dtang,. tepat waktu,. Realpict kemasan jg rapi.. TOP dech pokok,. smoga tetep jd langgaNan d Toko ini.. sukses trus.. mksih jg LAZADA",5
"Paket udh sampai,,,real pict anakku suka bgt mksh lazada,,semoga amanah buat toko'y & laris Abang kurir sopan & ramah.",5
"Warna sesuai pesanan tp kyak bekas krn layar proyektor x lecet-lecet, pengiriman pun agak lama tp bisa lah d mainin sma ank aku",1
"maaf baru ngasih ulasan mainan nya sangat berguna sekali buat anak sy yg berumur 1thn 3bulan
udh gitu ada volume buat besarin suara sama kecilin suara nya.toko yang amanah dan buat bang kurirnya baik.tapi syng ganti2 orang mulu kurirnya jadi setiap antar barang selalu nunggu didepan jalan.",5
"Trima kasih lazada paketanya dah sampek cocok sama pilihan ku,anak saya suka banget dibawa main2 trusss...",5
mainannya bgus cuma sayang untuk doa harian kurang jelas suaranya.tp anakq seneng bget.untuk abang kurir 👍sekarang dah langganan.,5
"Trimakasih!!! 
paket dah tiba,bagus dan utuh😍
kemasan rapi, untuk pengirimanx terlalu lama, tpi g papa lah 😊",5
"Alhamdulillah, paket nya sdh sampai barangnya bagus dan berfungsi dgn baik. terimakasih saler dan Lazada",5
"saya pesan 9 item ..yg dikirim cuma 7 dan ditulis di list 8 pieces  , barang yang dikirim kurang 2 pcs, , sebaiknya lebih di teliti lagi saat pengemasan barang ...  respon dari seller   lama.... ",1
ya udh nympe ,5
"Alhamdulillah cocok
Dan skg order lagi
Semoga nanti.x barang yg datang dgn selamat dan normal semua😊",5
barang kurang memuaskan lecet-lecet ,3
"ma af baru ngasih ulasan,brng nya bagus sesuai pesanan...",5
real pick😍,5
"Memuaskan brg datang cept bgt,,saya puas dan suka anak2 juga suka bgt,,makasih tingkatkan lagi pengirimanya kyk gini secepat mgkn",5
Yang dikirim kok 6 tombol.. agak kecewa padahal sudah di inbox juga sesuai pesanan dan jgn sampe salah. Eh dikirimny salah.. klo yg di jual 6 tombol sekalian ganti judulnya,4
