review,rating
"TERIMA KASIH BANYAK, kepada lazada barangnya sudah sampai packing rapi dan spinernya sampai 5 menit sekali lagi terima kasih LAZADA ",5
Bagus banget sii buat harga segitu ,5
"bagus, persis

",5
baguss..ank sy suka mkch ,5
barang bagus banget penjualnya juga ramah pokonya Bast dahh,5
Mantap barangnya sesuai pesanan,5
mantaaaaaapppp 👍👍👍👍,5
Sudah di terima sesuai pesanan. Thanks Lazada ,5
bagus bang sesuai pilihan adek saya senang terimakasih kurir ramah penjual fast respon ,5
mantaaap,5
👍👍👍,5
