review,rating
Mobil Nya bagus tapi sayang nya kecil kirain agak besar kurir Nya ramah Dan baik terimakasih lazada ,4
"pdhl udah chat sama selernya minta warna merah dan biru,tapi yg datang warna ijo 2 nya gimana sih.",5
trimakasih lazada packingnya rapih barangnya blm di coba mudah2an bagus tidak ada yg rusak.,5
kecewa sekali barangnya tidak bisa belok ke kiri,5
"keren mobil y tapi sayang y engga sesuai warna yg di pesen
si Maman ka santap mantap",5
mantap.. imut2 tapi ngacir..anaknya juga suka,5
"ok pesanan udah mendarat cukup puas sih.mobil bisa maju mundur belok kanan kiri.rekomended banget
",5
bagusssss gaesss saya sangatt suka cuma sayang nya ga dpt batre nya aja. harus bli dllu..batrenya tp puassss,5
sampeny lama krna barangny kosong n g sesuai yg dipesan tp gpp dah yg pntg anak senang.. belok kekanan n ke kiri kurang maksimal.. gpp dah sesuai dgn hrga.. next klo brg lg kosong tlg diinfokan aja jgn smpe nunggu terlalu lama ,4
"baru dtg kayanya bgs trim seler ,lazada dn kurirnya ramah 😁",5
mantul mobil nya tp kecil ,3
barang bagus ooook...pengiriman telat...,5
remotnya elorrrr. di pencet maju malah mundur . teruss mobilnya kecil bangettt,3
mantaaaaaap,5
"SANGAT MEMUASKAN 😍 TERIMAKASIH SEMUANYA REAL BANGET ,.",5
barang cakep anak ku suka.makasih lazada,5
"barang sudah mendarat dengan aman..
makasih lazada dan kurir nya ramah..",5
trimaksh lazada.. barang sesuai gambar.. cm ga fre batu batrai,4
"mantul barang nya

",5
mantul barang nya.. kenceng maju nya.. batre nya 4.. remot 2 d dalem mobil 2,5
mantap Baranya bagus,5
bagus..g mengecewakan anakku suka bgt..tx kazada,5
barangnya bagus...... kurirnya asyik....,5
cKep... ,5
lumayan,5
bagus 👍,5
oke,5
"maaf telat kasih ulasan😊btw anaku suka sm mobilnya,kemasan rapih,pertahankan aja dech👍",5
barang bagus,5
cocok bnget sesuai pesanan.. ,5
"remot konyol ini,Bkn remot kontrol... barang rusak d jual...",1
udah nyampai aga kecil mobilnya....,4
barang murah tapi ga murahan...bagus anak saya suka...,5
