review,rating
barang sampai langsung di lahap my baby... ,5
baguuussssss,5
ok thx lazada bebe roll nya dah nyampe somoga anak ku suka 👍👍👍,5
"Enak, kejunya melting..",4
ok ok ok.....kurir super ramah 👍👍👍,5
"Kemasan tdk safety, alhasil semua hancur😢",3
"murah 
pengirima. tp lama",5
dlm wktu beberapa jam lgsg abis ... enak bingits,5
suka pertama datang n kalau lapar😁,5
"produk bgs ank saya suka,, seperti nya enak ",5
sesuai order. pengiriman cepat.,5
anakku suka. makasih,5
wahh anakku suka..txs seller..pgn pesen lagi ahhh,5
Mantaaap,5
