review,rating
maaf baru kasih ulasan. makanan kucingnya udah nyampe kemarin. pengiriman cepat kurirnya juga the best. thank you seller and lazada all the best 😊,5
paket nya sudah datang packing rapi dan kucing saya suka banget kurir ramah. makasih buat seller dan lazada,5
kucing saya sekarang suka makan yg merk my pet aku kasih makanan yg lain aku campur soalnya ada  masih sisa yg merk lain tp dia gak suka dipilih2 🤪alamat  bakalan pilih yg merk ini terus MY PETS,5
my brown suka camilan nya sdh Dateng langsung hap,5
"Yang saya pesan rasa tuna.
Yang diantar rasa ayam.

walau kucing-kucing saya tetap suka namun tidak terlalu antusias melahapnya.

tolong dijadikan perhatian ke depannya untuk detail pesanan.",3
"makasih lazada barang nya udh nyampe,,,",5
thank you so much seller and lazada. makanan kucingnya da nyampe 😊🙏,5
"nggak pernh kecewa beli disiini real pick sesuai pesanan,pengirimannya juga cepet",5
Pengiriman cepet banget😁😁makasih kak,5
kucing ku suka maksh🙏,5
"realpict, pesanan sesuai, sukaaa banget belanja disini🥰",5
"barang sesuai pesanan,,cuma pengiriman nya lama",4
"ternyata kucingnya gak suka...
jadi mubazir deh☹",3
"super cepat, Murmer, real picture",5
brg sdh tiba dgn selamat tanks lazada,5
"Alhandulillah dtang,kucing saya suka",5
kucing suka dan ok bget👍👍👍👍,5
"pesanan Uda sampai,pengiriman cpt bngt,mas kurirnya juga baik,makasih...",5
lumayan,5
