review,rating
"cereal sampai lebih cepat drpd perkiraan,Box nya agak peot"" lah gk penting juga , Rasa nya sangat memuaskan enak bet, kali aja toko ini nyediain reeses puff harga standar😂 ",5
"makasih lazada , adik ku suka sma sreal nya , sukses trus ❤️❤️❤️❤️❤️❤️❤️",5
makasih banyak ya gan 👍🙏🙏🙏,5
Barangny sampe dengan selamat... Dusny rusak tapi isiny aman... Makasih ya... Bakal jadi langganan... ,5
Mantap deeh ,5
anak saya suka,5
barang bagus,5
paket nya kemarin sudah datang ......terimakasih lazada .......☺️☺️☺️,5
"enak,  ",5
Kardusnya penyok ga di lapisin lg sama dus,5
"enakk anak saya suka
",4
barangnya sesuai... ,5
sangat enak 👍😋,5
mau psan lgi tpi gmna y carany buka d lazada ny gx ada,5
"produk oke, sesuai pesanan",5
Cepat &  exp msh 2021.tks ya kk,5
enak,5
Mantap!!!,5
Amanah👍,5
