review,rating
"paketnyaa udah nyampee brusan, packingan rapii enggak ada yg retakk real pictt,  sukaa bgt, semoga jadi langganan, kurir ramah☺",5
"Syukaaaa bangetttttttttttt,barang nya baguss sesuai nggak ada ygp pecahh,warnanya juga bagus,Terus ukurannya juga pas buat dibawa kemanamana, pojonya best lah",5
"trimakasii lazada dan kurirnya, sesuai yang diinginkan takut bgt pas nyampe hancur Alhamdulillah makasiihh sesuai harga yaa😍kirain aga gede tapii gapapa suka simpel dibawa kemana mana❤️",5
Alhamdulillah barang sudah sampai order ke 2x nya ngga pernah kecewa bagus banget bikin nyandu ey belanja disini hehehe,5
pokonya suka bangett mungillll pas d tas makeup aku😊.. kurir ny udh langganaan reseller nya juga ramah..terimakasih buat Lazada😍😍,5
"realpict bgt  ❤️ eyeshadow,blushon,dan lipstik ada , ditambah kaca jg, mksh reaeller sma kurir nya ,",5
bagus banget gk ada yg ccat masih utuh tp kecil banget gk pa2 bagus smua terima kasih kurir dah langganan,5
"baru pertama belanja d toko ini, barangnya bagus realpict, nyampenya juga cpet, kurir yg biasa k sini, makasih seller mudah²an makin sukses😊",5
"Aduuuhhh sumpah ini mh syantiiiikk bgt Dtng ny jg cepet packing ny pun rapih gk ada yg lecet sma skli,, sukaaaaaaa bingiiitt😍😍 mksih seller and lazada abng kurir ny udh lnggnn maksih udh ngnterin 🙏👍",5
brang nya allhamdulilah bagus sesuai tpi kulir nya kok gk jjur yah itu total nya 31rbu kok dia minta 40 pas yang terima adik saya kecewa,1
"barangnya sudah saya terima, bagus banget😘😘😘, kirain agak besar ehh ternyata kecil tapi gpp saya puas😍",5
"seneng bgt, barangnya kecil, imut, wangi lg. barang di bungkus pakai buble warp, dan barang dtg sesuai estimasi. pokoknya ga nyesel deh bli brg di toko ini.",5
"bagus banget,,, tp sayang kurirnyaa yg bikin lama... katanya hari rabu nyampe,, ehh malah minggu nyampenya... payahhhh ",5
makasih lazada n sellernya..barang ny dh nyampe dengan selamat tak ada yg rusak..puas blnja di toko ini..amanah dan packing nya rapi😘😘😘,5
poko nya bagus aku suka 🥰 ada gliter dan kaya haileter nya gtu,5
makasih seller barang nya udh sampe puas lah pokok nya gk ada yg hancur packing nya pun rapih ..,5
alhamdulillah sesuai dengan keinginan mksh ka toko nya Amanah 😍😘😘👌,5
Bagusss bangeeet reallpict pokonyaaa🤩thxyu lazadaaaa🤗,5
sukaaa🥰🥰🥰,5
alhamdulillah barang udah sampai & realpict sesuai gambar diatas...tapi pengirimannya lama.,5
waaww amazing sesuai gambar..bagus bget..makasih lazada..,5
"Lumayanlah... ga tau nih nempelnya, mdh²an sih bagus. kurirnya sopan. terimakasih untuk semuanya🙏",5
Tks buat toko yg jual ini reall pic banget pokonya 💗💗💗 ,5
"barang nya maantul,kurir nya jg ramah, thanks ladaza,semoga selalu amanah Iyah😍😍😍😊😊",5
luar biasa akyu suka banget...,5
makasih lazada pokok y gk nyesel dech pokoknya puas bgt ☺👍,5
ckpp bntk nya miniii lgii bisa di bawa kmna mna pokonya ga nyesel deh belanja di lazada❤️,5
"really picture
sukaaaaaaaaaaa 
makasih ya seller.,makasih lazada
🙏👍👍",5
bagus kaya asli nyahh,5
makasih barang nya dah nyampe brang nya juga sesuayy..,5
overall warnanya bagus semuanya 🙂,5
bagus banget sumpah ga nyesel,5
👍🏼👍🏼,5
barangnya sudah datang sangat rapi dan bagus warna make upnya sangat2 memuas kan.terima kasih lazada,5
Paketnya sudah sampai kak..pengiriman nya cepat dan hasilnya pun bgus tidak mengecewakan..sesuai sama yg di foto.. ,5
emmh pko nya apa yg aku beli alhamdulilah ga pernah ggal ea cuco deh enak di pake pas di tas mini ku makasih lazada sukses terus yaa aminn,5
"bagus banget sumpah gaboong gila bagus bgt wkwkwkwkwkkw pengiriman nya juga cepet tapi gapapa lah puas bgt belanja disini mungil imut""bgt ih gemes bgt bakalan fav bgt si di toko ini lov u!!! ",5
mnatap dah,5
"maaf , barang.a nga nyampe di sya ..  jdi sya kzi bintang segitu !! klo barang.a ga adh konfir doeng , atau kirim yg laen.a ajh .. ini , malah Ga adh barang.a sma skali !!",1
"allhamdulilah paket sudah sampai,aku suka aku suka heheh,pertahanin ya ka kualitas ny semoga lebih maju,mksh lazada",5
lucu bgt.,5
"bagus,",5
trimakasih lazada & seller .... saya suka sekali barang nya bagus dan utuh ... sesuai dg pesanan dan gk pcah2 packing nya rapi sehingga sampe dg selamat ..... ,5
"barang sudah sampai realpict sangat memuaskn.thanks seller en lazada.
",5
barang nya real pict bagus banget terimakasih seller petahankan trus,5
pkt datang dngan slamatt makasih lazada,5
demi ap😍😍😍 make up nya bagus bgt lucu,5
bagus mantap,5
bagus bangett,5
"alhamdulillah pketan nya udah nyampe..😊
n brangnya realpick bnget..aku suka😍😍.trimakasih .",5
"dengan harga segitu, bagus banget sih produknya",4
Barang bagus saya sangat suka,5
sangatt jelekk..udah pulasan nya gk ada..warnanya bnyak yg ancur bubukk ...kecewa,1
mkasih pketan udah datang...meskipun lama dan kemas nya agak kusut..mungkin krna diperjalanan...,3
"barangnya bagus,paketnya cepat juga datngnya",5
bagus sii TPI tolong packing agar lebih aman lagi cose cuman pake kardus bahaya,5
bagus batt mungill tapii lengkap,5
"in psen k 2 x ny 
bgus 
",5
"Bagus banget barangnya, realpict, pengiriman cepat 👍",4
Barang nya bagus banget tidak mengecewakan kurir nya juga baik ramah.,5
"smpe berkali2 bilang ini tuh bgs bngt , lucu .",5
alhamdulillah barangx suda sampe dan aman bagus saya suka banget makasih lazada,5
Barangnya bagus kak,4
Bagusss banget bangetttt banget thanks lazada,5
eyesedow nya bagus aku suka makasihh ya sukses terus buat toko dan lazada,5
realpoct😍😘,5
Alhamdulillah brng y ud smpi...barang y d kirain besar ternyata kecil...g apa-apa q tetap suka😁😁,4
bagus suka semua warna ny,5
mksh ..ok banget..,5
warna yg sangat aku suka mate real pic👍👍👍👍👍,5
terimakasih sudah mengantarkan paket saya .... bagus bgt dan saya suka..... 👍☺️,5
barang mantul.kurir nya udah langganan 😍,5
"Bagus bangett, ukurannya kecil ternyata tp suka ringkes bisa dibawa traveling😍😍",5
realpick syuka banget biar bintang yg bicara 😍😍,5
suka banget,5
bagus...lucu pula tempatx,4
"Pkok nya mantul dh,,, ",5
bagus bangeet,5
perfeck tooor cakep 😘,5
lucu bngt suka deh asli lucu parah,5
maaf bru ngsih ulasan..real pict bgt..bgus aq sukaa bgt..rekomend deh pkoknya..mksih ya dh amanah,5
"barang  sangat"" memuaskan top markotop",5
bagus bingit,5
"lucu , overall bagus warna nyaa 🤗 terimakasih 
kurir udah langganan ,",5
Sesuai gambar,5
"cantik bangetttt, makasihhhh banyak lazadaa😍😍 puas bangettt pokok nyaa😍",5
"Rel banget q suka
",5
suka banget,5
sangat sangat puass 😍😍😍,5
bagus bget ku suka... 😍,5
bagus.. cover seperti diary,5
maaf baru kasih ulasan barang nya bagus,5
"yang pesanan lain laamaa.eh malah pesanan baru yga duluan
",5
barang datang sesuai pesanan dan tidak mengecewakan,5
baguss..  kurir nya jga ramah,5
"sumpah harga segtu bagus bngt....untuk kalian jangan ragu beli disini
",5
"suka bngt, pngmasan aman, bgus lengkp
",5
"Sido ini juga sangat memuaskan karena sesuai  ke inginan
",5
"walaupun murah tpi gk murahan suka bnget,,  pengirimanya juga cepat",5
puuuuuassssss...kiriman y cepattt,5
ok....wlau blm d coba...,5
barangx bagus banget😍😍,5
Aku sukaaaaa,5
"barangnya cantik, terimakasih Lazada",5
maaciw lazada paket mendarat dengan baik no cacat atw rusak,5
"bgs barngnya, trimakasih lazada",5
"bagus imoet kirain sesuai pict
",5
barang datang dengan selamat dan bagus warna nya aku suka..maaf baru kasih ulasan,5
alhmdllh sesuay psenan. ,5
bagus.. sesuai harapan..,5
ok bgt sesuai tp kirain gede ternyata mini,5
kirain gede eh ternyata kecil,5
saya suka dgan barangnya sesuai cuman agak kecil yah.. kirain  d tmpat yg besar.. 😁😁,5
sesuai pesanan thanks lazada,5
barang sesuai pesanan..packing rapihhh😘😘😘😘,5
"bagus bnget 😻
",5
good job mksh,5
"semua warnanya bgs,, dikira gede tp ternyata kecil, tp gpp,, mksh ya!! lazada selalu terbaik😘",5
top markotop,5
matep ini kumplit...  makasih ya lazada...,5
paket nya udah datang . harga murah barang nya memuaskan 😍,5
"bagus ... sama seperti di gambar,makasih lazda.kirir nya juga baik ",5
"barang bagus, imut banget syuka dehhh asli. biar pun kecil tapi bagus banget gk ada yg lecet",5
"pesanan sangat memuaskan, di packing dengan amat rapih sehingga barang tidak pecah 👍👍👍",5
uh suka bangtz lucu pokonya mantull😍kurirnya jga baik ramah pokonya gk kecewa deh,5
biarkan bintang yang menjawab😍,5
"alhamdulilah brngnya sudah sampai 
dan saya suka bnget ",1
bagus banget sama sesuai yang di gambar,5
sesuai gambar . pengiriman cepat . kurir nya ramah ,5
"Terimakasih barang nya udah nyapai pokoknya puas banget pengiriman nya cepat lagi. 
",5
"barang y udah nyampek cepet bnget,kemasan y juga bagus mksh lazada,kurirx y juga baik n rama",5
mantapppppp❤️❤️❤️,5
Bagus bgtbgtbgtbgt,5
aq suka sama paket nya,5
Barangnya sesuai gambar dan kurirnya ramah,5
"realpict, terimakasih",5
toppp,5
"Bagus banget 😘😘❤❤❤
Makasih love😍😍",5
memuaskan,5
bgus. ,5
bagus,5
bagus bgt ,5
sesuai ,5
Lumayan,5
bagus bgt,5
cute,5
Lumayan,3
suka😍,5
mantap sangan bagus,5
Sabi 👍,5
barangnya beda ,1
bagus kurirnya sabar,5
sib,5
👍👍👍,5
