review,rating
"Bru ku kasi ulasan makasi lazada dan Abang kurinya baik langganan jg😁,packing rapih bgtz aku suka sesuai lg😍😍",5
"Barangnya sudah sampai, realpict juga sesuai dengan pesenan, datang nya juga sesuai estimasi cuma 4 hari",5
bagus sesuai ... dan realpict 👍👍jgn ragu beli disini ya,5
barang sudah mendarat realpict bgt trs abang kurir nya baik...trmksih lazada,4
packing nya parah banget,3
cucoooo bingit contour nyaaa 😘😘😘😘,5
barang sesuai pesanan. bagus. makasih ya,5
"Bagus bgt, packing juga rapi dan aman bgt ada bubblewrap dan kardus nya pula. Aku suka 
",5
Real banget pokoknya kurirnya juga ramah,5
barangnya sesuai sekali seperti di gambar,5
suka banget.,5
packing nya rapih bgt,5
makasih.... barangnya udah nyampe dan sesuai pesanan,5
"terima kasih paket nya sudah smpai ,alhmdllh sesuai ynx d pesan ,semoga selalu amanah biar jdi langanan",5
alhmdllh mksh lazada... paketnya sudah mendarat dgn baik...rapi lg bungkusanya.... saya bayar kurir yg hrsnya 19.100 ... saya bayar kelebihan 29.500 ...alhmdllh bnr2 amanah & jujur kurirnya... negur balikin balik ktnya kelebihan uang nya... top bgt... brg baru coba smga cocok... ,5
real pic barangnya pengirimnnya cepat...trimakasih lazada buat abang kurirnya juga trimakasih...semoga slalu amanah ea.,5
barangnya realpic sesuai gambar. pengiriman cepat dan kurir langganan. pokoknya suka. terimakasih seller dan lazada,5
Yeay...setelah lumayn menanti akhirx datang juga..sumpah deh sesuai bgt pesananx..pkkx jangan ragu ya belanja di toko ini😘😘😘💃💃💃..maksih ,5
bagus banget omg,5
sangat puas,5
bagus banget makasih,5
"barang lumayan sesuai harga
",3
barangnya real fic saya suka 😊,5
"barang nya sesuai pesanan...
rapih bangtz...👍🙏",5
paking nya rapi banget... bagus... ,5
mantul buat barang nyah.👍,5
"brangnya dah sampai bagus sesuai gambar
Pokonya TOP deh 
makasih LAZADA..",5
realflpic👍,5
packing rapi.pengiriman lama,5
"mantap sesuai pesanan
buat kurir.y semngat ya udh lngganan",5
"bagus banget,, sesuai dngan pesanan makasih lazada",5
Pengiriman cepat ,4
bintang 5 yg bicara.makasih lazada 🙏🙏,5
Seauai pesenan..bagus bgt,5
bagus nempel nya lembab dikulit,5
"bagus real pict barang aman & kurir yg biasa walaupun malem"" tpi gpp deh😁",4
bagus banget 😍😍,5
"barangya bagus
kurirnya juga udah langganan stiap mesan
buat bang kurirnya tooopppp deh",5
"barang bagus,,packing aman & rapih 🖒🖒🖒",5
"paket sdh sampek bagus sesuai pesanan mkch,,,lazada",5
Bagus top lah,5
Bintang yg berbicara . Packing rapih ok .. ,5
sesuai pesanan ,5
hanya bintang yang akn bicara,5
okee sesuai makasih lazada,5
barang nya bagus banger☺,5
top banget... di coba dulu ya.. trimakasih,5
Suka banget hasil nya😘😘,5
realpict datang nya lebih cepat dari tanggal yg tertera kurirnya juga ramah,5
barangnya bagus.memuaskan..trimakasih..,5
sesuai pesenan👍👍👍,5
Kereeeennn mkasi lazada dan tokonya good job,5
mantulll👍👍,5
"suka.bgt sama.warna nya 
makasih ",5
gak nyesal lha belanja disini,5
"alhamdulilah barang nya bagus ,...
      gak nyesel deh pesen di toko ini ",5
packing rapi barangnya ok,5
"Bagus Barangnya sesuai gambar,, Thanks Lazada",5
bvus,5
👍,5
"Packing rapih bgt.. Pengiriman cpt kurir ramah
Recomanded bgt.. Amanah utk tokoh ya thank you..
",5
makasih,4
"realpic
",5
ok bngtt,5
trimakasih,5
bagus ,5
pik,5
top,5
Bagus,5
Paketan sudah sampai cepet dan saya suka kurir juga ramah makasi lazada,5
mantafff deh pokonya,5
mantafff deh pokonya,5
Alhamdulillah si kecil mungil azaib udah nyampe makasih lazada,5
"Bagus barang y realpict tks seler, lazada dn kurir y. ",5
"realpick bagus,packing nya juga rapih the best lah pokonamah buat lazada",4
"maaf ya baru dibalas, paket nya sudh datang dan lumayn bagus
terimakasih lazada dan seller..",5
"Makasih kak barang sdh datang ,, Kurirnya jga baik",5
bagus barang sesuai gambar kurirny baik,5
ok banget,5
bagus bgt,5
Bagussss,5
cucok,5
realpict,5
bagus,5
ok,5
