review,rating
bagus bangett pokoknyaaa....,5
"real pict banget yah,
bahannya bagus n tebal 
pokok e ga nyesal deh belanjanya dan harganya juga oke banget

benar² super deh",5
"Jahitan depan tidak rapih, Ujung kain masih ada yang terlihat diluar sehingga kalau ditarik jadinya rusak. Resleting depan juga nyangkut2 karena asal jahit.
Mau ngasih orang gak jadi deh, malu.",3
"jaketnya bagus....lapisan dalamnya jg tebal
pengiriman cepat
kurir oke
respon penjual oke bngt.....
mksh mkshh mkshhhh.....",4
"barangnya bagus aku suka ...pengirimannya jg cepet
",5
"terimakasih paket nya udah dteng. 
bintang 4 dlu ya soalnya blm di cobain di pake tapi jaket nya bagus kok 
kasian sma kurir nya ujanan + rela banjir padahal kalo posisi nya darurat gini gppa besok juga
tapi terimakasih bgt buat kurir nya semoga banyak rezeki aamiin",4
sangat puas. mks ya lazada,5
barang bagus .. seller ramah dan baik makasihhh kak,5
Bagus bangeeeeeet jaket nya pas lagih ... udah lma aku pngn jkt ini.mksh lazada juga abang kurir nya.,5
"Alhamdulillah barang dtang dengan cepat, barang bagus sesuai yg di inginkan.. Jaketnya sesuai dengan di gambar.. Terim kasih sukses terus buat seller dan lazada",5
"barang bagus, datang tepat waktu pokoknya semuanya okee dan gak ngecewain, trims",5
bagus,5
"bagus jaketnya pokonya aku suka, sukses selalu ya lazada😍",5
"Cepet bgt dtng nya , barang y realfict mkch Lazada
",5
"One size-nya ukuran kecil nih, aku beli di Ramayan* agak longgar",5
bagus banget banget banget,5
