review,rating
"apa ini toko gk jujur,pesennya 2 pcs knpa yg datang cuma satu,1 lg gimna nich,jangan bikin pelanggan kapok,1 lg kapan di kirimnya lg",1
"syuka bgt dehh,,the bestt",5
suka bgt karna bkin cantik bulu mata aku sdkit panjang thanks you buat seller toko ini sama pak kurirnya ya 😉,5
Alhamdulillah Barang Sudah Datang Sesuai Dengan Pesanan  Abang Kurir Nya Ramahh Terimaksih Lazada😊🙏🏻,5
bagus,5
"maskara nya bagus, bikin bulu mata tambah panjang, 
cuma gk terlalu tahan air, aka luntur, 
tapi lunturnya gak bleber gitu, 
trus buat kemasan maskara nya, klo udah d pake, pas d ttup jadi blepotan. 
buat pengiriman it's ok, cepet, kurir jga ramah alias langganan.. ",4
"Mksh ya lazada barang nya sudah smpai, biar pun sedikit lama. 😂Semoga aj benr ya gak luntur mascaranya. Maksh kurir nya jg udh langanan baik Dan ramah",4
"terima kasih barangnya telah sampai,pengemasannya rapi,kurirnya sangat baik terima kasih sukses selalu👍👍👍👍👍",4
barangnya sesuai gambar pokonya bagus Bengt. jaya trus lazada,5
barang kaya bekas,1
semoga bagus,5
alhamdulilah paketan datang cpat. sesuai dgn pesan an terima ksih lazada,5
"mascara nya aga kering. nyesel gnti merk, tpi cpet smpai si lbih cpet dr estimasinya kurir nya wlaupun cwe baik , tegas , ramah,, mkasih deh",3
alhamdulillah barang sudah mendarat dengan selamat . kemasan rapi barang ok..pokoe saya puasnya pake buangettt🤗🤗🤗,5
"pokoknya mantul banget, paking nya rapih, kurir nya sopan,, makasih lazada,,,, bakal jd langganan nih,,,,,",5
"paket sudah sampe dgn cepat
bagus si tapi pas di pake ko maskaranya gada malah kering saya mah sudah senang""tapi hasilnya cukup kecewa🤔🤔",5
Alhamdulillah oaket sdh smp3 kmrn..brng bagus tidk luntur..kurir ramah pngtmn tpt waktu..mksh lazaada,5
sesuai pesanan,5
alhamdulillah pktnya sdh sy terimah.mksh buat lazada,5
Bgus bggtttt,5
Barang udh sampai dan bagus makasih lazada,1
bagus maskara nya 😍,5
bgus tp agak kring dlmx kya gk ada isix lengket..,1
aq suka.....maskara ny bagus ga luntur ...I like bngt deh ,5
sesuai yang digambar😊,5
bagus real pic. thanks,5
"barang nya udah saya terima . saya suka banget pengiriman nya juga cepet terima kasih lazada,terimakasih buat kurir nyah",5
puas banget,5
maksih ya bapa kulir nya ramah almdlh barang udh nyampe,5
bagus bngt moch lazada,5
sesuai terimakasih,5
lumayanlh gx mengecewakn. ,5
seharian ga luntur... wlpun di pke wudhu...,4
paketan sudah sampai maskaranya baguus banget baru 2 hari pesan langsung dikirim .dan abang kurirnya  baik  trima kadih lazada,5
"kecewa banget pas kena air langsung belepotan, terus pas si pake lama keringnya.pantesan hargamya murah.👎",5
"bagi ibk "" klau mau blanja jgn d tokoh ini y.bukan yg pemilik tokoh y .yg slh .tp pekerja y yg licik.
GK mampu blik maskara yg seharga ini.jd .diatur punya y yg udh habis k.punya sy .yg baru beli.jd maskara saya .tutup y baru .badan y bekas sedih y nasif orng yg mencuri barang sy ini .klak km dapat kn imbalan y d akhirat .sy tidak ijin dunia akhirat.makasih lazada.dn kurir y rmh .toko amanah.pecat lh pekerja yg GK benar itu",5
"Suka bangettt...

",5
barang ny luntur,5
wawww...keren banget sesuai dengan pesanan ,5
 bagus ga luntur 👍,5
barang yah bagus aku suka makasih Lazada,5
kurang memuaskan . soalnya mascara y lama kering nya trus klo kna aer langsung lunturr . maklum llh harga sgituu...,2
produk original pengiriman tepatt waktuu barang yg dikiriim jugaa sesuaii pesaanann mudah dipakaii waterproof jg harganya jg mantuul kurirnyaa ramah adminnya balesnya jg cepatt pelayanannya baguss bakal jadi langganan terimkasihh lazadaa,5
"super super banget ini maskara volume glamour tahan lama banget say, dan ga terlalu mencolok banget pas di pake yah😊Tq yah eh juga kulir yah ramah da kalo belaja di lazada gak gagal?apa lagi ditoko satu ini hehe❤️",5
gak sesuai ktnya volume glamour tpi ko pas dteng merk nya beda ....,2
makasih mas kurirnya ramah,5
Kecewa mascaranya rusak kaya bekas susah d bukannya😏,2
Mantul buat oder dua Kali ,5
"alhamdulilah barang nya dh nyampe kmaren, pengiriman nya cepet lg, mksih .",5
bagus brangnya gk luntur,5
"bgus
",5
bagus,5
bagus sekali maap lm uladan nya....kurir nya ramah,5
"Bagus mascara nya, saya suka pengiriman nya juga cepat ",5
"Barang nya baguss,saya suka😁",5
"mksh pket an nya dah dtng,mksh lazada",5
Rielfik bagus dan udah d coba juga ga luntur ,5
maskaranya bagus ..makasih lazada,5
mudah2an ga luntur di pakai,5
"barang SDH datang cuma blom di coba, ya mudah2an ga luntur ",5
"barang sangat memuaskan 
terimakasih lazada 🤗",5
bagus banget,5
"barang ok tapi gak water proof
",3
Barangnya si lumayan bagus pengirimannya juga cepat cuman maskaranya lama keringnya,4
sip dah  👍👍,5
brang dh sampe sesuai pesanan,5
makasih barang nya udah dateng,5
👍,5
bagus,4
Sesuai,5
bagus bnget,5
ko kebuka y maskara nya itu kya bekas gtu. ,5
ini tdk sesuai tdk bagus katanya Membuat pjng biasa aja,3
"Barang sampe tp blm d coba,karna baru pasang eyelash..",5
Terimakasih lazada maskaranya bgs tidak luntur,5
ok,4
packing rapih,5
mkasih barang udh nyampe kak,5
maaf bru ksh ulasan trimksh bwt lazada paket nya smpe dgn slamt kurir nya jg ramah,5
Kecewa banget luntur,5
bagus bngat maskra y puas deh ,5
buruk bnget barangy ,5
bgs tapi Sush kering jadi kecewa. pdhl udh 1 jm ttp aj gx kering  ,5
"bagus, makasih lazada",5
Baguss bngttt puasss,5
bagus bgt sesuai di gambar.... mas ungkir nya jg ramah udh langganan lg,5
bagus,5
mantul ,5
memuaskan😍😍😍,5
kok luntur ya,2
Ktnya gk luntur tpi trnyta luntur jga... Hemzz sgt syg skli.. ,5
realpick. syuka bngett,5
"mendarat dengan baik, walaupun sedikit terjadi kesalah fahaman  tp kurirnya bertanggung jawab, top
",5
mantap barang sesuai harga,5
"pesanan sngat mmuaskan..
hamdulilah tdk mngrcewakan",5
"real fict cepat pengirimannya , abang kurir nya juga uda langganan terimakasi banyak lazada😍",5
"Kecewa banget kata nya waterproof tapi bukti nya kena air malah pada item mleber ke mana"" ",5
Ok. Aku suka.,5
"Paket udh d trima. Tp sya tdk meraasa nrima paket gmn sih 
",5
"barang sdah di trima dngan baik,packing rapih,,abang kurirnya langganan,,",5
kualitas. ny ,2
Barangnya bagus aku suka,5
"kurang bagus, barangnya cepat luntur",5
thank you barangnyaa baguss,5
kenapa mascara nya agak kering,3
maskara nya bagus bikin lentik k bulu mata nya... suka bngt,5
lumayan dr pd lumanyun,5
mantulll....,5
mantuulll,5
kesukaan ❤,5
bagus💚,5
mantap,5
Bagus,5
tqu,5
👍👍👍👍,5
mantap,5
😍,5
Bagus,5
ok,5
lama,5
bagus,5
"real pic,",5
