review,rating
"good barang udah nyampe, pesan kemarin malam hari ini udah nyampe, packing rapih seller ramah kurir ramah, ok good for seller",5
"terimakasih KK barang nya udah nyampe 
cepet banget nyampenya dan untuk seller terimakasih seller nya ramah",5
"bagus banget
kualitas nya bagus harga murah tapi memuaskan
bisa jadi langganan terus deh 
anak ku suka banget warna nya
pengirman nya cepet bangt respon selernya pun ramah dan tanggap
terimakasih seler and lazada ",5
alhhamdullilaahsudah nyampe paket nya real pic,5
Allhamdulillah nyampe terimakasih banyak cepet banget nyampe nya sore pesen siang udah nyampe,5
Bagus sesuai dengan pesanan 👍,5
"barang nya bagus,pengiriman cepat . engga kapok deh pesen di toko ini. makasih LAZADA 😊",5
Ok,5
"brang nya sesuai psanan dan nyampek nya cpet bnget.mksih lazada, seller dan kurir nya.",5
"sesuai pesenan,, pengirimn cepet bngt.",5
"Sesuai, puas banget.... Mkasih lazada 🖒🖒🖒",5
"5ksih lazada,barang nya dh nympk,,bagus pas lah dngan harga segitu,,kurir na jg ramah.😊😊😊",5
"telat ngulas, barang oke. pengiriman cepat
",4
Alhamdulillah syantik...pengiriman cepat..sesuai dan gak ngecewain..makasih ya mbak😊😊,5
sangat bagus pengiriman cepat pesan kmrn trus besok.y udah dateng ,5
"bahan tipis,kirain bantal nya enggak gepeng tengah nya,tpi lumyan untuk harga segitu mah cukup lah..",5
bagus....,5
mantap,5
pas,5
mantap,5
barangnya sesuai pesanan,5
"kasur nya bagus,realfick sesuai .",5
kasur nya bagus aku suka,5
siip,5
