review,rating
"Mantul uuiii alas gosoknya... Bagus..
Ada resletingnya,busanya juga bagus,warna kain tidak luntur saat di pakai nyetrika.
Pakain ku jd cpt halusnya...",5
"barang sesuai cuman kasihan kurir nya baru jadi kurir, jadi nyari alamat nya ribet nelponin terus tiap menit
ok makasih toko nya",5
ini baguss banget aku sukaaaa😍😍😍jadi makin rajin setrika baju nya. kurirnya ramah dan pengiriman nya juga cepat😊,5
"Bagus Sesuai pesanan.👍
Cm lama dipengiriman ja ",5
bahan bagus sangat memuas kan,5
"real pict banget,suka sama barang nya,thanks seller and kurir nya🤗😍",5
bagus Rill pict bgttt..,5
alhamdulilah sesuai ,5
"Alhamdulillah, terimakasih Lazada pengirimannya cepet banget.. Alhamdulillah, semoga makin bertambah berkahnya.. Aamiin, terimakasih juga om kurir.. ",5
Brang udh nyampe bgus s'suai dgn hrga nya..wlw pun sy psen nya keropi yg dtng hello kitty..tp gpp deh,5
ok makasih,5
"Paket telah direrima dg baik, sesuai gambar. bahan nya bagus dan enak dipakai. nyetrika semakin semangat.
Terimakasih Lazada.
Lazada memang Jossh.....👍👍",5
god sesuai pesanan,5
"maaf br kasih review, alhamdulillah Bagus bangett aku suka :)",5
Alhmdulilahhh yang ditunggu2 paket nyaa dah datang.. Real pict😍makashh lazadaa ,5
Bagus bgt👍,5
"harga seimbang sama barang,manfaat bngtt bagus,tdk mngecewakan trimakasihh lazada kurir lumayan ",5
"real pic bgettt q suka , kurir udh lngganan ramah 😊",5
"bagus ..nyetrika jadi enak empuk
",5
oke...barang'y bagus,5
bagus sih.cuman pendek,3
Bagus barangnya sesuai gambar,4
"trmakasih barang nya bagus,,",5
Bagus alas setrika nya pengiriman nya cepat,5
realpick saya syukaaa,5
alas strika murah...enak dpakai...mntap,5
"Barg nya bgus sesui permintaan.
Trimaksih buat tokonya
N bang kurirnya jga ramh udh lgganan.",5
bagus bgt ak suk,5
cucok sangat ,5
"penjual ramah, responnya cepat, barangnya jg bagus, sesuai harga..",5
alhamdulillah udah sampe Bagus suka next order lg thanks lazada;) ,5
Lumayan dgn hraga sgtu.,5
"alas seyrikanya mantul bgt😘gx mengecekkn poko nya
",5
Barangnya baru sampai...barangnya bagus cuma lama di pengiriman..,5
barang bgus pelanggan saya senangbagus sekali,5
bagus sii tp tipis bgt busanya tp sesuai lah real pict kok,3
realfick sesuai ga gambar😍😍,5
barang bguss banget,5
bagus,5
bagus,5
good,5
good....👍,5
barang cepet bgt sampenya,4
mantapppp,5
sip  bgus,4
bagus,5
Ok guud,5
Bagus,5
